PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"36096886","Effect of pulsed electromagnetic field as an intervention for patients with quadriceps weakness after anterior cruciate ligament reconstruction: a double-blinded, randomized-controlled trial","Ong MT, Man GC, Lau LC, He X, Qiu J, Wang Q, Chow MC, Choi BC, Yu M, Yung PS.","Trials. 2022 Sep 12;23(1):771. doi: 10.1186/s13063-022-06674-2.","Ong MT","Trials","2022","2022/09/12","PMC9465849","","10.1186/s13063-022-06674-2"
"35486517","Acute Anterior Cruciate Ligament Rupture: Repair or Reconstruction? Five-Year Results of a Randomized Controlled Clinical Trial","Hoogeslag RAG, Huis In 't Veld R, Brouwer RW, de Graaff F, Verdonschot N.","Am J Sports Med. 2022 Jun;50(7):1779-1787. doi: 10.1177/03635465221090527. Epub 2022 Apr 29.","Hoogeslag RAG","Am J Sports Med","2022","2022/04/29","","","10.1177/03635465221090527"
"35468330","Is contralateral autogenous patellar tendon graft a better choice than ipsilateral for anterior cruciate ligament reconstruction in young sportsmen? A randomized controlled trial","de Souza Borges JH, Oliveira M, Junior PL, de Souza Machado R, Lima R, Ramos LA, Cohen M.","Knee. 2022 Jun;36:33-43. doi: 10.1016/j.knee.2022.03.015. Epub 2022 Apr 22.","de Souza Borges JH","Knee","2022","2022/04/25","","","10.1016/j.knee.2022.03.015"
"34814896","Quadriceps muscle strength recovery with the use of high tone power therapy after anterior cruciate ligament reconstruction: a randomized controlled trial","Ogrodzka-Ciechanowicz K, Głąb G, Ślusarski J, Gądek A.","BMC Musculoskelet Disord. 2021 Nov 23;22(1):975. doi: 10.1186/s12891-021-04862-w.","Ogrodzka-Ciechanowicz K","BMC Musculoskelet Disord","2021","2021/11/24","PMC8609762","","10.1186/s12891-021-04862-w"
"34601649","In vivo knee rotational stability 2 years after the ACL reconstruction using a quadriceps tendon graft with bone block and bone-patellar tendon-bone graft","Komzák M, Hart R, Náhlík D, Vysoký R.","Arch Orthop Trauma Surg. 2022 Aug;142(8):1995-1999. doi: 10.1007/s00402-021-04195-2. Epub 2021 Oct 3.","Komzák M","Arch Orthop Trauma Surg","2022","2021/10/03","","","10.1007/s00402-021-04195-2"
"34542671","Contralateral strength training attenuates muscle performance loss following anterior cruciate ligament (ACL) reconstruction: a randomised-controlled trial","Minshull C, Gallacher P, Roberts S, Barnett A, Kuiper JH, Bailey A.","Eur J Appl Physiol. 2021 Dec;121(12):3551-3559. doi: 10.1007/s00421-021-04812-3. Epub 2021 Sep 20.","Minshull C","Eur J Appl Physiol","2021","2021/09/20","","","10.1007/s00421-021-04812-3"
"34348704","Immediate and 6-week effects of wearing a knee sleeve following anterior cruciate ligament reconstruction: a cross-over laboratory and randomised clinical trial","Sole G, Lamb P, Pataky T, Klima S, Navarre P, Hammer N.","BMC Musculoskelet Disord. 2021 Aug 4;22(1):655. doi: 10.1186/s12891-021-04540-x.","Sole G","BMC Musculoskelet Disord","2021","2021/08/05","PMC8336666","","10.1186/s12891-021-04540-x"
"33970295","Anatomic single vs. double-bundle ACL reconstruction: a randomized clinical trial-Part 1: clinical outcomes","Irrgang JJ, Tashman S, Patterson CG, Musahl V, West R, Oostdyk A, Galvin B, Poploski K, Fu FH.","Knee Surg Sports Traumatol Arthrosc. 2021 Aug;29(8):2665-2675. doi: 10.1007/s00167-021-06585-w. Epub 2021 May 10.","Irrgang JJ","Knee Surg Sports Traumatol Arthrosc","2021","2021/05/10","PMC8298248","","10.1007/s00167-021-06585-w"
"33742222","Quadriceps and hamstring tendon autografts in ACL reconstruction yield comparably good results in a prospective, randomized controlled trial","Horstmann H, Petri M, Tegtbur U, Felmet G, Krettek C, Jagodzinski M.","Arch Orthop Trauma Surg. 2022 Feb;142(2):281-289. doi: 10.1007/s00402-021-03862-8. Epub 2021 Mar 19.","Horstmann H","Arch Orthop Trauma Surg","2022","2021/03/20","PMC8783919","","10.1007/s00402-021-03862-8"
"32699919","ACL reconstruction using a quadruple semitendinosus graft with cortical fixations gives suitable isokinetic and clinical outcomes after 2 years","Roger J, Bertani A, Vigouroux F, Mottier F, Gaillard R, Have L, Rongièras F.","Knee Surg Sports Traumatol Arthrosc. 2020 Aug;28(8):2468-2477. doi: 10.1007/s00167-020-06121-2. Epub 2020 Jul 22.","Roger J","Knee Surg Sports Traumatol Arthrosc","2020","2020/07/24","","","10.1007/s00167-020-06121-2"
"32589515","Females Have Earlier Muscle Strength and Functional Recovery After Bridge-Enhanced Anterior Cruciate Ligament Repair","Barnett S, Badger GJ, Kiapour A, Yen YM, Henderson R, Freiberger C, Proffen B, Sant N, Trainor B, Fleming BC, Micheli LJ, Murray MM, Kramer DE.","Tissue Eng Part A. 2020 Jul;26(13-14):702-711. doi: 10.1089/ten.tea.2020.0057. Epub 2020 Jun 25.","Barnett S","Tissue Eng Part A","2020","2020/06/27","PMC7398430","","10.1089/ten.tea.2020.0057"
"32504178","Quadriceps tendon vs. patellar tendon autograft for ACL reconstruction using a hardware-free press-fit fixation technique: comparable stability, function and return-to-sport level but less donor site morbidity in athletes after 10 years","Barié A, Sprinckstub T, Huber J, Jaber A.","Arch Orthop Trauma Surg. 2020 Oct;140(10):1465-1474. doi: 10.1007/s00402-020-03508-1. Epub 2020 Jun 5.","Barié A","Arch Orthop Trauma Surg","2020","2020/06/07","PMC7505888","","10.1007/s00402-020-03508-1"
"32152642","Impact of whey protein isolate and eccentric training on quadriceps mass and strength in patients with anterior cruciate ligament rupture: A randomized controlled trial","Zhang X, Huang H, Yu Y, Yang J, Liang Z, Chang C.","J Rehabil Med. 2020 Mar 31;52(3):jrm00035. doi: 10.2340/16501977-2664.","Zhang X","J Rehabil Med","2020","2020/03/11","","","10.2340/16501977-2664"
"32125668","Effects of Autograft Types on Muscle Strength and Functional Capacity in Patients Having Anterior Cruciate Ligament Reconstruction: A Randomized Controlled Trial","Sinding KS, Nielsen TG, Hvid LG, Lind M, Dalgas U.","Sports Med. 2020 Jul;50(7):1393-1403. doi: 10.1007/s40279-020-01276-x.","Sinding KS","Sports Med","2020","2020/03/04","","","10.1007/s40279-020-01276-x"
"31967599","Anterior cruciate ligament injuries treated with quadriceps tendon autograft versus hamstring autograft: A randomized controlled trial","Vilchez-Cavazos F, Dávila-Martínez A, Garza-Castro S, Simental-Mendía M, Garay-Mendoza D, Tamez-Mata Y, Peña-Martínez V, Acosta-Olivo C.","Cir Cir. 2020;88(1):76-81. doi: 10.24875/CIRU.19001001.","Vilchez-Cavazos F","Cir Cir","2020","2020/01/23","","","10.24875/CIRU.19001001"
"31704697","Quadriceps tendon grafts does not cause patients to have inferior subjective outcome after anterior cruciate ligament (ACL) reconstruction than do hamstring grafts: a 2-year prospective randomised controlled trial","Lind M, Nielsen TG, Soerensen OG, Mygind-Klavsen B, Faunø P.","Br J Sports Med. 2020 Feb;54(3):183-187. doi: 10.1136/bjsports-2019-101000. Epub 2019 Nov 8.","Lind M","Br J Sports Med","2020","2019/11/10","","","10.1136/bjsports-2019-101000"
"31512448","[Effect of isokinetic training of thigh muscle group on graft remodeling after anterior cruciate ligament reconstruction]","Liu H, Lu W, Liang D, Geng H, Zhu W, Ouyang K, Li H, Peng L, Feng W, Zhong M, Chen K, Li Y, Deng Z, Wang D.","Zhongguo Xiu Fu Chong Jian Wai Ke Za Zhi. 2019 Sep 15;33(9):1088-1094. doi: 10.7507/1002-1892.201902059.","Liu H","Zhongguo Xiu Fu Chong Jian Wai Ke Za Zhi","2019","2019/09/13","PMC8355844","","10.7507/1002-1892.201902059"
"31351901","Isokinetic eccentric training is more effective than constant load eccentric training for quadriceps rehabilitation following anterior cruciate ligament reconstruction: a randomized controlled trial","Vidmar MF, Baroni BM, Michelin AF, Mezzomo M, Lugokenski R, Pimentel GL, Silva MF.","Braz J Phys Ther. 2020 Sep-Oct;24(5):424-432. doi: 10.1016/j.bjpt.2019.07.003. Epub 2019 Jul 16.","Vidmar MF","Braz J Phys Ther","2020","2019/07/29","PMC7563799","","10.1016/j.bjpt.2019.07.003"
"30822124","Acute Anterior Cruciate Ligament Rupture: Repair or Reconstruction? Two-Year Results of a Randomized Controlled Clinical Trial","Hoogeslag RAG, Brouwer RW, Boer BC, de Vries AJ, Huis In 't Veld R.","Am J Sports Med. 2019 Mar;47(3):567-577. doi: 10.1177/0363546519825878.","Hoogeslag RAG","Am J Sports Med","2019","2019/03/02","","","10.1177/0363546519825878"
"30733025","Adductor Canal Nerve Versus Femoral Nerve Blockade for Pain Control and Quadriceps Function Following Anterior Cruciate Ligament Reconstruction With Patellar Tendon Autograft: A Prospective Randomized Trial","Bailey L, Griffin J, Elliott M, Wu J, Papavasiliou T, Harner C, Lowe W.","Arthroscopy. 2019 Mar;35(3):921-929. doi: 10.1016/j.arthro.2018.10.149. Epub 2019 Feb 4.","Bailey L","Arthroscopy","2019","2019/02/09","","","10.1016/j.arthro.2018.10.149"
"29959448","Cross-education improves quadriceps strength recovery after ACL reconstruction: a randomized controlled trial","Harput G, Ulusoy B, Yildiz TI, Demirci S, Eraslan L, Turhan E, Tunay VB.","Knee Surg Sports Traumatol Arthrosc. 2019 Jan;27(1):68-75. doi: 10.1007/s00167-018-5040-1. Epub 2018 Jun 29.","Harput G","Knee Surg Sports Traumatol Arthrosc","2019","2018/07/01","","","10.1007/s00167-018-5040-1"
"29776815","Strength recovery after anterior cruciate ligament reconstruction with quadriceps tendon versus hamstring tendon autografts in soccer players: A randomized controlled trial","Martin-Alguacil JL, Arroyo-Morales M, Martín-Gomez JL, Monje-Cabrera IM, Abellán-Guillén JF, Esparza-Ros F, Lozano ML, Cantarero-Villanueva I.","Knee. 2018 Aug;25(4):704-714. doi: 10.1016/j.knee.2018.03.011.","Martin-Alguacil JL","Knee","2018","2018/05/20","","","10.1016/j.knee.2018.03.011"
"28918506","Young athletes after ACL reconstruction with quadriceps strength asymmetry at the time of return-to-sport demonstrate decreased knee function 1 year later","Ithurburn MP, Altenburger AR, Thomas S, Hewett TE, Paterno MV, Schmitt LC.","Knee Surg Sports Traumatol Arthrosc. 2018 Feb;26(2):426-433. doi: 10.1007/s00167-017-4678-4. Epub 2017 Sep 16.","Ithurburn MP","Knee Surg Sports Traumatol Arthrosc","2018","2017/09/18","","","10.1007/s00167-017-4678-4"
"28840325","Tunnel widening after single- versus double-bundle anterior cruciate ligament reconstruction: a randomized 8-year follow-up study","Beyaz S, Güler ÜÖ, Demir Ş, Yüksel S, Çınar BM, Özkoç G, Akpınar S.","Arch Orthop Trauma Surg. 2017 Nov;137(11):1547-1555. doi: 10.1007/s00402-017-2774-z. Epub 2017 Aug 24.","Beyaz S","Arch Orthop Trauma Surg","2017","2017/08/26","","","10.1007/s00402-017-2774-z"
"28224443","Report of the Clinical and Functional Primary Outcomes in Men of the ACL-SPORTS Trial: Similar Outcomes in Men Receiving Secondary Prevention With and Without Perturbation Training 1 and 2 Years After ACL Reconstruction","Arundale AJH, Cummer K, Capin JJ, Zarzycki R, Snyder-Mackler L.","Clin Orthop Relat Res. 2017 Oct;475(10):2523-2534. doi: 10.1007/s11999-017-5280-2.","Arundale AJH","Clin Orthop Relat Res","2017","2017/02/23","PMC5599384","","10.1007/s11999-017-5280-2"
"26875887","The curative efficacy of arthroscopic therapy in treating anterior cruciate ligament rupture with secondary osteoarthritis","Ouyang X, Hong SD, Xin F, Wang L, Yang XW, Wang JR, Wang Q, Cui WD, Zhang AJ, Zhao ZX.","Eur Rev Med Pharmacol Sci. 2016;20(2):214-9.","Ouyang X","Eur Rev Med Pharmacol Sci","2016","2016/02/16","","",""
"26797700","Low- Versus High-Intensity Plyometric Exercise During Rehabilitation After Anterior Cruciate Ligament Reconstruction","Chmielewski TL, George SZ, Tillman SM, Moser MW, Lentz TA, Indelicato PA, Trumble TN, Shuster JJ, Cicuttini FM, Leeuwenburgh C.","Am J Sports Med. 2016 Mar;44(3):609-17. doi: 10.1177/0363546515620583. Epub 2016 Jan 21.","Chmielewski TL","Am J Sports Med","2016","2016/01/23","","","10.1177/0363546515620583"
"26231151","The effectiveness of Pilates for partial anterior cruciate ligament injury","Çelik D, Turkel N.","Knee Surg Sports Traumatol Arthrosc. 2017 Aug;25(8):2357-2364. doi: 10.1007/s00167-015-3718-1. Epub 2015 Aug 1.","Çelik D","Knee Surg Sports Traumatol Arthrosc","2017","2015/08/02","","","10.1007/s00167-015-3718-1"
"25630275","A new technique in double-bundle anterior cruciate ligament reconstruction with implant-free tibial fixation","Sacramento SN, Magalhães E, Christel P, Ingham S, Fukuda TY.","Knee Surg Sports Traumatol Arthrosc. 2016 Sep;24(9):2831-2837. doi: 10.1007/s00167-014-3430-6. Epub 2015 Jan 29.","Sacramento SN","Knee Surg Sports Traumatol Arthrosc","2016","2015/01/30","","","10.1007/s00167-014-3430-6"
"25536951","The ""Lever Sign"": a new clinical test for the diagnosis of anterior cruciate ligament rupture","Lelli A, Di Turi RP, Spenciner DB, Dòmini M.","Knee Surg Sports Traumatol Arthrosc. 2016 Sep;24(9):2794-2797. doi: 10.1007/s00167-014-3490-7. Epub 2014 Dec 25.","Lelli A","Knee Surg Sports Traumatol Arthrosc","2016","2014/12/25","","","10.1007/s00167-014-3490-7"
"25381471","A comparison of acute and chronic anterior cruciate ligament reconstruction using LARS artificial ligaments: a randomized prospective study with a 5-year follow-up","Chen J, Gu A, Jiang H, Zhang W, Yu X.","Arch Orthop Trauma Surg. 2015 Jan;135(1):95-102. doi: 10.1007/s00402-014-2108-3. Epub 2014 Nov 9.","Chen J","Arch Orthop Trauma Surg","2015","2014/11/10","","","10.1007/s00402-014-2108-3"
"24630956","Is quadriceps tendon a better graft choice than patellar tendon? a prospective randomized study","Lund B, Nielsen T, Faunø P, Christiansen SE, Lind M.","Arthroscopy. 2014 May;30(5):593-8. doi: 10.1016/j.arthro.2014.01.012. Epub 2014 Mar 14.","Lund B","Arthroscopy","2014","2014/03/18","","","10.1016/j.arthro.2014.01.012"
"24553686","[Ligament bracing--augmented primary suture repair in multiligamentous knee injuries]","Heitmann M, Gerau M, Hötzel J, Giannakos A, Frosch KH, Preiss A.","Oper Orthop Traumatol. 2014 Feb;26(1):19-29. doi: 10.1007/s00064-013-0263-2.","Heitmann M","Oper Orthop Traumatol","2014","2014/02/21","","","10.1007/s00064-013-0263-2"
"23793303","Prospective clinical comparisons of semitendinosus versus semitendinosus and gracilis tendon autografts for anatomic double-bundle anterior cruciate ligament reconstruction","Inagaki Y, Kondo E, Kitamura N, Onodera J, Yagi T, Tanaka Y, Yasuda K.","J Orthop Sci. 2013 Sep;18(5):754-61. doi: 10.1007/s00776-013-0427-9. Epub 2013 Jun 21.","Inagaki Y","J Orthop Sci","2013","2013/06/25","","","10.1007/s00776-013-0427-9"
"23423316","Open kinetic chain exercises in a restricted range of motion after anterior cruciate ligament reconstruction: a randomized controlled clinical trial","Fukuda TY, Fingerhut D, Moreira VC, Camarini PM, Scodeller NF, Duarte A Jr, Martinelli M, Bryk FF.","Am J Sports Med. 2013 Apr;41(4):788-94. doi: 10.1177/0363546513476482. Epub 2013 Feb 19.","Fukuda TY","Am J Sports Med","2013","2013/02/21","","","10.1177/0363546513476482"
"21663722","Anterior cruciate ligament reconstruction using patellar tendon versus hamstring tendon: a prospective comparative study with 9-year follow-up","Wipfler B, Donner S, Zechmann CM, Springer J, Siebold R, Paessler HH.","Arthroscopy. 2011 May;27(5):653-65. doi: 10.1016/j.arthro.2011.01.015.","Wipfler B","Arthroscopy","2011","2011/06/14","","","10.1016/j.arthro.2011.01.015"
"20401753","Anteromedial portal versus transtibial drilling techniques in ACL reconstruction: a blinded cross-sectional study at two- to five-year follow-up","Alentorn-Geli E, Samitier G, Alvarez P, Steinbacher G, Cugat R.","Int Orthop. 2010 Jun;34(5):747-54. doi: 10.1007/s00264-010-1000-1. Epub 2010 Apr 20.","Alentorn-Geli E","Int Orthop","2010","2010/04/20","PMC2903180","","10.1007/s00264-010-1000-1"
"20194956","Early versus late start of isokinetic hamstring-strengthening exercise after anterior cruciate ligament reconstruction with patellar tendon graft","Sekir U, Gur H, Akova B.","Am J Sports Med. 2010 Mar;38(3):492-500. doi: 10.1177/0363546509349490.","Sekir U","Am J Sports Med","2010","2010/03/03","","","10.1177/0363546509349490"
"19486478","Tibial translation and muscle activation during rehabilitation exercises 5 weeks after anterior cruciate ligament reconstruction","Tagesson S, Oberg B, Kvist J.","Scand J Med Sci Sports. 2010 Feb;20(1):154-64. doi: 10.1111/j.1600-0838.2009.00903.x.","Tagesson S","Scand J Med Sci Sports","2010","2009/06/03","","","10.1111/j.1600-0838.2009.00903.x"
"18989731","Comparable results between lateralized single- and double-bundle ACL reconstructions","Tsuda E, Ishibashi Y, Fukuda A, Tsukada H, Toh S.","Clin Orthop Relat Res. 2009 Apr;467(4):1042-55. doi: 10.1007/s11999-008-0604-x. Epub 2008 Nov 7.","Tsuda E","Clin Orthop Relat Res","2009","2008/11/08","PMC2650066","","10.1007/s11999-008-0604-x"
"18196393","Anterior cruciate ligament reconstruction : quadriceps versus patellar autograft","Han HS, Seong SC, Lee S, Lee MC.","Clin Orthop Relat Res. 2008 Jan;466(1):198-204. doi: 10.1007/s11999-007-0015-4. Epub 2008 Jan 3.","Han HS","Clin Orthop Relat Res","2008","2008/01/16","PMC2505304","","10.1007/s11999-007-0015-4"
"17940146","A comprehensive rehabilitation program with quadriceps strengthening in closed versus open kinetic chain exercise in patients with anterior cruciate ligament deficiency: a randomized clinical trial evaluating dynamic tibial translation and muscle function","Tagesson S, Oberg B, Good L, Kvist J.","Am J Sports Med. 2008 Feb;36(2):298-307. doi: 10.1177/0363546507307867. Epub 2007 Oct 16.","Tagesson S","Am J Sports Med","2008","2007/10/18","","","10.1177/0363546507307867"
"17219226","Early versus late start of open kinetic chain quadriceps exercises after ACL reconstruction with patellar tendon or hamstring grafts: a prospective randomized outcome study","Heijne A, Werner S.","Knee Surg Sports Traumatol Arthrosc. 2007 Apr;15(4):402-14. doi: 10.1007/s00167-006-0246-z. Epub 2007 Jan 12.","Heijne A","Knee Surg Sports Traumatol Arthrosc","2007","2007/01/16","","","10.1007/s00167-006-0246-z"
"15754231","[Meniscus replacement with quadriceps tendon--a long-term analysis]","Pressel T, V Lewinski G, Kohn D, Wirth CJ.","Z Orthop Ihre Grenzgeb. 2005 Jan-Feb;143(1):42-7. doi: 10.1055/s-2005-836359.","Pressel T","Z Orthop Ihre Grenzgeb","2005","2005/03/09","","","10.1055/s-2005-836359"
"13679741","[Patellar tendon-bone autograft reconstruction of the anterior cruciate ligament for advanced-stage chronic anterior laxity: is an extra-articular plasty necessary? A prospective randomized study of 100 patients with five year follow-up]","Acquitter Y, Hulet C, Locker B, Delbarre JC, Jambou S, Vielpeau C.","Rev Chir Orthop Reparatrice Appar Mot. 2003 Sep;89(5):413-22.","Acquitter Y","Rev Chir Orthop Reparatrice Appar Mot","2003","2003/09/19","","",""
"12860546","A randomized comparison of patellar tendon and hamstring tendon anterior cruciate ligament reconstruction","Feller JA, Webster KE.","Am J Sports Med. 2003 Jul-Aug;31(4):564-73. doi: 10.1177/03635465030310041501.","Feller JA","Am J Sports Med","2003","2003/07/16","","","10.1177/03635465030310041501"
"12793556","Outcome after reconstruction of the anterior cruciate ligament in athletic patients. A comparison of early versus delayed surgery","Meighan AA, Keating JF, Will E.","J Bone Joint Surg Br. 2003 May;85(4):521-4. doi: 10.1302/0301-620x.85b4.13743.","Meighan AA","J Bone Joint Surg Br","2003","2003/06/10","","","10.1302/0301-620x.85b4.13743"
"12121424","Range of motion training in brace vs. plaster immobilization after anterior cruciate ligament reconstruction: a prospective randomized comparison with a 2-year follow-up","Henriksson M, Rockborn P, Good L.","Scand J Med Sci Sports. 2002 Apr;12(2):73-80. doi: 10.1034/j.1600-0838.2002.120203.x.","Henriksson M","Scand J Med Sci Sports","2002","2002/07/18","","","10.1034/j.1600-0838.2002.120203.x"
"11912091","A prospective randomized comparison of patellar tendon versus semitendinosus and gracilis tendon autografts for anterior cruciate ligament reconstruction","Shaieb MD, Kan DM, Chang SK, Marumoto JM, Richardson AB.","Am J Sports Med. 2002 Mar-Apr;30(2):214-20. doi: 10.1177/03635465020300021201.","Shaieb MD","Am J Sports Med","2002","2002/03/26","","","10.1177/03635465020300021201"
"11877607","Anterior cruciate ligament reconstruction using four-strand semitendinosus and gracilis tendon grafts and metal interference screw fixation","Colombet P, Allard M, Bousquet V, de Lavigne C, Flurin PH, Lachaud C.","Arthroscopy. 2002 Mar;18(3):232-7. doi: 10.1053/jars.2002.30637.","Colombet P","Arthroscopy","2002","2002/03/06","","","10.1053/jars.2002.30637"
"11819015","The relationship between participation restrictions and selected clinical measures following anterior cruciate ligament reconstruction","Ross MD, Irrgang JJ, Denegar CR, McCloy CM, Unangst ET.","Knee Surg Sports Traumatol Arthrosc. 2002 Jan;10(1):10-9. doi: 10.1007/s001670100238. Epub 2001 Sep 21.","Ross MD","Knee Surg Sports Traumatol Arthrosc","2002","2002/01/31","","","10.1007/s001670100238"
"11685356","Early post-operative morbidity following anterior cruciate ligament reconstruction: patellar tendon versus hamstring graft","Feller JA, Webster KE, Gavin B.","Knee Surg Sports Traumatol Arthrosc. 2001 Sep;9(5):260-6. doi: 10.1007/s001670100216.","Feller JA","Knee Surg Sports Traumatol Arthrosc","2001","2001/10/31","","","10.1007/s001670100216"
"11568194","Arthroscopically assisted reconstruction of the anterior cruciate ligament. A follow-up report","O'Neill DB.","J Bone Joint Surg Am. 2001 Sep;83(9):1329-32. doi: 10.2106/00004623-200109000-00006.","O'Neill DB","J Bone Joint Surg Am","2001","2001/09/25","","","10.2106/00004623-200109000-00006"
"11147151","Closed kinetic chain alone compared to combined open and closed kinetic chain exercises for quadriceps strengthening after anterior cruciate ligament reconstruction with respect to return to sports: a prospective matched follow-up study","Mikkelsen C, Werner S, Eriksson E.","Knee Surg Sports Traumatol Arthrosc. 2000;8(6):337-42. doi: 10.1007/s001670000143.","Mikkelsen C","Knee Surg Sports Traumatol Arthrosc","2000","2001/01/09","","","10.1007/s001670000143"
"11032219","Primary anterior cruciate ligament reconstruction using the contralateral autogenous patellar tendon","Shelbourne KD, Urch SE.","Am J Sports Med. 2000 Sep-Oct;28(5):651-8. doi: 10.1177/03635465000280050501.","Shelbourne KD","Am J Sports Med","2000","2000/10/14","","","10.1177/03635465000280050501"
"9917711","The effect of immediate weightbearing after anterior cruciate ligament reconstruction","Tyler TF, McHugh MP, Gleim GW, Nicholas SJ.","Clin Orthop Relat Res. 1998 Dec;(357):141-8. doi: 10.1097/00003086-199812000-00019.","Tyler TF","Clin Orthop Relat Res","1998","1999/01/26","","","10.1097/00003086-199812000-00019"
"9127846","Use of an extension-assisting brace following anterior cruciate ligament reconstruction","Feller J, Bartlett J, Chapman S, Delahunt M.","Knee Surg Sports Traumatol Arthrosc. 1997;5(1):6-9. doi: 10.1007/s001670050016.","Feller J","Knee Surg Sports Traumatol Arthrosc","1997","1997/01/01","","","10.1007/s001670050016"
"8947397","The effect of tourniquet use in anterior cruciate ligament reconstruction. A prospective, randomized study","Arciero RA, Scoville CR, Hayda RA, Snyder RJ.","Am J Sports Med. 1996 Nov-Dec;24(6):758-64. doi: 10.1177/036354659602400610.","Arciero RA","Am J Sports Med","1996","1996/11/01","","","10.1177/036354659602400610"
