Study ID,PMID,Graft Type,Title,,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Link
Elias (2025),41000449,HT,Superior long-term stability and function associated with femoral cortical button versus interference screw fixation in ACL reconstruction: A systematic review and meta-analysis,Elias (2025),"Elias J, Kaplan M, Bickford M, Oliver T, Shah K, Ford E, McMillan S.",J Exp Orthop. 2025 Sep 24;12(3):e70439. doi: 10.1002/jeo2.70439. eCollection 2025 Jul.,Elias J,J Exp Orthop,2025,9/26/2025,PMC12457721,,10.1002/jeo2.70439,Elias (2025)
Hamrin (2025),40977596,QT,"Smaller hamstrings autograft size after primary ACL reconstruction is associated with higher odds for graft failure: A meta-analysis on autografts sizes covering 46,268 patients",Hamrin (2025),"Hamrin Senorski R, Högberg J, Teow K, Nordenholm A, Kaarre J, Snaebjörnsson T, Musahl V, Samuelsson K, Hamrin Senorski E.",Knee Surg Sports Traumatol Arthrosc. 2025 Sep 22. doi: 10.1002/ksa.70069. Online ahead of print.,Hamrin Senorski R,Knee Surg Sports Traumatol Arthrosc,2025,9/22/2025,,,10.1002/ksa.70069,Hamrin (2025)
Kumar (2025),40980562,PLT,Peroneus Longus Tendon Versus Hamstring Tendon Autograft for Primary Anterior Cruciate Ligament Reconstruction: A Systematic Review and Meta-analysis of Comparative Studies,Kumar (2025),"Kumar K, Rao V, Panda AK, Joshi D.",Orthop J Sports Med. 2025 Sep 17;13(9):23259671251374313. doi: 10.1177/23259671251374313. eCollection 2025 Sep.,Kumar K,Orthop J Sports Med,2025,9/22/2025,PMC12444037,,10.1177/23259671251374313,Kumar (2025)
Kumar (2025),40980562,HT,Peroneus Longus Tendon Versus Hamstring Tendon Autograft for Primary Anterior Cruciate Ligament Reconstruction: A Systematic Review and Meta-analysis of Comparative Studies,Kumar (2025),"Kumar K, Rao V, Panda AK, Joshi D.",Orthop J Sports Med. 2025 Sep 17;13(9):23259671251374313. doi: 10.1177/23259671251374313. eCollection 2025 Sep.,Kumar K,Orthop J Sports Med,2025,9/22/2025,PMC12444037,,10.1177/23259671251374313,Kumar (2025)
Touhey (2025),40980559,HT,Concomitant Anterior Cruciate Ligament and Medial Collateral Ligament Reconstruction: A Systematic Review,Touhey (2025),"Touhey DC, Garcia FN, Tartibi S, Brophy RH, Matava MJ, Smith MV, Knapik DM.",Orthop J Sports Med. 2025 Sep 17;13(9):23259671251369019. doi: 10.1177/23259671251369019. eCollection 2025 Sep.,Touhey DC,Orthop J Sports Med,2025,9/22/2025,PMC12444044,,10.1177/23259671251369019,Touhey (2025)
Hamrin (2025),40977596,BPTB,"Smaller hamstrings autograft size after primary ACL reconstruction is associated with higher odds for graft failure: A meta-analysis on autografts sizes covering 46,268 patients",Hamrin (2025),"Hamrin Senorski R, Högberg J, Teow K, Nordenholm A, Kaarre J, Snaebjörnsson T, Musahl V, Samuelsson K, Hamrin Senorski E.",Knee Surg Sports Traumatol Arthrosc. 2025 Sep 22. doi: 10.1002/ksa.70069. Online ahead of print.,Hamrin Senorski R,Knee Surg Sports Traumatol Arthrosc,2025,9/22/2025,,,10.1002/ksa.70069,Hamrin (2025)
Saithna (2025),40975595,QT,Lateral Extra-articular Procedures With Anterior Cruciate Ligament Reconstruction: International Consensus,Saithna (2025),"Saithna A, Geeslin AG, Sonnery-Cottet B.",Arthroscopy. 2025 Sep;41(9):3300-3302. doi: 10.1016/j.arthro.2025.06.011.,Saithna A,Arthroscopy,2025,9/20/2025,,,10.1016/j.arthro.2025.06.011,Saithna (2025)
Saithna (2025),40975595,HT,Lateral Extra-articular Procedures With Anterior Cruciate Ligament Reconstruction: International Consensus,Saithna (2025),"Saithna A, Geeslin AG, Sonnery-Cottet B.",Arthroscopy. 2025 Sep;41(9):3300-3302. doi: 10.1016/j.arthro.2025.06.011.,Saithna A,Arthroscopy,2025,9/20/2025,,,10.1016/j.arthro.2025.06.011,Saithna (2025)
Chung (2025),40953143,HT,Hamstring Tendon Versus Bone-Patellar Tendon-Bone Autograft for ACL Reconstruction with Concurrent Lateral Extra-Articular Procedure: A Systematic Review and Network Meta-Analysis of Randomized Controlled Trials,Chung (2025),"Chung K, Han JH, Jung SH, Moon HS, Jung M, Kim SH.",J Bone Joint Surg Am. 2025 Nov 5;107(21):2425-2436. doi: 10.2106/JBJS.25.00068. Epub 2025 Sep 15.,Chung K,J Bone Joint Surg Am,2025,9/15/2025,,,10.2106/JBJS.25.00068,Chung (2025)
Chung (2025),40953143,BPTB,Hamstring Tendon Versus Bone-Patellar Tendon-Bone Autograft for ACL Reconstruction with Concurrent Lateral Extra-Articular Procedure: A Systematic Review and Network Meta-Analysis of Randomized Controlled Trials,Chung (2025),"Chung K, Han JH, Jung SH, Moon HS, Jung M, Kim SH.",J Bone Joint Surg Am. 2025 Nov 5;107(21):2425-2436. doi: 10.2106/JBJS.25.00068. Epub 2025 Sep 15.,Chung K,J Bone Joint Surg Am,2025,9/15/2025,,,10.2106/JBJS.25.00068,Chung (2025)
Chen (2025),40829023,HT,Which Graft Is Associated With Better Outcomes in ACL Reconstruction? A Systematic Review and Network Meta-analysis of Randomized Controlled Trials,Chen (2025),"Chen CF, Qian SY, Li T, Yao L, Xu Y, Wang L, Li J.",Clin Orthop Relat Res. 2025 Dec 1;483(12):2334-2349. doi: 10.1097/CORR.0000000000003585. Epub 2025 Aug 13.,Chen CF,Clin Orthop Relat Res,2025,8/19/2025,PMC12629372,,10.1097/CORR.0000000000003585,Chen (2025)
Chen (2025),40829023,BPTB,Which Graft Is Associated With Better Outcomes in ACL Reconstruction? A Systematic Review and Network Meta-analysis of Randomized Controlled Trials,Chen (2025),"Chen CF, Qian SY, Li T, Yao L, Xu Y, Wang L, Li J.",Clin Orthop Relat Res. 2025 Dec 1;483(12):2334-2349. doi: 10.1097/CORR.0000000000003585. Epub 2025 Aug 13.,Chen CF,Clin Orthop Relat Res,2025,8/19/2025,PMC12629372,,10.1097/CORR.0000000000003585,Chen (2025)
Zheng (2025),40766809,HT,Impact of tibial supplementary fixation in anterior cruciate ligament reconstruction for soft tissue auto and allografts: Modest enhancement in stability and increased incidence of pain: A systematic review and meta-analysis,Zheng (2025),"Zheng F, Gao J, Wang C, Zheng X, Tang J, Zhang J, Zuo J.",J Exp Orthop. 2025 Aug 5;12(3):e70390. doi: 10.1002/jeo2.70390. eCollection 2025 Jul.,Zheng F,J Exp Orthop,2025,8/6/2025,PMC12322697,,10.1002/jeo2.70390,Zheng (2025)
Opoku (2025),40734172,PLT,Can peroneus longus tendon autograft become an alternative to hamstring tendon autograft for anterior cruciate ligament reconstruction: a systematic review and meta-analysis of comparative studies,Opoku (2025),"Opoku M, Abdramane AM, Abdirahman A, Fang M, Li Y, Xiao W.",J Orthop Surg Res. 2025 Jul 29;20(1):719. doi: 10.1186/s13018-025-06080-9.,Opoku M,J Orthop Surg Res,2025,7/30/2025,PMC12308993,,10.1186/s13018-025-06080-9,Opoku (2025)
Mostafa (2025),40737888,HT,Clinical outcomes of quadrupled hamstring tendon use for anterior cruciate ligament reconstruction in the paediatric population: A systematic review,Mostafa (2025),"Mostafa OES, Tahir M, Alkhatib L, Meena A, de Sa D, Mughal E, D'Alessandro P, Nicolaou N, Malik SS.",Knee. 2025 Oct;56:609-617. doi: 10.1016/j.knee.2025.07.006. Epub 2025 Jul 29.,Mostafa OES,Knee,2025,7/30/2025,,,10.1016/j.knee.2025.07.006,Mostafa (2025)
Opoku (2025),40734172,HT,Can peroneus longus tendon autograft become an alternative to hamstring tendon autograft for anterior cruciate ligament reconstruction: a systematic review and meta-analysis of comparative studies,Opoku (2025),"Opoku M, Abdramane AM, Abdirahman A, Fang M, Li Y, Xiao W.",J Orthop Surg Res. 2025 Jul 29;20(1):719. doi: 10.1186/s13018-025-06080-9.,Opoku M,J Orthop Surg Res,2025,7/30/2025,PMC12308993,,10.1186/s13018-025-06080-9,Opoku (2025)
Mercurio (2025),40689103,HT,"Hamstring autograft, bone-patellar-tendon-bone autograft and synthetic graft in primary anterior cruciate ligament reconstruction: A meta-analysis of comparative studies",Mercurio (2025),"Mercurio M, Cofano E, Cosentino O, Corona K, Mocini F, Rossi U, Galasso O, Gasparini G, Cerciello S.",J Exp Orthop. 2025 Jul 18;12(3):e70326. doi: 10.1002/jeo2.70326. eCollection 2025 Jul.,Mercurio M,J Exp Orthop,2025,7/21/2025,PMC12272514,,10.1002/jeo2.70326,Mercurio (2025)
Mercurio (2025),40689103,BPTB,"Hamstring autograft, bone-patellar-tendon-bone autograft and synthetic graft in primary anterior cruciate ligament reconstruction: A meta-analysis of comparative studies",Mercurio (2025),"Mercurio M, Cofano E, Cosentino O, Corona K, Mocini F, Rossi U, Galasso O, Gasparini G, Cerciello S.",J Exp Orthop. 2025 Jul 18;12(3):e70326. doi: 10.1002/jeo2.70326. eCollection 2025 Jul.,Mercurio M,J Exp Orthop,2025,7/21/2025,PMC12272514,,10.1002/jeo2.70326,Mercurio (2025)
White (2025),40679231,QT,"Quadriceps, hamstring and patella tendon autografts for primary anterior cruciate ligament reconstruction demonstrate similar clinical outcomes, including graft failure, joint laxity and complications: A systematic review with meta-analysis of randomised controlled trials",White (2025),"White T, Castro M, Antonio L, Hing W, Tudor F, Sattler L.",Knee Surg Sports Traumatol Arthrosc. 2025 Jul 18. doi: 10.1002/ksa.12755. Online ahead of print.,White T,Knee Surg Sports Traumatol Arthrosc,2025,7/18/2025,,,10.1002/ksa.12755,White (2025)
White (2025),40679231,HT,"Quadriceps, hamstring and patella tendon autografts for primary anterior cruciate ligament reconstruction demonstrate similar clinical outcomes, including graft failure, joint laxity and complications: A systematic review with meta-analysis of randomised controlled trials",White (2025),"White T, Castro M, Antonio L, Hing W, Tudor F, Sattler L.",Knee Surg Sports Traumatol Arthrosc. 2025 Jul 18. doi: 10.1002/ksa.12755. Online ahead of print.,White T,Knee Surg Sports Traumatol Arthrosc,2025,7/18/2025,,,10.1002/ksa.12755,White (2025)
White (2025),40679231,BPTB,"Quadriceps, hamstring and patella tendon autografts for primary anterior cruciate ligament reconstruction demonstrate similar clinical outcomes, including graft failure, joint laxity and complications: A systematic review with meta-analysis of randomised controlled trials",White (2025),"White T, Castro M, Antonio L, Hing W, Tudor F, Sattler L.",Knee Surg Sports Traumatol Arthrosc. 2025 Jul 18. doi: 10.1002/ksa.12755. Online ahead of print.,White T,Knee Surg Sports Traumatol Arthrosc,2025,7/18/2025,,,10.1002/ksa.12755,White (2025)
Sonnery-Cottet (2025),40544926,HT,Indications for Lateral Extra-articular Procedures in the Anterior Cruciate Ligament-Reconstructed Knee: Part I of an International Consensus Statement,Sonnery-Cottet (2025),"Sonnery-Cottet B, Carrozzo A, Saithna A, Monaco E, Vieira TD, Musahl V, Getgood A, Helito CP; International Experts Panel; Bedi A, Bryant D, Cavaignac E, Chahla J, Claes S, Cordasco F, Daggett M, Devitt B, Feller J, Fink C, Frank R, Geeslin A, Grassi A, Green D, Guenther D, Heard M, Herbst E, Hopper G, Inderhaug E, Irrgang J, Kaeding C, Kittl C, Kocher M, Koga H, Krych AJ, LaPrade R, Levy B, Litchfield RB, Lording T, Lowe W, MacDonald P, Marx R, Moatshe G, Neri T, Ouanezar H, Barion de Castro Padua V, Parker D, Pioger C, Servien E, Sherman S, Smith P, Spalding T, Tapasvi S, Verdonk P, Williams A, Xerogeanes J, Young SW.",Arthroscopy. 2025 Sep;41(9):3303-3312. doi: 10.1016/j.arthro.2025.06.012. Epub 2025 Jun 20.,Sonnery-Cottet B,Arthroscopy,2025,6/22/2025,,,10.1016/j.arthro.2025.06.012,Sonnery-Cottet (2025)
Dave (2024),40297074,HT,"Patients Have Similar Clinical Outcomes and Failure Rates After Anterior Cruciate Ligament Reconstruction With Tibialis Anterior Tendon, Bone-Patellar Tendon-Bone, Hamstring Tendon, or Achilles Tendon Allografts: A Systematic Review",Dave (2024),"Dave U, Villarreal-Espinosa JB, Shah H, Cotter EJ, Gómez-Verdejo F, Carpenter M, Gerhold C, Mamonov A, Chahla J, Verma NN.",Arthrosc Sports Med Rehabil. 2024 Nov 5;7(2):101035. doi: 10.1016/j.asmr.2024.101035. eCollection 2025 Apr.,Dave U,Arthrosc Sports Med Rehabil,2024,4/29/2025,PMC12034080,,10.1016/j.asmr.2024.101035,Dave (2024)
Dave (2024),40297074,BPTB,"Patients Have Similar Clinical Outcomes and Failure Rates After Anterior Cruciate Ligament Reconstruction With Tibialis Anterior Tendon, Bone-Patellar Tendon-Bone, Hamstring Tendon, or Achilles Tendon Allografts: A Systematic Review",Dave (2024),"Dave U, Villarreal-Espinosa JB, Shah H, Cotter EJ, Gómez-Verdejo F, Carpenter M, Gerhold C, Mamonov A, Chahla J, Verma NN.",Arthrosc Sports Med Rehabil. 2024 Nov 5;7(2):101035. doi: 10.1016/j.asmr.2024.101035. eCollection 2025 Apr.,Dave U,Arthrosc Sports Med Rehabil,2024,4/29/2025,PMC12034080,,10.1016/j.asmr.2024.101035,Dave (2024)
Elias (2025),40265044,QT,4-Strand hamstring versus single-bundle quadriceps tendon grafts in anterior cruciate ligament reconstruction at 2 years: A systematic review and meta-analysis of randomised controlled trials,Elias (2025),"Elias J, Kaplan M, Shah K, Bickford M, McNamara C, Ford E, McMillan S.",J Exp Orthop. 2025 Apr 22;12(2):e70244. doi: 10.1002/jeo2.70244. eCollection 2025 Apr.,Elias J,J Exp Orthop,2025,4/23/2025,PMC12012644,,10.1002/jeo2.70244,Elias (2025)
Elias (2025),40265044,HT,4-Strand hamstring versus single-bundle quadriceps tendon grafts in anterior cruciate ligament reconstruction at 2 years: A systematic review and meta-analysis of randomised controlled trials,Elias (2025),"Elias J, Kaplan M, Shah K, Bickford M, McNamara C, Ford E, McMillan S.",J Exp Orthop. 2025 Apr 22;12(2):e70244. doi: 10.1002/jeo2.70244. eCollection 2025 Apr.,Elias J,J Exp Orthop,2025,4/23/2025,PMC12012644,,10.1002/jeo2.70244,Elias (2025)
Han (2025),40217688,HT,Combined Anterior Cruciate Ligament and Anterolateral Ligament Reconstruction Shows Reduced Graft Failure Rates and Superior Residual Rotational Stability Regardless of Anterolateral Ligament Reconstruction Graft: A Systematic Review,Han (2025),"Han JH, Kim SH, Jung M, Moon HS, Chung K.",J Clin Med. 2025 Mar 25;14(7):2237. doi: 10.3390/jcm14072237.,Han JH,J Clin Med,2025,4/12/2025,PMC11989582,,10.3390/jcm14072237,Han (2025)
Emmert (2025),40147599,QT,"Varying Definitions of Return to Sport, Study Quality, and Outcome Measurements Limit Comparison of Primary Anterior Cruciate Ligament Reconstruction With Quadriceps Tendon Autografts to Hamstring and Bone-Patellar Tendon-Bone Autografts: A Systematic Review",Emmert (2025),"Emmert AS, Hale I, Lake LP, McMillan P, Johnson BM, Kurkowski SC, Kuechly HA, Grawe BM.",Arthroscopy. 2025 Oct;41(10):4335-4345. doi: 10.1016/j.arthro.2025.03.036. Epub 2025 Mar 25.,Emmert AS,Arthroscopy,2025,3/27/2025,,,10.1016/j.arthro.2025.03.036,Emmert (2025)
Emmert (2025),40147599,HT,"Varying Definitions of Return to Sport, Study Quality, and Outcome Measurements Limit Comparison of Primary Anterior Cruciate Ligament Reconstruction With Quadriceps Tendon Autografts to Hamstring and Bone-Patellar Tendon-Bone Autografts: A Systematic Review",Emmert (2025),"Emmert AS, Hale I, Lake LP, McMillan P, Johnson BM, Kurkowski SC, Kuechly HA, Grawe BM.",Arthroscopy. 2025 Oct;41(10):4335-4345. doi: 10.1016/j.arthro.2025.03.036. Epub 2025 Mar 25.,Emmert AS,Arthroscopy,2025,3/27/2025,,,10.1016/j.arthro.2025.03.036,Emmert (2025)
Emmert (2025),40147599,BPTB,"Varying Definitions of Return to Sport, Study Quality, and Outcome Measurements Limit Comparison of Primary Anterior Cruciate Ligament Reconstruction With Quadriceps Tendon Autografts to Hamstring and Bone-Patellar Tendon-Bone Autografts: A Systematic Review",Emmert (2025),"Emmert AS, Hale I, Lake LP, McMillan P, Johnson BM, Kurkowski SC, Kuechly HA, Grawe BM.",Arthroscopy. 2025 Oct;41(10):4335-4345. doi: 10.1016/j.arthro.2025.03.036. Epub 2025 Mar 25.,Emmert AS,Arthroscopy,2025,3/27/2025,,,10.1016/j.arthro.2025.03.036,Emmert (2025)
Li (2025),40075371,QT,The effects of blood flow restriction training on early muscle strength and mid-term knee function following anterior cruciate ligament reconstruction: a systematic review and meta-analysis,Li (2025),"Li X, Xiao F, Ren H, Peng Y, Feng F, Dong Q.",J Orthop Surg Res. 2025 Mar 13;20(1):273. doi: 10.1186/s13018-025-05673-8.,Li X,J Orthop Surg Res,2025,3/13/2025,PMC11905650,,10.1186/s13018-025-05673-8,Li (2025)
Zakharia (2025),40051093,QT,All-Epiphyseal Versus Micheli-Kocher Anterior Cruciate Ligament Reconstruction in Skeletally Immature Patients: A Systematic Review,Zakharia (2025),"Zakharia A, Al Katanani F, Hatem A, Dhillon S, Vivekanantha P, Cohen D, de Sa D.",J Pediatr Orthop. 2025 Jul 1;45(6):316-326. doi: 10.1097/BPO.0000000000002953. Epub 2025 Mar 7.,Zakharia A,J Pediatr Orthop,2025,3/7/2025,,,10.1097/BPO.0000000000002953,Zakharia (2025)
Migliorini (2025),40005410,HT,Anterior Cruciate Ligament Reconstruction Using Lateral Extra-Articular Procedures: A Systematic Review,Migliorini (2025),"Migliorini F, Lucenti L, Mok YR, Bardazzi T, D'Ambrosi R, De Carli A, Paolicelli D, Maffulli N.",Medicina (Kaunas). 2025 Feb 8;61(2):294. doi: 10.3390/medicina61020294.,Migliorini F,Medicina (Kaunas),2025,2/26/2025,PMC11857574,,10.3390/medicina61020294,Migliorini (2025)
Connors (2025),39836368,QT,Return to Sport and Graft Failure Rates After Primary Anterior Cruciate Ligament Reconstruction With a Bone-Patellar Tendon-Bone Versus Hamstring Tendon Autograft: A Systematic Review and Meta-analysis,Connors (2025),"Connors JP, Cusano A, Saleet J, Hao KA, Efremov K, Parisien RL, Seil R, Li X.",Am J Sports Med. 2025 Jul;53(8):1996-2006. doi: 10.1177/03635465241295713. Epub 2025 Jan 21.,Connors JP,Am J Sports Med,2025,1/21/2025,,,10.1177/03635465241295713,Connors (2025)
Connors (2025),39836368,HT,Return to Sport and Graft Failure Rates After Primary Anterior Cruciate Ligament Reconstruction With a Bone-Patellar Tendon-Bone Versus Hamstring Tendon Autograft: A Systematic Review and Meta-analysis,Connors (2025),"Connors JP, Cusano A, Saleet J, Hao KA, Efremov K, Parisien RL, Seil R, Li X.",Am J Sports Med. 2025 Jul;53(8):1996-2006. doi: 10.1177/03635465241295713. Epub 2025 Jan 21.,Connors JP,Am J Sports Med,2025,1/21/2025,,,10.1177/03635465241295713,Connors (2025)
Connors (2025),39836368,BPTB,Return to Sport and Graft Failure Rates After Primary Anterior Cruciate Ligament Reconstruction With a Bone-Patellar Tendon-Bone Versus Hamstring Tendon Autograft: A Systematic Review and Meta-analysis,Connors (2025),"Connors JP, Cusano A, Saleet J, Hao KA, Efremov K, Parisien RL, Seil R, Li X.",Am J Sports Med. 2025 Jul;53(8):1996-2006. doi: 10.1177/03635465241295713. Epub 2025 Jan 21.,Connors JP,Am J Sports Med,2025,1/21/2025,,,10.1177/03635465241295713,Connors (2025)
Li (2025),39811154,QT,Effects of Neuromuscular Electrical Stimulation on Quadriceps Femoris Muscle Strength and Knee Joint Function in Patients After ACL Surgery: A Systematic Review and Meta-analysis of Randomized Controlled Trials,Li (2025),"Li Z, Jin L, Chen Z, Shang Z, Geng Y, Tian S, Dong J.",Orthop J Sports Med. 2025 Jan 13;13(1):23259671241275071. doi: 10.1177/23259671241275071. eCollection 2025 Jan.,Li Z,Orthop J Sports Med,2025,1/15/2025,PMC11729445,,10.1177/23259671241275071,Li (2025)
Ostojic (2024),39768969,QT,Graft Selection in Anterior Cruciate Ligament Reconstruction: A Comprehensive Review of Current Trends,Ostojic (2024),"Ostojic M, Indelli PF, Lovrekovic B, Volcarenghi J, Juric D, Hakam HT, Salzmann M, Ramadanov N, Królikowska A, Becker R, Prill R.",Medicina (Kaunas). 2024 Dec 20;60(12):2090. doi: 10.3390/medicina60122090.,Ostojic M,Medicina (Kaunas),2024,1/8/2025,PMC11678177,,10.3390/medicina60122090,Ostojic (2024)
Ostojic (2024),39768969,HT,Graft Selection in Anterior Cruciate Ligament Reconstruction: A Comprehensive Review of Current Trends,Ostojic (2024),"Ostojic M, Indelli PF, Lovrekovic B, Volcarenghi J, Juric D, Hakam HT, Salzmann M, Ramadanov N, Królikowska A, Becker R, Prill R.",Medicina (Kaunas). 2024 Dec 20;60(12):2090. doi: 10.3390/medicina60122090.,Ostojic M,Medicina (Kaunas),2024,1/8/2025,PMC11678177,,10.3390/medicina60122090,Ostojic (2024)
Ostojic (2024),39768969,BPTB,Graft Selection in Anterior Cruciate Ligament Reconstruction: A Comprehensive Review of Current Trends,Ostojic (2024),"Ostojic M, Indelli PF, Lovrekovic B, Volcarenghi J, Juric D, Hakam HT, Salzmann M, Ramadanov N, Królikowska A, Becker R, Prill R.",Medicina (Kaunas). 2024 Dec 20;60(12):2090. doi: 10.3390/medicina60122090.,Ostojic M,Medicina (Kaunas),2024,1/8/2025,PMC11678177,,10.3390/medicina60122090,Ostojic (2024)
Su (2025),39762838,BPTB,Higher incidence of postoperative complications in patients with simultaneous patellar tendon and anterior cruciate ligament ruptures following single surgery: a case series and literature review,Su (2025),"Su HR, Gong X, Wang C, Wang HJ, Gao YT, Wang J, Ma Y, Wang JQ, Shi WL.",BMC Musculoskelet Disord. 2025 Jan 6;26(1):20. doi: 10.1186/s12891-024-08173-8.,Su HR,BMC Musculoskelet Disord,2025,1/6/2025,PMC11702181,,10.1186/s12891-024-08173-8,Su (2025)
Tabbaa (2025),39754419,BPTB,Lower ACLR Failure Rates in Bone-Soft Tissue Versus Soft Tissue-Only Allografts in Adults: A Systematic Review and Meta-analysis,Tabbaa (2025),"Tabbaa A, Atkins M, Montalvo AM, Petit CB, White MS, Petushek EJ, Diekfuss JA, Myer GD, Lamplot JD.",Am J Sports Med. 2025 Mar;53(3):734-744. doi: 10.1177/03635465241250016. Epub 2025 Jan 4.,Tabbaa A,Am J Sports Med,2025,1/4/2025,,,10.1177/03635465241250016,Tabbaa (2025)
Zhang (2024),39694948,QT,Efficacy and safety of quadriceps tendon autograft versus bone-patellar tendon-bone and hamstring tendon autografts for anterior cruciate ligament reconstruction: a systematic review and meta-analysis,Zhang (2024),"Zhang XF, Liu P, Huang JW, He YH.",J Orthop Traumatol. 2024 Dec 18;25(1):65. doi: 10.1186/s10195-024-00801-2.,Zhang XF,J Orthop Traumatol,2024,12/18/2024,PMC11656020,,10.1186/s10195-024-00801-2,Zhang (2024)
