ID,Source,DOI,Authors,Title,Year,Journal,first_author,short_title,key
11,PubMed/MEDLINE,10.2106/JBJS.19.00098,"Sporsheim AN, Gifstad T, Lundemo TO, Engebretsen L, Strand T, Mølster A, Drogset JO.",Autologous BPTB ACL Reconstruction Results in Lower Failure Rates Than ACL Repair with and without Synthetic Augmentation at 30 Years of Follow-up: A Prospective Randomized Study,2019,J Bone Joint Surg Am,Sporsheim,autologousbptbaclreconstructionresultsinlowerfailureratesthanaclrepairwithandwithoutsyntheticaugmentationat30yearsoffollowup:aprospectiverandomizedstudy,
12,PubMed/MEDLINE,10.1177/2309499019867580,"Alentorn-Geli E, Seijas R, Martínez-De la Torre A, Cuscó X, Steinbacher G, Álvarez-Díaz P, Barastegui D, Navarro J, Serra-Renom JM, Nishishinya B, Català J, Laiz P, García-Balletbó M, Cugat R.",Effects of autologous adipose-derived regenerative stem cells administered at the time of anterior cruciate ligament reconstruction on knee function and graft healing,2019,J Orthop Surg (Hong Kong),Alentorn-Geli,effectsofautologousadiposederivedregenerativestemcellsadministeredatthetimeofanteriorcruciateligamentreconstructiononkneefunctionandgrafthealing,
13,PubMed/MEDLINE,10.2106/JBJS.18.01322,"Mohtadi NG, Chan DS.","A Randomized Clinical Trial Comparing Patellar Tendon, Hamstring Tendon, and Double-Bundle ACL Reconstructions: Patient-Reported and Clinical Outcomes at 5-Year Follow-up",2019,J Bone Joint Surg Am,Mohtadi,arandomizedclinicaltrialcomparingpatellartendonhamstringtendonanddoublebundleaclreconstructions:patientreportedandclinicaloutcomesat5yearfollowup,
14,PubMed/MEDLINE,10.1016/j.arthro.2018.10.149,"Bailey L, Griffin J, Elliott M, Wu J, Papavasiliou T, Harner C, Lowe W.",Adductor Canal Nerve Versus Femoral Nerve Blockade for Pain Control and Quadriceps Function Following Anterior Cruciate Ligament Reconstruction With Patellar Tendon Autograft: A Prospective Randomized Trial,2019,Arthroscopy,Bailey,adductorcanalnerveversusfemoralnerveblockadeforpaincontrolandquadricepsfunctionfollowinganteriorcruciateligamentreconstructionwithpatellartendonautograft:a prospectiverandomizedtrial,
15,PubMed/MEDLINE,10.1177/0363546518769295,"Walters BL, Porter DA, Hobart SJ, Bedford BB, Hogan DE, McHugh MM, Klein DA, Harousseau K, Nicholas SJ.",Effect of Intraoperative Platelet-Rich Plasma Treatment on Postoperative Donor Site Knee Pain in Patellar Tendon Autograft Anterior Cruciate Ligament Reconstruction: A Double-Blind Randomized Controlled Trial,2018,Am J Sports Med,Walters,effectofintraoperativeplateletrichplasmatreatmentonpostoperativedonorsitekneepaininpatellartendonautograftanteriorcruciateligamentreconstruction:adoubleblindrandomizedcontrolledtrial,
16,PubMed/MEDLINE,10.1177/0363546518768768,"Sajovic M, Stropnik D, Skaza K.",Long-term Comparison of Semitendinosus and Gracilis Tendon Versus Patellar Tendon Autografts for Anterior Cruciate Ligament Reconstruction: A 17-Year Follow-up of a Randomized Controlled Trial,2018,Am J Sports Med,Sajovic,longtermcomparisonofsemitendinosusandgracilistendonversuspatellartendonautograftsforanteriorcruciateligamentreconstruction:a17yearfollowupofarandomizedcontrolledtrial,
17,PubMed/MEDLINE,10.1016/j.otsr.2016.08.011,"Bressy G, Brun V, Ferrier A, Dujardin D, Oubaya N, Morel N, Fontanin N, Ohl X.",Lack of stability at more than 12 months of follow-up after anterior cruciate ligament reconstruction using all-inside quadruple-stranded semitendinosus graft with adjustable cortical button fixation in both femoral and tibial sides,2016,Orthop Traumatol Surg Res,Bressy,lackofstabilityatmorethan12monthsoffollowupafteranteriorcruciateligamentreconstructionusingallinsidequadruplestrandedsemitendinosusgraftwithadjustablecorticalbuttonfixationinbothfemoralandtibialsides,
18,PubMed/MEDLINE,10.1007/s00402-016-2548-z,"Mei X, Zhang Z, Yang J.",Double-layer versus single-layer bone-patellar tendon-bone anterior cruciate ligament reconstruction: a prospective randomized study with 3-year follow-up,2016,Arch Orthop Trauma Surg,Mei,doublelayerversussinglelayerbonepatellartendonboneanteriorcruciateligamentreconstruction:aprospectiverandomizedstudywith3yearfollowup,
19,PubMed/MEDLINE,10.1007/s00590-016-1809-4,"Biswal UK, Balaji G, Nema S, Poduval M, Menon J, Patro DK.",Correlation of tunnel widening and tunnel positioning with short-term functional outcomes in single-bundle anterior cruciate ligament reconstruction using patellar tendon versus hamstring graft: a prospective study,2016,Eur J Orthop Surg Traumatol,Biswal,correlationoftunnelwideningandtunnelpositioningwithshorttermfunctionaloutcomesinsinglebundleanteriorcruciateligamentreconstructionusingpatellartendonversushamstringgraft:aprospectivestudy,
20,PubMed/MEDLINE,10.1007/s00167-016-4229-4,"Iliopoulos E, Galanis N, Zafeiridis A, Iosifidis M, Papadopoulos P, Potoupnis M, Geladas N, Vrabas IS, Kirkos J.",Anatomic single-bundle anterior cruciate ligament reconstruction improves walking economy: hamstrings tendon versus patellar tendon grafts,2017,Knee Surg Sports Traumatol Arthrosc,Iliopoulos,anatomicsinglebundleanteriorcruciateligamentreconstructionimproveswalkingeconomy:hamstringstendonversuspatellartendongrafts,
21,PubMed/MEDLINE,10.1177/0363546516646378,"Björnsson H, Samuelsson K, Sundemo D, Desai N, Sernert N, Rostgård-Christensen L, Karlsson J, Kartus J.",A Randomized Controlled Trial With Mean 16-Year Follow-up Comparing Hamstring and Patellar Tendon Autografts in Anterior Cruciate Ligament Reconstruction,2016,Am J Sports Med,Björnsson,arandomizedcontrolledtrialwithmean16yearfollowupcomparinghamstringandpatellartendonautograftsinanteriorcruciateligamentreconstruction,
22,PubMed/MEDLINE,10.1177/0363546516638387,"Akelman MR, Fadale PD, Hulstyn MJ, Shalvoy RM, Garcia A, Chin KE, Duryea J, Badger GJ, Tung GA, Fleming BC.",Effect of Matching or Overconstraining Knee Laxity During Anterior Cruciate Ligament Reconstruction on Knee Osteoarthritis and Clinical Outcomes: A Randomized Controlled Trial With 84-Month Follow-up,2016,Am J Sports Med,Akelman,effectofmatchingoroverconstrainingkneelaxityduringanteriorcruciateligamentreconstructiononkneeosteoarthritisandclinicaloutcomes:arandomizedcontrolledtrialwith84monthfollowup,
23,PubMed/MEDLINE,10.1177/0363546515624471,"Sasaki S, Tsuda E, Hiraga Y, Yamamoto Y, Maeda S, Sasaki E, Ishibashi Y.",Prospective Randomized Study of Objective and Subjective Clinical Results Between Double-Bundle and Single-Bundle Anterior Cruciate Ligament Reconstruction,2016,Am J Sports Med,Sasaki,prospectiverandomizedstudyofobjectiveandsubjectiveclinicalresultsbetweendoublebundleandsinglebundleanteriorcruciateligamentreconstruction,
24,PubMed/MEDLINE,10.1007/s00402-015-2386-4,"Konrads C, Reppenhagen S, Plumhoff P, Hoberg M, Rudert M, Barthel T.",No significant difference in clinical outcome and knee stability between patellar tendon and semitendinosus tendon in anterior cruciate ligament reconstruction,2016,Arch Orthop Trauma Surg,Konrads,nosignificantdifferenceinclinicaloutcomeandkneestabilitybetweenpatellartendonandsemitendinosustendoninanteriorcruciateligamentreconstruction,
25,PubMed/MEDLINE,10.1177/0363546515611886,"Webster KE, Feller JA, Hartnett N, Leigh WB, Richmond AK.",Comparison of Patellar Tendon and Hamstring Tendon Anterior Cruciate Ligament Reconstruction: A 15-Year Follow-up of a Randomized Controlled Trial,2016,Am J Sports Med,Webster,comparisonofpatellartendonandhamstringtendonanteriorcruciateligamentreconstruction:a15yearfollowupofarandomizedcontrolledtrial,
26,PubMed/MEDLINE,10.1097/JSM.0000000000000209,"Mohtadi N, Chan D, Barber R, Paolucci EO.","Reruptures, Reinjuries, and Revisions at a Minimum 2-Year Follow-up: A Randomized Clinical Trial Comparing 3 Graft Types for ACL Reconstruction",2016,Clin J Sport Med,Mohtadi,rerupturesreinjuriesandrevisionsataminimum2yearfollowup:arandomizedclinicaltrialcomparing3grafttypesforaclreconstruction,
27,PubMed/MEDLINE,,"Płomiński J, Piątkowski K, Rowicki K.","[Long-term outcomes after ""anatomic"" reconstruction of anterior cruciate ligament using central third of patellar tendon]",2015,Pol Merkur Lekarski,Płomiński,"longtermoutcomesafter""anatomic""reconstructionofanteriorcruciateligamentusingcentralthirdofpatellartendon",
28,PubMed/MEDLINE,10.1097/JSM.0000000000000165,"Mohtadi N, Chan D, Barber R, Oddone Paolucci E.","A Randomized Clinical Trial Comparing Patellar Tendon, Hamstring Tendon, and Double-Bundle ACL Reconstructions: Patient-Reported and Clinical Outcomes at a Minimal 2-Year Follow-up",2015,Clin J Sport Med,Mohtadi,arandomizedclinicaltrialcomparingpatellartendonhamstringtendonanddoublebundleaclreconstructions:patientreportedandclinicaloutcomesataminimal2yearfollowup,
29,PubMed/MEDLINE,10.1016/S0020-1383(14)70008-7,"Valentí Azcárate A, Lamo-Espinosa J, Aquerreta Beola JD, Hernandez Gonzalez M, Mora Gasque G, Valentí Nin JR.",Comparison between two different platelet-rich plasma preparations and control applied during anterior cruciate ligament reconstruction. Is there any evidence to support their use?,2014,Injury,Valentí,comparisonbetweentwodifferentplateletrichplasmapreparationsandcontrolappliedduringanteriorcruciateligamentreconstructionisthereanyevidencetosupporttheiruse?,
30,PubMed/MEDLINE,10.1007/s00264-014-2513-9,"Papalia R, Franceschi F, Tecame A, D'Adamio S, Maffulli N, Denaro V.",Anterior cruciate ligament reconstruction and return to sport activity: postural control as the key to success,2015,Int Orthop,Papalia,anteriorcruciateligamentreconstructionandreturntosportactivity:posturalcontrolasthekeytosuccess,
31,PubMed/MEDLINE,10.1007/s00264-014-2495-7,"Kautzner J, Kos P, Hanus M, Trc T, Havlas V.",A comparison of ACL reconstruction using patellar tendon versus hamstring autograft in female patients: a prospective randomised study,2015,Int Orthop,Kautzner,acomparisonofaclreconstructionusingpatellartendonversushamstringautograftinfemalepatients:aprospectiverandomisedstudy,
32,PubMed/MEDLINE,10.1007/s00508-014-0550-4,"Leitgeb J, Köttstorfer J, Schuster R, Kovar FM, Platzer P, Aldrian S.",Primary anterior cruciate ligament reconstruction in athletes: a 5-year follow up comparing patellar tendon versus hamstring tendon autograft,2014,Wien Klin Wochenschr,Leitgeb,primaryanteriorcruciateligamentreconstructioninathletes:a5yearfollowupcomparingpatellartendonversushamstringtendonautograft,
33,PubMed/MEDLINE,10.1007/s00402-014-1999-3,"Sarzaeem MM, Najafi F, Razi M, Najafi MA.",ACL reconstruction using bone-patella tendon-bone autograft: press-fit technique vs. interference screw fixation,2014,Arch Orthop Trauma Surg,Sarzaeem,aclreconstructionusingbonepatellatendonboneautograft:pressfittechniquevsinterferencescrewfixation,
34,PubMed/MEDLINE,10.1177/0363546514526139,"Barenius B, Ponzer S, Shalabi A, Bujak R, Norlén L, Eriksson K.",Increased risk of osteoarthritis after anterior cruciate ligament reconstruction: a 14-year follow-up study of a randomized controlled trial,2014,Am J Sports Med,Barenius,increasedriskofosteoarthritisafteranteriorcruciateligamentreconstruction:a14yearfollowupstudyofarandomizedcontrolledtrial,
35,PubMed/MEDLINE,10.1016/j.arthro.2014.01.012,"Lund B, Nielsen T, Faunø P, Christiansen SE, Lind M.",Is quadriceps tendon a better graft choice than patellar tendon? a prospective randomized study,2014,Arthroscopy,Lund,isquadricepstendonabettergraftchoicethanpatellartendon?aprospectiverandomizedstudy,
36,PubMed/MEDLINE,10.1177/0363546513499140,"McRae S, Leiter J, McCormack R, Old J, MacDonald P.",Ipsilateral versus contralateral hamstring grafts in anterior cruciate ligament reconstruction: a prospective randomized trial,2013,Am J Sports Med,McRae,ipsilateralversuscontralateralhamstringgraftsinanteriorcruciateligamentreconstruction:aprospectiverandomizedtrial,
37,PubMed/MEDLINE,10.1007/s00167-013-2636-3,"Peterson L, Eklund U, Engström B, Forssblad M, Saartok T, Valentin A.",Long-term results of a randomized study on anterior cruciate ligament reconstruction with or without a synthetic degradable augmentation device to support the autograft,2014,Knee Surg Sports Traumatol Arthrosc,Peterson,longtermresultsofarandomizedstudyonanteriorcruciateligamentreconstructionwithorwithoutasyntheticdegradableaugmentationdevicetosupporttheautograft,
38,PubMed/MEDLINE,10.1007/s00167-013-2630-9,"Stensbirk F, Thorborg K, Konradsen L, Jørgensen U, Hölmich P.","Iliotibial band autograft versus bone-patella-tendon-bone autograft, a possible alternative for ACL reconstruction: a 15-year prospective randomized controlled trial",2014,Knee Surg Sports Traumatol Arthrosc,Stensbirk,iliotibialbandautograftversusbonepatellatendonboneautograftapossiblealternativeforaclreconstruction:a15yearprospectiverandomizedcontrolledtrial,
39,PubMed/MEDLINE,10.1007/s00167-013-2564-2,"Mayr HO, Stüeken P, Münch EO, Wolter M, Bernstein A, Suedkamp NP, Stoehr A.",Brace or no-brace after ACL graft? Four-year results of a prospective clinical trial,2014,Knee Surg Sports Traumatol Arthrosc,Mayr,braceornobraceafteraclgraft?fouryearresultsofaprospectiveclinicaltrial,
40,PubMed/MEDLINE,10.1055/s-0033-1343614,"Barber FA, Hrnack SA.",Poly L-lactide co-glycolide/β-tricalcium phosphate interference screw fixation for bone-patellar tendon bone anterior cruciate ligament reconstruction,2013,J Knee Surg,Barber,polyllactidecoglycolide/βtricalciumphosphateinterferencescrewfixationforbonepatellartendonboneanteriorcruciateligamentreconstruction,
41,PubMed/MEDLINE,10.1007/s00167-012-2309-7,"Indelicato PA, Ciccotti MG, Boyd J, Higgins LD, Shaffer BS, Vangsness CT Jr.",Aseptically processed and chemically sterilized BTB allografts for anterior cruciate ligament reconstruction: a prospective randomized study,2013,Knee Surg Sports Traumatol Arthrosc,Indelicato,asepticallyprocessedandchemicallysterilizedbtballograftsforanteriorcruciateligamentreconstruction:aprospectiverandomizedstudy,
42,PubMed/MEDLINE,10.1016/j.knee.2012.02.005,"Lui PP, Cheng YY, Yung SH, Hung AS, Chan KM.",A randomized controlled trial comparing bone mineral density changes of three different ACL reconstruction techniques,2012,Knee,Lui,arandomizedcontrolledtrialcomparingbonemineraldensitychangesofthreedifferentaclreconstructiontechniques,
43,PubMed/MEDLINE,10.1007/s00167-012-1947-0,"Gifstad T, Sole A, Strand T, Uppheim G, Grøntvedt T, Drogset JO.",Long-term follow-up of patellar tendon grafts or hamstring tendon grafts in endoscopic ACL reconstructions,2013,Knee Surg Sports Traumatol Arthrosc,Gifstad,longtermfollowupofpatellartendongraftsorhamstringtendongraftsinendoscopicaclreconstructions,
44,PubMed/MEDLINE,10.1177/0363546511430375,"Leys T, Salmon L, Waller A, Linklater J, Pinczewski L.",Clinical results and risk factors for reinjury 15 years after anterior cruciate ligament reconstruction: a prospective study of hamstring and patellar tendon grafts,2012,Am J Sports Med,Leys,clinicalresultsandriskfactorsforreinjury15yearsafteranteriorcruciateligamentreconstruction:aprospectivestudyofhamstringandpatellartendongrafts,
45,PubMed/MEDLINE,10.1177/0363546511411702,"Sajovic M, Strahovnik A, Dernovsek MZ, Skaza K.",Quality of life and clinical outcome comparison of semitendinosus and gracilis tendon versus patellar tendon autografts for anterior cruciate ligament reconstruction: an 11-year follow-up of a randomized controlled trial,2011,Am J Sports Med,Sajovic,qualityoflifeandclinicaloutcomecomparisonofsemitendinosusandgracilistendonversuspatellartendonautograftsforanteriorcruciateligamentreconstruction:an11yearfollowupofarandomizedcontrolledtrial,
46,PubMed/MEDLINE,10.1007/s00167-011-1585-y,"Fernandes TL, Protta TR, Fregni F, Neto RB, Pedrinelli A, Camanho GL, Hernandez AJ.",Isokinetic muscle strength and knee function associated with double femoral pin fixation and fixation with interference screw in anterior cruciate ligament reconstruction,2012,Knee Surg Sports Traumatol Arthrosc,Fernandes,isokineticmusclestrengthandkneefunctionassociatedwithdoublefemoralpinfixationandfixationwithinterferencescrewinanteriorcruciateligamentreconstruction,
47,PubMed/MEDLINE,10.1097/JSM.0b013e31822153cb,"Leal-Blanquet J, Alentorn-Geli E, Tuneu J, Valentí JR, Maestro A.",Anterior cruciate ligament reconstruction: a multicenter prospective cohort study evaluating 3 different grafts using same bone drilling method,2011,Clin J Sport Med,Leal-Blanquet,anteriorcruciateligamentreconstruction:amulticenterprospectivecohortstudyevaluating3differentgraftsusingsamebonedrillingmethod,
48,PubMed/MEDLINE,10.1016/j.arthro.2011.01.015,"Wipfler B, Donner S, Zechmann CM, Springer J, Siebold R, Paessler HH.",Anterior cruciate ligament reconstruction using patellar tendon versus hamstring tendon: a prospective comparative study with 9-year follow-up,2011,Arthroscopy,Wipfler,anteriorcruciateligamentreconstructionusingpatellartendonversushamstringtendon:aprospectivecomparativestudywith9yearfollowup,
49,PubMed/MEDLINE,10.1016/j.arthro.2010.11.056,"Barber FA, Dockery WD, Hrnack SA.",Long-term degradation of a poly-lactide co-glycolide/β-tricalcium phosphate biocomposite interference screw,2011,Arthroscopy,Barber,longtermdegradationofapolylactidecoglycolide/βtricalciumphosphatebiocompositeinterferencescrew,
50,PubMed/MEDLINE,10.1007/s00264-011-1206-x,"Mihelic R, Jurdana H, Jotanovic Z, Madjarevic T, Tudor A.",Long-term results of anterior cruciate ligament reconstruction: a comparison with non-operative treatment with a follow-up of 17-20 years,2011,Int Orthop,Mihelic,longtermresultsofanteriorcruciateligamentreconstruction:acomparisonwithnonoperativetreatmentwithafollowupof1720years,
51,PubMed/MEDLINE,10.1007/s00167-010-1353-4,"Drogset JO, Straume LG, Bjørkmo I, Myhr G.",A prospective randomized study of ACL-reconstructions using bone-patellar tendon-bone grafts fixed with bioabsorbable or metal interference screws,2011,Knee Surg Sports Traumatol Arthrosc,Drogset,aprospectiverandomizedstudyofaclreconstructionsusingbonepatellartendonbonegraftsfixedwithbioabsorbableormetalinterferencescrews,
52,PubMed/MEDLINE,10.1016/j.injury.2010.09.029,"Volpi P, Cervellin M, Denti M, Bait C, Melegati G, Quaglia A, de Girolamo L.",ACL reconstruction in sports active people: transtibial DB technique with ST/G vs. transtibial SB technique with BPTB: preliminary results,2010,Injury,Volpi,aclreconstructioninsportsactivepeople:transtibialdbtechniquewithst/gvstranstibialsbtechniquewithbptb:preliminaryresults,
53,PubMed/MEDLINE,10.1007/s00167-010-1225-y,"Zaffagnini S, Bruni D, Marcheggiani Muccioli GM, Bonanzinga T, Lopomo N, Bignozzi S, Marcacci M.",Single-bundle patellar tendon versus non-anatomical double-bundle hamstrings ACL reconstruction: a prospective randomized study at 8-year minimum follow-up,2011,Knee Surg Sports Traumatol Arthrosc,Zaffagnini,singlebundlepatellartendonversusnonanatomicaldoublebundlehamstringsaclreconstruction:aprospectiverandomizedstudyat8yearminimumfollowup,
54,PubMed/MEDLINE,10.1177/0363546510369549,"Barenius B, Nordlander M, Ponzer S, Tidermark J, Eriksson K.",Quality of life and clinical outcome after anterior cruciate ligament reconstruction using patellar tendon graft or quadrupled semitendinosus graft: an 8-year follow-up of a randomized controlled trial,2010,Am J Sports Med,Barenius,qualityoflifeandclinicaloutcomeafteranteriorcruciateligamentreconstructionusingpatellartendongraftorquadrupledsemitendinosusgraft:an8yearfollowupofarandomizedcontrolledtrial,
55,PubMed/MEDLINE,10.1007/s00264-010-1000-1,"Alentorn-Geli E, Samitier G, Alvarez P, Steinbacher G, Cugat R.",Anteromedial portal versus transtibial drilling techniques in ACL reconstruction: a blinded cross-sectional study at two- to five-year follow-up,2010,Int Orthop,Alentorn-Geli,anteromedialportalversustranstibialdrillingtechniquesinaclreconstruction:ablindedcrosssectionalstudyattwotofiveyearfollowup,
56,PubMed/MEDLINE,10.1177/0363546509349490,"Sekir U, Gur H, Akova B.",Early versus late start of isokinetic hamstring-strengthening exercise after anterior cruciate ligament reconstruction with patellar tendon graft,2010,Am J Sports Med,Sekir,earlyversuslatestartofisokinetichamstringstrengtheningexerciseafteranteriorcruciateligamentreconstructionwithpatellartendongraft,
57,PubMed/MEDLINE,10.1177/0363546509350301,"Holm I, Oiestad BE, Risberg MA, Aune AK.",No difference in knee function or prevalence of osteoarthritis after reconstruction of the anterior cruciate ligament with 4-strand hamstring autograft versus patellar tendon-bone autograft: a randomized study with 10-year follow-up,2010,Am J Sports Med,Holm,nodifferenceinkneefunctionorprevalenceofosteoarthritisafterreconstructionoftheanteriorcruciateligamentwith4strandhamstringautograftversuspatellartendonboneautograft:arandomizedstudywith10yearfollowup,
58,PubMed/MEDLINE,10.1007/s00167-009-0996-5,"Drogset JO, Strand T, Uppheim G, Odegård B, Bøe A, Grøntvedt T.",Autologous patellar tendon and quadrupled hamstring grafts in anterior cruciate ligament reconstruction: a prospective randomized multicenter review of different fixation methods,2010,Knee Surg Sports Traumatol Arthrosc,Drogset,autologouspatellartendonandquadrupledhamstringgraftsinanteriorcruciateligamentreconstruction:aprospectiverandomizedmulticenterreviewofdifferentfixationmethods,
59,PubMed/MEDLINE,10.1016/j.knee.2009.09.008,"Ghalayini SR, Helm AT, Bonshahi AY, Lavender A, Johnson DS, Smith RB.",Arthroscopic anterior cruciate ligament surgery: results of autogenous patellar tendon graft versus the Leeds-Keio synthetic graft five year follow-up of a prospective randomised controlled trial,2010,Knee,Ghalayini,arthroscopicanteriorcruciateligamentsurgery:resultsofautogenouspatellartendongraftversustheleedskeiosyntheticgraftfiveyearfollowupofaprospectiverandomisedcontrolledtrial,
60,PubMed/MEDLINE,10.1016/j.arthro.2009.05.016,"Endele D, Jung C, Becker U, Bauer G, Mauch F.",Anterior cruciate ligament reconstruction with and without computer navigation: a clinical and magnetic resonance imaging evaluation 2 years after surgery,2009,Arthroscopy,Endele,anteriorcruciateligamentreconstructionwithandwithoutcomputernavigation:aclinicalandmagneticresonanceimagingevaluation2yearsaftersurgery,
61,PubMed/MEDLINE,10.1177/0363546509339577,"Taylor DC, DeBerardino TM, Nelson BJ, Duffey M, Tenuta J, Stoneman PD, Sturdivant RX, Mountcastle S.",Patellar tendon versus hamstring tendon autografts for anterior cruciate ligament reconstruction: a randomized controlled trial using similar femoral and tibial fixation methods,2009,Am J Sports Med,Taylor,patellartendonversushamstringtendonautograftsforanteriorcruciateligamentreconstruction:arandomizedcontrolledtrialusingsimilarfemoralandtibialfixationmethods,
62,PubMed/MEDLINE,10.1007/s00167-009-0846-5,"Ahldén M, Kartus J, Ejerhed L, Karlsson J, Sernert N.","Knee laxity measurements after anterior cruciate ligament reconstruction, using either bone-patellar-tendon-bone or hamstring tendon autografts, with special emphasis on comparison over time",2009,Knee Surg Sports Traumatol Arthrosc,Ahldén,kneelaxitymeasurementsafteranteriorcruciateligamentreconstructionusingeitherbonepatellartendonboneorhamstringtendonautograftswithspecialemphasisoncomparisonovertime,
63,PubMed/MEDLINE,,"Laoruengthana A, Pattayakorn S, Chotanaputhi T, Kosiyatrakul A.","Clinical comparison between six-strand hamstring tendon and patellar tendon autograft in arthroscopic anterior cruciate ligament reconstruction: a prospective, randomized clinical trial",2009,J Med Assoc Thai,Laoruengthana,clinicalcomparisonbetweensixstrandhamstringtendonandpatellartendonautograftinarthroscopicanteriorcruciateligamentreconstruction:aprospectiverandomizedclinicaltrial,
