id,study_id,source,authors,first_author,Title,short_title,Publication Year,DOI,Journal/Book,deduplication,title_abstract_screening,full-text_screening,reason_for_exclusion
,Sporsheim AN (2019),PubMed,"Sporsheim AN, Gifstad T, Lundemo TO, Engebretsen L, Strand T, MÃ¸lster A, Drogset JO.",Sporsheim,Autologous BPTB ACL Reconstruction Results in Lower Failure Rates Than ACL Repair with and without Synthetic Augmentation at 30 Years of Follow-up: A Prospective Randomized Study,Autologous BPTB ACL Reconstruction ,2019,10.2106/JBJS.19.00098,J Bone Joint Surg Am,Sporsheim2019,,,
,Alentorn-Geli E (2019),PubMed,"Alentorn-Geli E, Seijas R, MartÃ­nez-De la Torre A, CuscÃ³ X, Steinbacher G, Ãlvarez-DÃ­az P, Barastegui D, Navarro J, Serra-Renom JM, Nishishinya B, CatalÃ  J, Laiz P, GarcÃ­a-BalletbÃ³ M, Cugat R.",Alentorn-Geli,Effects of autologous adipose-derived regenerative stem cells administered at the time of anterior cruciate ligament reconstruction on knee function and graft healing,Effects of autologous adipose-deriv,2019,10.1177/2309499019867580,J Orthop Surg (Hong Kong),Alentorn-Geli2019,,,
,Mohtadi NG (2019),PubMed,"Mohtadi NG, Chan DS.",Mohtadi,"A Randomized Clinical Trial Comparing Patellar Tendon, Hamstring Tendon, and Double-Bundle ACL Reconstructions: Patient-Reported and Clinical Outcomes at 5-Year Follow-up",A Randomized Clinical Trial Compari,2019,10.2106/JBJS.18.01322,J Bone Joint Surg Am,Mohtadi2019,,,
,Bailey L (2019),PubMed,"Bailey L, Griffin J, Elliott M, Wu J, Papavasiliou T, Harner C, Lowe W.",Bailey,Adductor Canal Nerve Versus Femoral Nerve Blockade for Pain Control and Quadriceps Function Following Anterior Cruciate Ligament Reconstruction With Patellar Tendon Autograft: AÂ Prospective Randomized Trial,Adductor Canal Nerve Versus Femoral,2019,10.1016/j.arthro.2018.10.149,Arthroscopy,Bailey2019,,,
,Walters BL (2018),PubMed,"Walters BL, Porter DA, Hobart SJ, Bedford BB, Hogan DE, McHugh MM, Klein DA, Harousseau K, Nicholas SJ.",Walters,Effect of Intraoperative Platelet-Rich Plasma Treatment on Postoperative Donor Site Knee Pain in Patellar Tendon Autograft Anterior Cruciate Ligament Reconstruction: A Double-Blind Randomized Controlled Trial,Effect of Intraoperative Platelet-R,2018,10.1177/0363546518769295,Am J Sports Med,Walters2018,,,
,Sajovic M (2018),PubMed,"Sajovic M, Stropnik D, Skaza K.",Sajovic,Long-term Comparison of Semitendinosus and Gracilis Tendon Versus Patellar Tendon Autografts for Anterior Cruciate Ligament Reconstruction: A 17-Year Follow-up of a Randomized Controlled Trial,Long-term Comparison of Semitendino,2018,10.1177/0363546518768768,Am J Sports Med,Sajovic2018,,,
,Bressy G (2016),PubMed,"Bressy G, Brun V, Ferrier A, Dujardin D, Oubaya N, Morel N, Fontanin N, Ohl X.",Bressy,Lack of stability at more than 12 months of follow-up after anterior cruciate ligament reconstruction using all-inside quadruple-stranded semitendinosus graft with adjustable cortical button fixation in both femoral and tibial sides,Lack of stability at more than 12 m,2016,10.1016/j.otsr.2016.08.011,Orthop Traumatol Surg Res,Bressy2016,,,
,Mei X (2016),PubMed,"Mei X, Zhang Z, Yang J.",Mei,Double-layer versus single-layer bone-patellar tendon-bone anterior cruciate ligament reconstruction: a prospective randomized study with 3-year follow-up,Double-layer versus single-layer bo,2016,10.1007/s00402-016-2548-z,Arch Orthop Trauma Surg,Mei2016,,,
,Biswal UK (2016),PubMed,"Biswal UK, Balaji G, Nema S, Poduval M, Menon J, Patro DK.",Biswal,Correlation of tunnel widening and tunnel positioning with short-term functional outcomes in single-bundle anterior cruciate ligament reconstruction using patellar tendon versus hamstring graft: a prospective study,Correlation of tunnel widening and ,2016,10.1007/s00590-016-1809-4,Eur J Orthop Surg Traumatol,Biswal2016,,,
,Iliopoulos E (2017),PubMed,"Iliopoulos E, Galanis N, Zafeiridis A, Iosifidis M, Papadopoulos P, Potoupnis M, Geladas N, Vrabas IS, Kirkos J.",Iliopoulos,Anatomic single-bundle anterior cruciate ligament reconstruction improves walking economy: hamstrings tendon versus patellar tendon grafts,Anatomic single-bundle anterior cru,2017,10.1007/s00167-016-4229-4,Knee Surg Sports Traumatol Arthrosc,Iliopoulos2017,,,
,BjÃ¶rnsson H (2016),PubMed,"BjÃ¶rnsson H, Samuelsson K, Sundemo D, Desai N, Sernert N, RostgÃ¥rd-Christensen L, Karlsson J, Kartus J.",BjÃ¶rnsson,A Randomized Controlled Trial With Mean 16-Year Follow-up Comparing Hamstring and Patellar Tendon Autografts in Anterior Cruciate Ligament Reconstruction,A Randomized Controlled Trial With ,2016,10.1177/0363546516646378,Am J Sports Med,BjÃ¶rnsson2016,,,
,Akelman MR (2016),PubMed,"Akelman MR, Fadale PD, Hulstyn MJ, Shalvoy RM, Garcia A, Chin KE, Duryea J, Badger GJ, Tung GA, Fleming BC.",Akelman,Effect of Matching or Overconstraining Knee Laxity During Anterior Cruciate Ligament Reconstruction on Knee Osteoarthritis and Clinical Outcomes: A Randomized Controlled Trial With 84-Month Follow-up,Effect of Matching or Overconstrain,2016,10.1177/0363546516638387,Am J Sports Med,Akelman2016,,,
,Sasaki S (2016),PubMed,"Sasaki S, Tsuda E, Hiraga Y, Yamamoto Y, Maeda S, Sasaki E, Ishibashi Y.",Sasaki,Prospective Randomized Study of Objective and Subjective Clinical Results Between Double-Bundle and Single-Bundle Anterior Cruciate Ligament Reconstruction,Prospective Randomized Study of Obj,2016,10.1177/0363546515624471,Am J Sports Med,Sasaki2016,,,
,Konrads C (2016),PubMed,"Konrads C, Reppenhagen S, Plumhoff P, Hoberg M, Rudert M, Barthel T.",Konrads,No significant difference in clinical outcome and knee stability between patellar tendon and semitendinosus tendon in anterior cruciate ligament reconstruction,No significant difference in clinic,2016,10.1007/s00402-015-2386-4,Arch Orthop Trauma Surg,Konrads2016,,,
,Webster KE (2016),PubMed,"Webster KE, Feller JA, Hartnett N, Leigh WB, Richmond AK.",Webster,Comparison of Patellar Tendon and Hamstring Tendon Anterior Cruciate Ligament Reconstruction: A 15-Year Follow-up of a Randomized Controlled Trial,Comparison of Patellar Tendon and H,2016,10.1177/0363546515611886,Am J Sports Med,Webster2016,,,
,Mohtadi N (2016),PubMed,"Mohtadi N, Chan D, Barber R, Paolucci EO.",Mohtadi,"Reruptures, Reinjuries, and Revisions at a Minimum 2-Year Follow-up: A Randomized Clinical Trial Comparing 3 Graft Types for ACL Reconstruction","Reruptures, Reinjuries, and Revisio",2016,10.1097/JSM.0000000000000209,Clin J Sport Med,Mohtadi2016,,,
,PÅ‚omiÅ„ski J (2015),PubMed,"PÅ‚omiÅ„ski J, PiÄ…tkowski K, Rowicki K.",PÅ‚omiÅ„ski,"[Long-term outcomes after ""anatomic"" reconstruction of anterior cruciate ligament using central third of patellar tendon]","Long-term outcomes after ""anatomic""",2015,,Pol Merkur Lekarski,PÅ‚omiÅ„ski2015,,,
,Mohtadi N (2015),PubMed,"Mohtadi N, Chan D, Barber R, Oddone Paolucci E.",Mohtadi,"A Randomized Clinical Trial Comparing Patellar Tendon, Hamstring Tendon, and Double-Bundle ACL Reconstructions: Patient-Reported and Clinical Outcomes at a Minimal 2-Year Follow-up",A Randomized Clinical Trial Compari,2015,10.1097/JSM.0000000000000165,Clin J Sport Med,Mohtadi2015,,,
,ValentÃ­ AzcÃ¡rate A (2014),PubMed,"ValentÃ­ AzcÃ¡rate A, Lamo-Espinosa J, Aquerreta Beola JD, Hernandez Gonzalez M, Mora Gasque G, ValentÃ­ Nin JR.",ValentÃ­,Comparison between two different platelet-rich plasma preparations and control applied during anterior cruciate ligament reconstruction. Is there any evidence to support their use?,Comparison between two different pl,2014,10.1016/S0020-1383(14)70008-7,Injury,ValentÃ­2014,,,
,Papalia R (2015),PubMed,"Papalia R, Franceschi F, Tecame A, D'Adamio S, Maffulli N, Denaro V.",Papalia,Anterior cruciate ligament reconstruction and return to sport activity: postural control as the key to success,Anterior cruciate ligament reconstr,2015,10.1007/s00264-014-2513-9,Int Orthop,Papalia2015,,,
,Kautzner J (2015),PubMed,"Kautzner J, Kos P, Hanus M, Trc T, Havlas V.",Kautzner,A comparison of ACL reconstruction using patellar tendon versus hamstring autograft in female patients: a prospective randomised study,A comparison of ACL reconstruction ,2015,10.1007/s00264-014-2495-7,Int Orthop,Kautzner2015,,,
,Leitgeb J (2014),PubMed,"Leitgeb J, KÃ¶ttstorfer J, Schuster R, Kovar FM, Platzer P, Aldrian S.",Leitgeb,Primary anterior cruciate ligament reconstruction in athletes: a 5-year follow up comparing patellar tendon versus hamstring tendon autograft,Primary anterior cruciate ligament ,2014,10.1007/s00508-014-0550-4,Wien Klin Wochenschr,Leitgeb2014,,,
,Sarzaeem MM (2014),PubMed,"Sarzaeem MM, Najafi F, Razi M, Najafi MA.",Sarzaeem,ACL reconstruction using bone-patella tendon-bone autograft: press-fit technique vs. interference screw fixation,ACL reconstruction using bone-patel,2014,10.1007/s00402-014-1999-3,Arch Orthop Trauma Surg,Sarzaeem2014,,,
,Barenius B (2014),PubMed,"Barenius B, Ponzer S, Shalabi A, Bujak R, NorlÃ©n L, Eriksson K.",Barenius,Increased risk of osteoarthritis after anterior cruciate ligament reconstruction: a 14-year follow-up study of a randomized controlled trial,Increased risk of osteoarthritis af,2014,10.1177/0363546514526139,Am J Sports Med,Barenius2014,,,
,Lund B (2014),PubMed,"Lund B, Nielsen T, FaunÃ¸ P, Christiansen SE, Lind M.",Lund,Is quadriceps tendon a better graft choice than patellar tendon? a prospective randomized study,Is quadriceps tendon a better graft,2014,10.1016/j.arthro.2014.01.012,Arthroscopy,Lund2014,,,
,McRae S (2013),PubMed,"McRae S, Leiter J, McCormack R, Old J, MacDonald P.",McRae,Ipsilateral versus contralateral hamstring grafts in anterior cruciate ligament reconstruction: a prospective randomized trial,Ipsilateral versus contralateral ha,2013,10.1177/0363546513499140,Am J Sports Med,McRae2013,,,
,Peterson L (2014),PubMed,"Peterson L, Eklund U, EngstrÃ¶m B, Forssblad M, Saartok T, Valentin A.",Peterson,Long-term results of a randomized study on anterior cruciate ligament reconstruction with or without a synthetic degradable augmentation device to support the autograft,Long-term results of a randomized s,2014,10.1007/s00167-013-2636-3,Knee Surg Sports Traumatol Arthrosc,Peterson2014,,,
,Stensbirk F (2014),PubMed,"Stensbirk F, Thorborg K, Konradsen L, JÃ¸rgensen U, HÃ¶lmich P.",Stensbirk,"Iliotibial band autograft versus bone-patella-tendon-bone autograft, a possible alternative for ACL reconstruction: a 15-year prospective randomized controlled trial",Iliotibial band autograft versus bo,2014,10.1007/s00167-013-2630-9,Knee Surg Sports Traumatol Arthrosc,Stensbirk2014,,,
,Mayr HO (2014),PubMed,"Mayr HO, StÃ¼eken P, MÃ¼nch EO, Wolter M, Bernstein A, Suedkamp NP, Stoehr A.",Mayr,Brace or no-brace after ACL graft? Four-year results of a prospective clinical trial,Brace or no-brace after ACL graft? ,2014,10.1007/s00167-013-2564-2,Knee Surg Sports Traumatol Arthrosc,Mayr2014,,,
,Barber FA (2013),PubMed,"Barber FA, Hrnack SA.",Barber,Poly L-lactide co-glycolide/Î²-tricalcium phosphate interference screw fixation for bone-patellar tendon bone anterior cruciate ligament reconstruction,Poly L-lactide co-glycolide/Î²-tric,2013,10.1055/s-0033-1343614,J Knee Surg,Barber2013,,,
,Indelicato PA (2013),PubMed,"Indelicato PA, Ciccotti MG, Boyd J, Higgins LD, Shaffer BS, Vangsness CT Jr.",Indelicato,Aseptically processed and chemically sterilized BTB allografts for anterior cruciate ligament reconstruction: a prospective randomized study,Aseptically processed and chemicall,2013,10.1007/s00167-012-2309-7,Knee Surg Sports Traumatol Arthrosc,Indelicato2013,,,
,Lui PP (2012),PubMed,"Lui PP, Cheng YY, Yung SH, Hung AS, Chan KM.",Lui,A randomized controlled trial comparing bone mineral density changes of three different ACL reconstruction techniques,A randomized controlled trial compa,2012,10.1016/j.knee.2012.02.005,Knee,Lui2012,,,
,Gifstad T (2013),PubMed,"Gifstad T, Sole A, Strand T, Uppheim G, GrÃ¸ntvedt T, Drogset JO.",Gifstad,Long-term follow-up of patellar tendon grafts or hamstring tendon grafts in endoscopic ACL reconstructions,Long-term follow-up of patellar ten,2013,10.1007/s00167-012-1947-0,Knee Surg Sports Traumatol Arthrosc,Gifstad2013,,,
,Leys T (2012),PubMed,"Leys T, Salmon L, Waller A, Linklater J, Pinczewski L.",Leys,Clinical results and risk factors for reinjury 15 years after anterior cruciate ligament reconstruction: a prospective study of hamstring and patellar tendon grafts,Clinical results and risk factors f,2012,10.1177/0363546511430375,Am J Sports Med,Leys2012,,,
,Sajovic M (2011),PubMed,"Sajovic M, Strahovnik A, Dernovsek MZ, Skaza K.",Sajovic,Quality of life and clinical outcome comparison of semitendinosus and gracilis tendon versus patellar tendon autografts for anterior cruciate ligament reconstruction: an 11-year follow-up of a randomized controlled trial,Quality of life and clinical outcom,2011,10.1177/0363546511411702,Am J Sports Med,Sajovic2011,,,
,Fernandes TL (2012),PubMed,"Fernandes TL, Protta TR, Fregni F, Neto RB, Pedrinelli A, Camanho GL, Hernandez AJ.",Fernandes,Isokinetic muscle strength and knee function associated with double femoral pin fixation and fixation with interference screw in anterior cruciate ligament reconstruction,Isokinetic muscle strength and knee,2012,10.1007/s00167-011-1585-y,Knee Surg Sports Traumatol Arthrosc,Fernandes2012,,,
,Leal-Blanquet J (2011),PubMed,"Leal-Blanquet J, Alentorn-Geli E, Tuneu J, ValentÃ­ JR, Maestro A.",Leal-Blanquet,Anterior cruciate ligament reconstruction: a multicenter prospective cohort study evaluating 3 different grafts using same bone drilling method,Anterior cruciate ligament reconstr,2011,10.1097/JSM.0b013e31822153cb,Clin J Sport Med,Leal-Blanquet2011,,,
,Wipfler B (2011),PubMed,"Wipfler B, Donner S, Zechmann CM, Springer J, Siebold R, Paessler HH.",Wipfler,Anterior cruciate ligament reconstruction using patellar tendon versus hamstring tendon: a prospective comparative study with 9-year follow-up,Anterior cruciate ligament reconstr,2011,10.1016/j.arthro.2011.01.015,Arthroscopy,Wipfler2011,,,
,Barber FA (2011),PubMed,"Barber FA, Dockery WD, Hrnack SA.",Barber,Long-term degradation of a poly-lactide co-glycolide/Î²-tricalcium phosphate biocomposite interference screw,Long-term degradation of a poly-lac,2011,10.1016/j.arthro.2010.11.056,Arthroscopy,Barber2011,,,
,Mihelic R (2011),PubMed,"Mihelic R, Jurdana H, Jotanovic Z, Madjarevic T, Tudor A.",Mihelic,Long-term results of anterior cruciate ligament reconstruction: a comparison with non-operative treatment with a follow-up of 17-20 years,Long-term results of anterior cruci,2011,10.1007/s00264-011-1206-x,Int Orthop,Mihelic2011,,,
,Drogset JO (2011),PubMed,"Drogset JO, Straume LG, BjÃ¸rkmo I, Myhr G.",Drogset,A prospective randomized study of ACL-reconstructions using bone-patellar tendon-bone grafts fixed with bioabsorbable or metal interference screws,A prospective randomized study of A,2011,10.1007/s00167-010-1353-4,Knee Surg Sports Traumatol Arthrosc,Drogset2011,,,
,Volpi P (2010),PubMed,"Volpi P, Cervellin M, Denti M, Bait C, Melegati G, Quaglia A, de Girolamo L.",Volpi,ACL reconstruction in sports active people: transtibial DB technique with ST/G vs. transtibial SB technique with BPTB: preliminary results,ACL reconstruction in sports active,2010,10.1016/j.injury.2010.09.029,Injury,Volpi2010,,,
,Zaffagnini S (2011),PubMed,"Zaffagnini S, Bruni D, Marcheggiani Muccioli GM, Bonanzinga T, Lopomo N, Bignozzi S, Marcacci M.",Zaffagnini,Single-bundle patellar tendon versus non-anatomical double-bundle hamstrings ACL reconstruction: a prospective randomized study at 8-year minimum follow-up,Single-bundle patellar tendon versu,2011,10.1007/s00167-010-1225-y,Knee Surg Sports Traumatol Arthrosc,Zaffagnini2011,,,
,Barenius B (2010),PubMed,"Barenius B, Nordlander M, Ponzer S, Tidermark J, Eriksson K.",Barenius,Quality of life and clinical outcome after anterior cruciate ligament reconstruction using patellar tendon graft or quadrupled semitendinosus graft: an 8-year follow-up of a randomized controlled trial,Quality of life and clinical outcom,2010,10.1177/0363546510369549,Am J Sports Med,Barenius2010,,,
,Alentorn-Geli E (2010),PubMed,"Alentorn-Geli E, Samitier G, Alvarez P, Steinbacher G, Cugat R.",Alentorn-Geli,Anteromedial portal versus transtibial drilling techniques in ACL reconstruction: a blinded cross-sectional study at two- to five-year follow-up,Anteromedial portal versus transtib,2010,10.1007/s00264-010-1000-1,Int Orthop,Alentorn-Geli2010,,,
,Sekir U (2010),PubMed,"Sekir U, Gur H, Akova B.",Sekir,Early versus late start of isokinetic hamstring-strengthening exercise after anterior cruciate ligament reconstruction with patellar tendon graft,Early versus late start of isokinet,2010,10.1177/0363546509349490,Am J Sports Med,Sekir2010,,,
,Holm I (2010),PubMed,"Holm I, Oiestad BE, Risberg MA, Aune AK.",Holm,No difference in knee function or prevalence of osteoarthritis after reconstruction of the anterior cruciate ligament with 4-strand hamstring autograft versus patellar tendon-bone autograft: a randomized study with 10-year follow-up,No difference in knee function or p,2010,10.1177/0363546509350301,Am J Sports Med,Holm2010,,,
,Drogset JO (2010),PubMed,"Drogset JO, Strand T, Uppheim G, OdegÃ¥rd B, BÃ¸e A, GrÃ¸ntvedt T.",Drogset,Autologous patellar tendon and quadrupled hamstring grafts in anterior cruciate ligament reconstruction: a prospective randomized multicenter review of different fixation methods,Autologous patellar tendon and quad,2010,10.1007/s00167-009-0996-5,Knee Surg Sports Traumatol Arthrosc,Drogset2010,,,
,Ghalayini SR (2010),PubMed,"Ghalayini SR, Helm AT, Bonshahi AY, Lavender A, Johnson DS, Smith RB.",Ghalayini,Arthroscopic anterior cruciate ligament surgery: results of autogenous patellar tendon graft versus the Leeds-Keio synthetic graft five year follow-up of a prospective randomised controlled trial,Arthroscopic anterior cruciate liga,2010,10.1016/j.knee.2009.09.008,Knee,Ghalayini2010,,,
,Endele D (2009),PubMed,"Endele D, Jung C, Becker U, Bauer G, Mauch F.",Endele,Anterior cruciate ligament reconstruction with and without computer navigation: a clinical and magnetic resonance imaging evaluation 2 years after surgery,Anterior cruciate ligament reconstr,2009,10.1016/j.arthro.2009.05.016,Arthroscopy,Endele2009,,,
,Taylor DC (2009),PubMed,"Taylor DC, DeBerardino TM, Nelson BJ, Duffey M, Tenuta J, Stoneman PD, Sturdivant RX, Mountcastle S.",Taylor,Patellar tendon versus hamstring tendon autografts for anterior cruciate ligament reconstruction: a randomized controlled trial using similar femoral and tibial fixation methods,Patellar tendon versus hamstring te,2009,10.1177/0363546509339577,Am J Sports Med,Taylor2009,,,
,AhldÃ©n M (2009),PubMed,"AhldÃ©n M, Kartus J, Ejerhed L, Karlsson J, Sernert N.",AhldÃ©n,"Knee laxity measurements after anterior cruciate ligament reconstruction, using either bone-patellar-tendon-bone or hamstring tendon autografts, with special emphasis on comparison over time",Knee laxity measurements after ante,2009,10.1007/s00167-009-0846-5,Knee Surg Sports Traumatol Arthrosc,AhldÃ©n2009,,,
,Laoruengthana A (2009),PubMed,"Laoruengthana A, Pattayakorn S, Chotanaputhi T, Kosiyatrakul A.",Laoruengthana,"Clinical comparison between six-strand hamstring tendon and patellar tendon autograft in arthroscopic anterior cruciate ligament reconstruction: a prospective, randomized clinical trial",Clinical comparison between six-str,2009,,J Med Assoc Thai,Laoruengthana2009,,,
,Tsuda E (2009),PubMed,"Tsuda E, Ishibashi Y, Fukuda A, Tsukada H, Toh S.",Tsuda,Comparable results between lateralized single- and double-bundle ACL reconstructions,Comparable results between laterali,2009,10.1007/s11999-008-0604-x,Clin Orthop Relat Res,Tsuda2009,,,
,Laboute E (2008),PubMed,"Laboute E, Savalli L, Lefesvre T, Puig P, Trouve P.",Laboute,[Interest of an iterative specialized rehabilitation after an anterior cruciate ligament reconstruction in high level sport athletes],Interest of an iterative specialize,2008,10.1016/j.rco.2008.01.008,Rev Chir Orthop Reparatrice Appar Mot,Laboute2008,,,
,Han HS (2008),PubMed,"Han HS, Seong SC, Lee S, Lee MC.",Han,Anterior cruciate ligament reconstruction : quadriceps versus patellar autograft,Anterior cruciate ligament reconstr,2008,10.1007/s11999-007-0015-4,Clin Orthop Relat Res,Han2008,,,
,Huang MH (2007),PubMed,"Huang MH, Yang RC, Chou PH.",Huang,Preliminary effects of hyaluronic acid on early rehabilitation of patients with isolated anterior cruciate ligament reconstruction,Preliminary effects of hyaluronic a,2007,10.1097/JSM.0b013e31812570fa,Clin J Sport Med,Huang2007,,,
,Barber FA (2007),PubMed,"Barber FA, Boothby MH.",Barber,Bilok interference screws for anterior cruciate ligament reconstruction: clinical and radiographic outcomes,Bilok interference screws for anter,2007,10.1016/j.arthro.2006.12.026,Arthroscopy,Barber2007,,,
,Sajovic M (2008),PubMed,"Sajovic M, Strahovnik A, Komadina R, Dernovsek MZ.",Sajovic,The effect of graft choice on functional outcome in anterior cruciate ligament reconstruction,The effect of graft choice on funct,2008,10.1007/s00264-007-0341-x,Int Orthop,Sajovic2008,,,
,LidÃ©n M (2007),PubMed,"LidÃ©n M, Ejerhed L, Sernert N, Laxdal G, Kartus J.",LidÃ©n,"Patellar tendon or semitendinosus tendon autografts for anterior cruciate ligament reconstruction: a prospective, randomized study with a 7-Year follow-up",Patellar tendon or semitendinosus t,2007,10.1177/0363546506298275,Am J Sports Med,LidÃ©n2007,,,
,Pinczewski LA (2007),PubMed,"Pinczewski LA, Lyman J, Salmon LJ, Russell VJ, Roe J, Linklater J.",Pinczewski,"A 10-year comparison of anterior cruciate ligament reconstructions with hamstring tendon and patellar tendon autograft: a controlled, prospective trial",A 10-year comparison of anterior cr,2007,10.1177/0363546506296042,Am J Sports Med,Pinczewski2007,,,
,Chouliaras V (2007),PubMed,"Chouliaras V, Ristanis S, Moraiti C, Stergiou N, Georgoulis AD.",Chouliaras,Effectiveness of reconstruction of the anterior cruciate ligament with quadrupled hamstrings and bone-patellar tendon-bone autografts: an in vivo study comparing tibial internal-external rotation,Effectiveness of reconstruction of ,2007,10.1177/0363546506296040,Am J Sports Med,Chouliaras2007,,,
,Giraud B (2006),PubMed,"Giraud B, Besse JL, CladiÃ¨re F, Ecochard R, Moyen B, Lerat JL.",Giraud,[Intra-articular reconstruction of the anterior cruciate ligament with and without extra-articular supplementation by quadricipital tendon plasty: seven-year follow-up],Intra-articular reconstruction of t,2006,10.1016/s0035-1040(06)75947-5,Rev Chir Orthop Reparatrice Appar Mot,Giraud2006,,,
,Heijne A (2007),PubMed,"Heijne A, Werner S.",Heijne,Early versus late start of open kinetic chain quadriceps exercises after ACL reconstruction with patellar tendon or hamstring grafts: a prospective randomized outcome study,Early versus late start of open kin,2007,10.1007/s00167-006-0246-z,Knee Surg Sports Traumatol Arthrosc,Heijne2007,,,
,Maletis GB (2007),PubMed,"Maletis GB, Cameron SL, Tengan JJ, Burchette RJ.",Maletis,A prospective randomized study of anterior cruciate ligament reconstruction: a comparison of patellar tendon and quadruple-strand semitendinosus/gracilis tendons fixed with bioabsorbable interference screws,A prospective randomized study of a,2007,10.1177/0363546506294361,Am J Sports Med,Maletis2007,,,
,Ito Y (2007),PubMed,"Ito Y, Deie M, Adachi N, Kobayashi K, Kanaya A, Miyamoto A, Nakasa T, Ochi M.",Ito,A prospective study of 3-day versus 2-week immobilization period after anterior cruciate ligament reconstruction,A prospective study of 3-day versus,2007,10.1016/j.knee.2006.10.004,Knee,Ito2007,,,
