doi,authors,first_author,title,short_title,year,journal,key
10.1053/jars.2000.4633,"Fink C, Benedetto KP, Hackl W, Hoser C, Freund MC, Rieger M.",Fink,Bioabsorbable polyglyconate interference screw fixation in anterior cruciate ligament reconstruction: a prospective computed tomography-controlled study,bioabsorbablepolyglyconateinterferencescrewfixationinanteriorcruciateligamentreconstruction:aprospectivecomputedtomographycontrolledstudy,2000,Arthroscopy,Fink+bioabsorbablepolyglyconateinterferencescrewfixationinanteriorcruciateligamentreconstruction:aprospectivecomputedtomographycontrolledstudy+2000
10.1007/s002640050357,"Järvelä T, Nyyssönen M, Kannus P, Paakkala T, Järvinen M.",Järvelä,Bone-patellar tendon-bone reconstruction of the anterior cruciate ligament. A long-term comparison of early and late repair,bonepatellartendonbonereconstructionoftheanteriorcruciateligamentalongtermcomparisonofearlyandlaterepair,1999,Int Orthop,Järvelä+bonepatellartendonbonereconstructionoftheanteriorcruciateligamentalongtermcomparisonofearlyandlaterepair+1999
10.1302/0301-620x.81b5.8644,"Jomha NM, Pinczewski LA, Clingeleffer A, Otto DD.",Jomha,Arthroscopic reconstruction of the anterior cruciate ligament with patellar-tendon autograft and interference screw fixation. The results at seven years,arthroscopicreconstructionoftheanteriorcruciateligamentwithpatellartendonautograftandinterferencescrewfixationtheresultsatsevenyears,1999,J Bone Joint Surg Br,Jomha+arthroscopicreconstructionoftheanteriorcruciateligamentwithpatellartendonautograftandinterferencescrewfixationtheresultsatsevenyears+1999
10.1007/s001670050142,"Gebhard F, Authenrieth M, Strecker W, Kinzl L, Hehl G.",Gebhard,Ultrasound evaluation of gravity induced anterior drawer following anterior cruciate ligament lesion,ultrasoundevaluationofgravityinducedanteriordrawerfollowinganteriorcruciateligamentlesion,1999,Knee Surg Sports Traumatol Arthrosc,Gebhard+ultrasoundevaluationofgravityinducedanteriordrawerfollowinganteriorcruciateligamentlesion+1999
10.1007/s001670050141,"Sernert N, Kartus J, Köhler K, Stener S, Larsson J, Eriksson BI, Karlsson J.",Sernert,"Analysis of subjective, objective and functional examination tests after anterior cruciate ligament reconstruction. A follow-up of 527 patients",analysisofsubjectiveobjectiveandfunctionalexaminationtestsafteranteriorcruciateligamentreconstructionafollowupof527patients,1999,Knee Surg Sports Traumatol Arthrosc,Sernert+analysisofsubjectiveobjectiveandfunctionalexaminationtestsafteranteriorcruciateligamentreconstructionafollowupof527patients+1999
10.1016/s0749-8063(98)70022-2,"van Kampen A, Wymenga AB, van der Heide HJ, Bakens HJ.",van,The effect of different graft tensioning in anterior cruciate ligament reconstruction: a prospective randomized study,theeffectofdifferentgrafttensioninginanteriorcruciateligamentreconstruction:aprospectiverandomizedstudy,1998,Arthroscopy,van+theeffectofdifferentgrafttensioninginanteriorcruciateligamentreconstruction:aprospectiverandomizedstudy+1998
10.1007/s001130050308,"Gerich TG, Lattermann C, Bosch U, Lobenhoffer HP, Tscherne H.",Gerich,[Endoscopic versus limited open technique for replacement of the anterior cruciate ligament. 4 years outcome of a prospective study],endoscopicversuslimitedopentechniqueforreplacementoftheanteriorcruciateligament4yearsoutcomeofaprospectivestudy,1998,Unfallchirurg,Gerich+endoscopicversuslimitedopentechniqueforreplacementoftheanteriorcruciateligament4yearsoutcomeofaprospectivestudy+1998
10.1007/s001670050078,"Muellner T, Alacamlioglu Y, Nikolic A, Schabus R.",Muellner,No benefit of bracing on the early outcome after anterior cruciate ligament reconstruction,nobenefitofbracingontheearlyoutcomeafteranteriorcruciateligamentreconstruction,1998,Knee Surg Sports Traumatol Arthrosc,Muellner+nobenefitofbracingontheearlyoutcomeafteranteriorcruciateligamentreconstruction+1998
10.1007/s001670050077,"Brandsson S, Faxén E, Eriksson BI, Kälebo P, Swärd L, Lundin O, Karlsson J.",Brandsson,Closing patellar tendon defects after anterior cruciate ligament reconstruction: absence of any benefit,closingpatellartendondefectsafteranteriorcruciateligamentreconstruction:absenceofanybenefit,1998,Knee Surg Sports Traumatol Arthrosc,Brandsson+closingpatellartendondefectsafteranteriorcruciateligamentreconstruction:absenceofanybenefit+1998
10.1007/s001670050052,"Gerich TG, Lattermann C, Fremerey RW, Zeichen J, Lobenhoffer HP.",Gerich,One- versus two-incision technique for anterior cruciate ligament reconstruction with patellar tendon graft. Results on early rehabilitation and stability,oneversustwoincisiontechniqueforanteriorcruciateligamentreconstructionwithpatellartendongraftresultsonearlyrehabilitationandstability,1997,Knee Surg Sports Traumatol Arthrosc,Gerich+oneversustwoincisiontechniqueforanteriorcruciateligamentreconstructionwithpatellartendongraftresultsonearlyrehabilitationandstability+1997
10.1007/s002640050141,"al-Zarahini S, Franceschi JP, Coste J, Zerroug B, al-Sebai W.",al-Zarahini,Anterior cruciate ligament reconstruction by mini-arthrotomy,anteriorcruciateligamentreconstructionbyminiarthrotomy,1997,Int Orthop,al-Zarahini+anteriorcruciateligamentreconstructionbyminiarthrotomy+1997
10.1111/j.1600-0838.1996.tb00099.x,"Thuresson P, Sandberg R, Johansson O, Balkfors B, Westlin N.",Thuresson,Anterior cruciate ligament reconstruction with the patellar tendon--augmentation or not? A 2-year follow-up of 82 patients,anteriorcruciateligamentreconstructionwiththepatellartendonaugmentationornot?a2yearfollowupof82patients,1996,Scand J Med Sci Sports,Thuresson+anteriorcruciateligamentreconstructionwiththepatellartendonaugmentationornot?a2yearfollowupof82patients+1996
10.1111/j.1600-0838.1995.tb00059.x,"Grøntvedt T, Engebretsen L.",Grøntvedt,"Comparison between two techniques for surgical repair of the acutely torn anterior cruciate ligament. A prospective, randomized follow-up study of 48 patients",comparisonbetweentwotechniquesforsurgicalrepairoftheacutelytornanteriorcruciateligamentaprospectiverandomizedfollowupstudyof48patients,1995,Scand J Med Sci Sports,Grøntvedt+comparisonbetweentwotechniquesforsurgicalrepairoftheacutelytornanteriorcruciateligamentaprospectiverandomizedfollowupstudyof48patients+1995
10.1016/0749-8063(95)90129-9,"Barber FA, Elrod BF, McGuire DA, Paulos LE.",Barber,Preliminary results of an absorbable interference screw,preliminaryresultsofanabsorbableinterferencescrew,1995,Arthroscopy,Barber+preliminaryresultsofanabsorbableinterferencescrew+1995
10.3928/0147-7447-19950301-06,"Cameron SE, Wilson W, St Pierre P.",Cameron,"A prospective, randomized comparison of open vs arthroscopically assisted ACL reconstruction",aprospectiverandomizedcomparisonofopenvsarthroscopicallyassistedaclreconstruction,1995,Orthopedics,Cameron+aprospectiverandomizedcomparisonofopenvsarthroscopicallyassistedaclreconstruction+1995
10.1177/036354659202000205,"Rosen MA, Jackson DW, Atwell EA.",Rosen,The efficacy of continuous passive motion in the rehabilitation of anterior cruciate ligament reconstructions,theefficacyofcontinuouspassivemotionintherehabilitationofanteriorcruciateligamentreconstructions,1992,Am J Sports Med,Rosen+theefficacyofcontinuouspassivemotionintherehabilitationofanteriorcruciateligamentreconstructions+1992
10.1016/0749-8063(91)90076-a,"Richmond JC, Gladstone J, MacGillivray J.",Richmond,Continuous passive motion after arthroscopically assisted anterior cruciate ligament reconstruction: comparison of short- versus long-term use,continuouspassivemotionafterarthroscopicallyassistedanteriorcruciateligamentreconstruction:comparisonofshortversuslongtermuse,1991,Arthroscopy,Richmond+continuouspassivemotionafterarthroscopicallyassistedanteriorcruciateligamentreconstruction:comparisonofshortversuslongtermuse+1991
10.1177/036354659001800605,"Engebretsen L, Benum P, Fasting O, Mølster A, Strand T.",Engebretsen,"A prospective, randomized study of three surgical techniques for treatment of acute ruptures of the anterior cruciate ligament",aprospectiverandomizedstudyofthreesurgicaltechniquesfortreatmentofacuterupturesoftheanteriorcruciateligament,1990,Am J Sports Med,Engebretsen+aprospectiverandomizedstudyofthreesurgicaltechniquesfortreatmentofacuterupturesoftheanteriorcruciateligament+1990
10.1016/j.csm.2023.08.005,Getgood AMJ.,Getgood,Avoiding Graft Failure: Lessons Learned from the Stability Trial,avoidinggraftfailure:lessonslearnedfromthestabilitytrial,2024,Clin Sports Med,Getgood+avoidinggraftfailure:lessonslearnedfromthestabilitytrial+2024
10.1016/j.arthro.2023.01.101,"Helito CP, da Silva AGM, Sobrado MF, Guimarães TM, Gobbi RG, Pécora JR.",Helito,Small Hamstring Tendon Graft for Anterior Cruciate Ligament Reconstruction Combined With Anterolateral Ligament Reconstruction Results in the Same Failure Rate as Larger Hamstring Tendon Graft Reconstruction Alone,smallhamstringtendongraftforanteriorcruciateligamentreconstructioncombinedwithanterolateralligamentreconstructionresultsinthesamefailurerateaslargerhamstringtendongraftreconstructionalone,2023,Arthroscopy,Helito+smallhamstringtendongraftforanteriorcruciateligamentreconstructioncombinedwithanterolateralligamentreconstructionresultsinthesamefailurerateaslargerhamstringtendongraftreconstructionalone+2023
10.1177/03635465221128581,"Lodhia P, Nazari G, Bryant D, Getgood A, McCormack R; STABILITY Group; Getgood AMJ, Bryant DM, Litchfield R, Willits K, Birmingham T, Hewison C, Firth AD, Wanlin S, Pinto R, Martindale A, O'Neill L, Jennings M, Daniluk M, McCormack RG, Boyer D, Zomar M, Moon K, Moon R, Fan B, Mohan B, Payne K, Heard M, Buchko GM, Hiemstra LA, Kerslake S, Tynedal J, MacDonald PB, Stranges G, Mcrae S, Gullett L, Brown H, Legary A, Longo A, Christian M, Ferguson C, Rezansoff A, Mohtadi N, Barber R, Chan D, Campbell C, Garven A, Pulsifer K, Mayer M, Peterson D, Simunovic N, Duong A, Robinson D, Levy D, Skelly M, Shanmugaraj A, Bardana D, Howells F, Tough M, Spalding T, Thompson P, Metcalfe A, Asplin L, Dube A, Clarkson L, Brown J, Bolsover A, Bradshaw C, Belgrove L, Milan F, Turner S, Verdugo S, Lowe J, Dunne D, McGowan K, Suddens CM, Verdonk PCM, Declerq G, Vuylsteke K, Van Haver M.",Lodhia,Performance of 5-Strand Hamstring Autograft Anterior Cruciate Ligament Reconstruction in the STABILITY Study: A Subgroup Analysis,performanceof5strandhamstringautograftanteriorcruciateligamentreconstructioninthestabilitystudy:asubgroupanalysis,2022,Am J Sports Med,Lodhia+performanceof5strandhamstringautograftanteriorcruciateligamentreconstructioninthestabilitystudy:asubgroupanalysis+2022
10.1016/j.jisako.2022.04.006,"Grassi A, Di Paolo S, Dal Fabbro G, Eroglu ON, Macchiarola L, Lucidi GA, Zaffagnini S.",Grassi,Objective laxity and subjective outcomes are more influenced by meniscal treatment than anterior cruciate ligament reconstruction technique at minimum2 years of follow-up,objectivelaxityandsubjectiveoutcomesaremoreinfluencedbymeniscaltreatmentthananteriorcruciateligamentreconstructiontechniqueatminimum2yearsoffollowup,2022,J ISAKOS,Grassi+objectivelaxityandsubjectiveoutcomesaremoreinfluencedbymeniscaltreatmentthananteriorcruciateligamentreconstructiontechniqueatminimum2yearsoffollowup+2022
10.1155/2022/6779207,"Jin T, Li Y, Yang G, Liao X, Wang G, Wang F.",Jin,Comparison of Rapid Rehabilitation after Anterior Cruciate Ligament Reconstruction with Tensioning Technique and Traditional Rehabilitation,comparisonofrapidrehabilitationafteranteriorcruciateligamentreconstructionwithtensioningtechniqueandtraditionalrehabilitation,2022,Dis Markers,Jin+comparisonofrapidrehabilitationafteranteriorcruciateligamentreconstructionwithtensioningtechniqueandtraditionalrehabilitation+2022
10.23750/abm.v92i6.10875,"Labianca L, Andreozzi V, Princi G, Princi AA, Calderaro C, Guzzini M, Ferretti A.",Labianca,"The effectiveness of Kinesio Taping in improving pain and edema during early rehabilitation after Anterior Cruciate Ligament Reconstruction: A Prospective, Randomized, Control Study",theeffectivenessofkinesiotapinginimprovingpainandedemaduringearlyrehabilitationafteranteriorcruciateligamentreconstruction:aprospectiverandomizedcontrolstudy,2022,Acta Biomed,Labianca+theeffectivenessofkinesiotapinginimprovingpainandedemaduringearlyrehabilitationafteranteriorcruciateligamentreconstruction:aprospectiverandomizedcontrolstudy+2022
10.1177/03635465211061150,"Firth AD, Bryant DM, Litchfield R, McCormack RG, Heard M, MacDonald PB, Spalding T, Verdonk PCM, Peterson D, Bardana D, Rezansoff A; STABILITY Study Group; Getgood AMJ, Willits K, Birmingham T, Hewison C, Wanlin S, Pinto R, Martindale A, O'Neill L, Jennings M, Daniluk M, Boyer D, Zomar M, Moon K, Moon R, Fan B, Mohan B, Buchko GM, Hiemstra LA, Kerslake S, Tynedal J, Stranges G, Mcrae S, Gullett L, Brown H, Legary A, Longo A, Christian M, Ferguson C, Mohtadi N, Barber R, Chan D, Campbell C, Garven A, Pulsifer K, Mayer M, Simunovic N, Duong A, Robinson D, Levy D, Skelly M, Shanmugaraj A, Howells F, Tough M, Thompson P, Metcalfe A, Asplin L, Dube A, Clarkson L, Brown J, Bolsover A, Bradshaw C, Belgrove L, Milan F, Turner S, Verdugo S, Lowe J, Dunne D, McGowan K, Suddens CM, Declerq G, Vuylsteke K, Van Haver M.",Firth,Predictors of Graft Failure in Young Active Patients Undergoing Hamstring Autograft Anterior Cruciate Ligament Reconstruction With or Without a Lateral Extra-articular Tenodesis: The Stability Experience,predictorsofgraftfailureinyoungactivepatientsundergoinghamstringautograftanteriorcruciateligamentreconstructionwithorwithoutalateralextraarticulartenodesis:thestabilityexperience,2022,Am J Sports Med,Firth+predictorsofgraftfailureinyoungactivepatientsundergoinghamstringautograftanteriorcruciateligamentreconstructionwithorwithoutalateralextraarticulartenodesis:thestabilityexperience+2022
10.1177/0363546519896333,"Getgood AMJ, Bryant DM, Litchfield R, Heard M, McCormack RG, Rezansoff A, Peterson D, Bardana D, MacDonald PB, Verdonk PCM, Spalding T; STABILITY Study Group; Willits K, Birmingham T, Hewison C, Wanlin S, Firth A, Pinto R, Martindale A, O'Neill L, Jennings M, Daniluk M, Boyer D, Zomar M, Moon K, Pritchett R, Payne K, Fan B, Mohan B, Buchko GM, Hiemstra LA, Kerslake S, Tynedal J, Stranges G, Mcrae S, Gullett L, Brown H, Legary A, Longo A, Christian M, Ferguson C, Mohtadi N, Barber R, Chan D, Campbell C, Garven A, Pulsifer K, Mayer M, Simunovic N, Duong A, Robinson D, Levy D, Skelly M, Shanmugaraj A, Howells F, Tough M, Spalding T, Thompson P, Metcalfe A, Asplin L, Dube A, Clarkson L, Brown J, Bolsover A, Bradshaw C, Belgrove L, Millan F, Turner S, Verdugo S, Lowe J, Dunne D, McGowan K, Suddens CM, Declercq G, Vuylsteke K, Van Haver M.",Getgood,Lateral Extra-articular Tenodesis Reduces Failure of Hamstring Tendon Autograft Anterior Cruciate Ligament Reconstruction: 2-Year Outcomes From the STABILITY Study Randomized Clinical Trial,lateralextraarticulartenodesisreducesfailureofhamstringtendonautograftanteriorcruciateligamentreconstruction:2yearoutcomesfromthestabilitystudyrandomizedclinicaltrial,2020,Am J Sports Med,Getgood+lateralextraarticulartenodesisreducesfailureofhamstringtendonautograftanteriorcruciateligamentreconstruction:2yearoutcomesfromthestabilitystudyrandomizedclinicaltrial+2020
10.1186/s12891-019-2653-6,"Tajima T, Yamaguchi N, Nagasawa M, Morita Y, Nakamura Y, Chosa E.",Tajima,Early weight-bearing after anterior cruciate ligament reconstruction with hamstring grafts induce femoral bone tunnel enlargement: a prospective clinical and radiographic study,earlyweightbearingafteranteriorcruciateligamentreconstructionwithhamstringgraftsinducefemoralbonetunnelenlargement:aprospectiveclinicalandradiographicstudy,2019,BMC Musculoskelet Disord,Tajima+earlyweightbearingafteranteriorcruciateligamentreconstructionwithhamstringgraftsinducefemoralbonetunnelenlargement:aprospectiveclinicalandradiographicstudy+2019
10.1016/j.arthro.2018.03.034,"Mayr HO, Bruder S, Hube R, Bernstein A, Suedkamp NP, Stoehr A.",Mayr,Single-Bundle Versus Double-Bundle Anterior Cruciate Ligament Reconstruction-5-Year Results,singlebundleversusdoublebundleanteriorcruciateligamentreconstruction5yearresults,2018,Arthroscopy,Mayr+singlebundleversusdoublebundleanteriorcruciateligamentreconstruction5yearresults+2018
10.1007/s00402-016-2497-6,"Ateschrang A, Döbele S, Freude T, Stöckle U, Schröter S, Kraus TM.",Ateschrang,Acute MCL and ACL injuries: first results of minimal-invasive MCL ligament bracing with combined ACL single-bundle reconstruction,acutemclandaclinjuries:firstresultsofminimalinvasivemclligamentbracingwithcombinedaclsinglebundlereconstruction,2016,Arch Orthop Trauma Surg,Ateschrang+acutemclandaclinjuries:firstresultsofminimalinvasivemclligamentbracingwithcombinedaclsinglebundlereconstruction+2016
10.1007/s00167-015-3593-9,"Tsoukas D, Fotopoulos V, Basdekis G, Makridis KG.",Tsoukas,No difference in osteoarthritis after surgical and non-surgical treatment of ACL-injured knees after 10 years,nodifferenceinosteoarthritisaftersurgicalandnonsurgicaltreatmentofaclinjuredkneesafter10years,2016,Knee Surg Sports Traumatol Arthrosc,Tsoukas+nodifferenceinosteoarthritisaftersurgicalandnonsurgicaltreatmentofaclinjuredkneesafter10years+2016
10.1007/s00132-015-3102-3,"Offerhaus C, Balke M, Braas M, Pennig D, Gick S, Höher J.",Offerhaus,[Knee laxity in anterior cruciate ligament reconstruction : The influence of graft rotation using interference screw fixation],kneelaxityinanteriorcruciateligamentreconstruction:theinfluenceofgraftrotationusinginterferencescrewfixation,2015,Orthopade,Offerhaus+kneelaxityinanteriorcruciateligamentreconstruction:theinfluenceofgraftrotationusinginterferencescrewfixation+2015
10.1007/s00113-013-2420-3,"Offerhaus C, Balke M, Braas M, Pennig D, Gick S, Höher J.",Offerhaus,[Knee laxity in anterior cruciate ligament reconstruction. The influence of graft rotation using interference screw fixation],kneelaxityinanteriorcruciateligamentreconstructiontheinfluenceofgraftrotationusinginterferencescrewfixation,2014,Unfallchirurg,Offerhaus+kneelaxityinanteriorcruciateligamentreconstructiontheinfluenceofgraftrotationusinginterferencescrewfixation+2014
