id,uuid,study,year,title,abstract,data_source,doi,journal
221,EM-77,Saeed et al. (2023),2023,"Earlier Return to Sports, Reduced Donor-Site Morbidity with Doubled Peroneus Longus Versus Quadrupled Hamstring Tendon Autograft in ACL Reconstruction","Background:Graft choice for anterior cruciate ligament reconstruction (ACLR) has been evolving. The peroneus longus tendon (PLT) has been seen as a suitable choice for ACLR, providing comparable results to those of hamstring tendon (HT) autograft, but its clinical relevance in terms of return to sports, to our knowledge, has not been studied.Methods:Two hundred and thirty-two patients who sustained an isolated ACL injury were enrolled and underwent ACLR using doubled PLT autograft or quadrupled HT autograft; 158 were followed for 24 months. Functional scores (International Knee Documentation Committee [IKDC] and Tegner-Lysholm scores) were assessed preoperatively and at 3,6, 12, and 24 months postoperatively. Graft diameter and graft harvesting time were measured intraoperatively. Donor-site morbidity was evaluated using subjective evaluation. Time to return to sports in both groups was compared.Results:The mean diameter of PLT autograft was significantly larger than that of HT autograft, and the mean graft-harvesting time was less (p < 0.001). Patients in the PLT group returned to sports a mean of 34 days earlier than those in the HT group (p < 0.001) and had a lower rate of donor-site morbidity and, at 6 months, better patient-reported outcomes at the knee (p < 0.001). There were no significant differences between the groups in the rate of graft rupture or in IKDC and Tegner-Lysholm scores at the 24-month follow-up.Conclusions:PLT is a suitable autograft for ACLR in terms of graft diameter and graft-harvesting time and may offer athletes an earlier return to sports related to better outcomes at 6 months of follow-up. HT autograft was associated with increased thigh weakness. Both grafts, however, performed similarly at 24 months postoperatively.Level of Evidence:Therapeutic Level II. See Instructions for Authors for a complete description of levels of evidence.",Embase,10.2106/JBJS.OA.23.00051,
222,EM-78,Adusumalli et al. (2023),2023,"Reconstruction of Anterior Cruciate Ligament with Autologous Peroneus Longus Tendon Graft: A Prospective Study in Tertiary Care Hospital, Rajahmundry, Andhra Pradesh","Background: ACL injuries are commonly associated with sports injuries and road traffic accidents. Incidence of ACL ruptures is estimated to range from 38-78 % per 100000 person years. The primary aim of ACL reconstruction is to restore the function of the ACL and native kinematics of the knee. ACL reconstruction restores the stability of the knee joint and protects the menisci and joint surfaces from further damage. The most preferred graft tissues for ACL reconstruction are hamstrings in view of better cosmesis, satisfactory results and to minimize postoperative mobility. However, use of peroneus tendon graft is increasing in view of simplicity of the technique. Peroneus longus graft harvest is possible due to synergistic action of peroneus longus and peroneus brevis. Even some studies suggest that peroneus brevis is more effective evertor than peroneus longus, justifying harvest of peroneus longus tendon. Materials & Methods: We have done 26 cases of ACL injuries treated with arthroscopic ACL reconstruction using peroneus longus autograft at GSL medical college between Jan 2020 to Dec 2020. Cases were followed up for a period of 1 year and have been evaluated based on Lysholm, AOFAS and FADI score systems. Results: In our study, all 26 patients have completed follow up for 1 year (19 male, 7 female). At final follow up anterior drawer test showed normal findings in 80percent, while 20 percent of all examined patients had 1+ anterior laxity. Conclusion: Peroneus longus tendon is a promising autograft for ACL reconstruction with advantage of simplicity of harvesting technique, larger graft diameter, minimal graft complications.",Embase,,
223,EM-79,Pham et al. (2023),2023,Reference intervals of complete blood count and coagulation tests in Vietnamese pregnant women,"Background: Pregnancy has major effects that make hematology parameters outside of normal reference ranges. Therefore, we conducted this study to establish reference intervals for Vietnamese pregnant women. Methods: From June 2023 to Augst 2023, blood samples from 879 eligible pregnant women were run on DxH 900 hematology analyzer and ACL TOP 550 coagulation analyzer. The tested parameters are prothrombin time (PT), activated partial thromboplastin time (APTT), fibrinogen (FIB), white blood cell (WBC) and its differentials (neutrophils, lymphocytes, monocytes, eosinophils and basophils), red blood cell (RBC), hemoglobin (HGB), hematocrit (HCT), mean corpuscular volume (MCV), mean corpuscular hemoglobin (MCH), mean corpuscular hemoglobin concentration (MCHC), RBC distribution width (RDW), RBC distribution width standard deviation (RDW-SD), platelet count (PLT), mean platelet volume (MPV). A non-parametric method was used to establish the 2.5th and 97.5th percentile reference intervals. Results: PT, APTT decrease but fibrinogen increases during pregnancy. Physiological adaptations of pregnancy result in a decrease in RBC count, but an increase in WBC count and no changes in platelet count. The reference intervals for PT (seconds), APTT (seconds), fibrinogen (mg/dL), in the first trimester were 10.30?12.88, 25.40?35.46, 280.28?559.00, in the second trimester were 9.80?11.66, 24.05?33.23, 347.75?593.35, in the third trimester were 9.60?11.40, 23.40?31.80, 330.28?628.56, respectively. The reference intervals for main hematology parameters which are WBC (? 109/L), RBC (? 1012/L), HGB (g/dL), HCT (%), PLT (? 109/L) in the first trimester were 6.33?15.24, 3.73?5.32, 10.33?13.95, 32.22?42.29, 169.66?413.88, in the second trimester were 6.99?15.55, 3.33?4.98, 9.71?13.17, 30.26?40.07, 172.34?372.19, in the third trimester were 6.22?14.14, 3.54?4.98, 9.80?13.97, 31.11?42.70, 151.30?417.14, respectively. Conclusions: Most established referenced intervals from each trimester differ from other trimesters. These trimester-specific reference ranges for Vietnamese pregnant women will aid clinicians in entepreting parameters and help other laboratories adopt these ranges after validating. Trial registration: This study is registered at www.clinicaltrials.gov as NCT05929326.",Embase,10.1186/s12884-023-06106-2,
224,EM-80,Tensho et al. (2023),2023,Posterior Opening-Wedge Osteotomy for Posterior Tibial Slope Correction of Failed Anterior Cruciate Ligament Reconstruction,"A large posterior tibial slope (PTS) has been widely recognized as a potential risk factor in loosening and retear after anterior cruciate ligament reconstruction. Anterior closed-wedge osteotomy is an effective surgical approach to mitigate this risk factor but presents several disadvantages. We describe in this Technical Note an original PTS correction technique called the posterior open-wedge osteotomy. The posterior surface of the proximal tibia is exposed, and 2 K-wires are inserted anteroposteriorly as osteotomy guides, and one wire is inserted mediolaterally as a hinge blocker. The osteotomy is performed from the posterior side and advanced to the anterior side using a single-bladed reciprocating saw. The slope is corrected by opening the osteotomy plane posteriorly with a spreader. The correction is maintained by inserting the harvested fibula fragments into the open space, and the fixation is completed with a locking plate to ensure firm fixation and allow early rehabilitation. This procedure can be an effective solution for patients with various risk factors for retear of the anterior cruciate ligament graft, including abnormal PTS.",Embase,10.1016/j.eats.2023.07.059,
225,EM-81,Cakar et al. (2023),2023,Complications of peroneus longus tendon harvesting: a retrospective review of 82 cases,"Objective: Peroneus longus tendon (PLT) has become a reliable autologous graft option for various ligament reconstructions. But there are potential risks and complications associated with its use as a graft. This retrospective study aimed to examine the complications and donor site morbidity following PLT harvesting. Patients and methods: A retrospective review was performed on an institutional digital patient database, and all patients who underwent ligament reconstruction using PLT autograft were identified. Intraoperative, early, and late complications were reviewed using digital patient notes and patients underwent a complete physical examination during their final follow-up. Ankle function was assessed using the AOFAS score, and manual ankle muscle testing was performed on both sides. Sural nerve iatrogenic injury was evaluated with a dermatomal light touch examination. Cosmetic satisfaction due to incision scar and footwear complaints were also assessed. Results: 82 patients (74 male, eight female) with a mean age of 31.9 ñ 10.4 years (range, 16?66) were included in the final analysis. The mean follow-up time was 46.6 ñ 30.3 months (range, 6?109). The mean AOFAS score for the donor side was 98.7 ñ 3.3 (range, 87?100), and the contralateral side score was 100, with manual muscle testing graded as 5 in all movements and similar to the contralateral side. Fifteen patients (18.3%) had hypoesthesia over the dorsolateral aspect of the foot distal to the incision scar, two patients (2.4%) had hyperalgesia over the distal incision scar, and one patient (1.2%) had mild ankle instability. There were two cases (2.4%) of compartment syndrome, both of which were treated with fasciotomy and had complete regression of symptoms after 5 days. One patient (1.2%) had a transient peroneal nerve injury and foot drop that resolved in the sixth month. Conclusions: The results of this retrospective study suggest that harvesting the PLT is associated with a high rate of complications and donor site morbidity. The most common complication was hypoesthesia around the lateral side of the foot, although the ankle functions were not affected significantly. Two cases of compartment syndrome and one transient peroneal nerve injury were observed. Care should be taken while harvesting PLT autograft, and it should be kept in mind that peroneal nerve injury might occur. Level of evidence: Level IV, retrospective case series.",Embase,10.1007/s00402-023-04988-7,
226,EM-82,Friedman & Madsen (2023),2023,Perceived ankle instability and cutaneous reflex modulation during gait,"Cutaneous reflex modulation during rhythmic ambulation is an important motor control mechanism to help minimize stumbling following an unexpected perturbation. Previous literature found individuals with chronic ankle instability (CAI) experience altered reflex patterns compared to healthy controls. Considering CAI is characterized by intermittent feelings of ankle instability, researchers have speculated that these alterations are related to perceived instability. Our purpose was to determine whether variability and magnitude of cutaneous reflex amplitudes can predict perceived instability levels following sural nerve stimulation during gait. Forty subjects walked while receiving random stimulations and reported their perceived instability. Middle latency reflexes among lower leg muscles were calculated using data derived from surface electromyography. Hierarchical logistical regressions revealed a positive relationship between reflex variability of the peroneus longus and lateral gastrocnemius muscles and perceived instability during midstance. This suggests subjects with consistent reflexes following sural nerve stimulation develop a certain level of perceptual expectation resulting in generally lower feelings of ankle instability, while subjects with more variable motor outputs perceive greater instability at the supraspinal level. Cutaneous reflex variability during stance may be an important objective outcome measure to monitor neuromuscular recovery throughout a rehabilitation or as a potential predictor of future lateral ankle sprains.",Embase,10.14814/phy2.15880,
227,EM-83,Zeng et al. (2023),2023,Influence of peroneus longus tendon autograft for ACL reconstruction on donor-side ankle function in obese patients: A retrospective study of 87 patients,,Embase,10.1016/j.asjsur.2023.07.041,
228,EM-84,,2023,Role of Sensory Deficits and the Effect of Sensory Stimulation on Sensorimotor Control and Neuromuscular Performance in Athletes With Chronic Ankle Instability,"Brief Summary Purpose: Chronic ankle instability (CAI), characterized by instances of repetitive sprains and giving way, is a common chronic dysfunction among athletes. Despite well documented evidence showing impaired peripheral sensory and both central and peripheral motor control, little was known regarding how CAI affects somatosensory cortical activation. Traditionally, management of CAI mostly focused on restoration of motor deficits, with less emphasis on sensory pathway deficits. Only few sensory targeted intervention methods including joint mobilization and massage, have been described. However, methods such as joint mobilization provide not only sensory stimulation but also mechanical alignment correction. In addition, these studies showed functional improvement without exploring mechanisms. Therefore we would like to apply for a three year study grant to firstly investigate the effect of CAI on peripheral and central somatosensation and neuromuscular performance; and secondly to examine the immediate effect of sensory-level electrical stimulation on neurophysiological variables and neuromuscular performance; and lastly to determine the short-term effect of intervention (sensory stimulation with exercise, sham stimulation with exercise, and exercise alone) in athletes with CAI. Research design and methods: This is a cross-sectional exploratory and randomized controlled study. For the first year, we plan to recruit 45 young athletes (20-40 years old) with CAI and 15 matched controls to compare the somatosensory evoked potentials (SEPs), corticomuscular coherence (CMC), à- band event-related desynchronization (ERD), proprioception, two point discrimination threshold of the plantar surfaces, muscle activation and reaching distances of the Y balance test. Activity in the sensorimotor cortex will be recorded using a 64-chanel EEG (SAGA 32/64+ for EEG). Muscle activation is measured using an 8-channel electromyography (EMG) system (Noraxon myo METRICS Portable Lab, Noraxon U.S.A.). For the second year, the 45 young adults with CAI will be randomized into the sensory stimulation (TENS) group, the sham stimulation group, or the control group. The TENS group will receive 40 minutes of sensory electrical stimulation, and the sham group will receive 30 seconds of sensory stimulation at the beginning and end of the treatment. The control group will rest for 40 minutes. The assessment items are identical to those in the first year, and will be carried out before and immediately after the intervention. For the third year, the 45 young adults with CAI will be randomized into the exercise with sensory stimulation (EX-TENS) group, exercise with sham stimulation (EX-ss) group, or exercise alone (EX) group. Participants will receive five sessions of intervention (30 minutes neuromuscular training with or without 40 min stimulation) within two weeks and the assessment will be carried out before and after the intervention. Data analysis: Comparisons of all continuous variables are performed using oneway analysis of variance (ANOVA), and repeated measures ANOVA. The significance level is set at 0.05. Significance. Results of this study provide a better understanding for central somatosensory control mechanisms for chronic ankle instability, and help clinicians and trainers to choose the most appropriate training strategy for people with unstable ankles. We plan to present our work in 3-4 international conferences, and publish 2-3 papers in SCI journals in 5 years. Detailed Description Characteristics of the chronic ankle instability (CAI): Lateral ankle sprain is one of the most common musculoskeletal injuries in the sports clinics. The high prevalence of lateral ankle sprains, combined with a high recurrence rate and persistent post sprain symptoms make lateral ankle sprains and their sequelae a significant health impact and healthcare burden. Although lateral ankle sprains are generally considered benign injuries, it is estimated that 40% of individuals with lateral ankle sprains will subsequently develop chronic ankle instability within the first year after a lateral ankle sprain. Chronic ankle instability is characterized by repetitive sprains, perceived instability, and giving way, which can be classified into two categories: mechanical and functional ankle instability. Mechanical instability of the ankle is a result of loss of mechanical structural constraints (i.e., ligaments); whereas functional instability refers to instability related to altered postural control and reduced functional capacity due to impaired sensorimotor control including altered muscle recruitment around the ankle and impairment of the proprioceptive system etc.. In addition to interfering with sporting performance, and CAI has been found to be associated with lower quality of life and increased likelihood (68%-75%) of developing ankle arthritis. Hertel reported that individuals with ankle instability had higher risk of recurrent ankle sprains, and the treatment for symptoms of CAI could be time-consuming and costly. Numerous impairments have been reported associated with CAI, ranging from loss of joint mobility and muscle strength, compromised proprioception and sensation, poor postural control and neuromuscular performance, and altered movement patterns. However, the mechanisms and management strategies are still not clearly understood in many aspects. And thus, a great variety of intervention has been proposed with inconsistent results reported. Conceptual model for the development of CAI: The theory linking poor neuromuscular control and CAI has been discussed for more than half a century. It was believed that after the ankle sprain, some of the joint receptors and peripheral nerve fibers around the ankle joint were affected, resulting in impaired reflex responses and functional stability of the ankle. More researchers later reported that CAI not only presented with sensory deficits, but also deficits in motor control, and these changes in sensorimotor system would eventually lead to loss of function. In 2019, Hertel et al. (2019) revised the current model for the development of CAI. It is proposed that the initial ankle injury would influence the neural system, disturbing the balance and stability between the sensation, perception and motor function. These disturbances would lead to self-adjustment of the sensorimotor system to attempt to adapt to the altered condition, and consequently might result in long term changes in neural network, and expose individuals to persistent symptoms of instability. This newly revised model integrates both peripheral and central sensorimotor systems to explain the development of CAI; but it clearly shows that the central sensorimotor processing in individuals with CAI is less explored, particularly for the impact of CAI on the somatosensory cortex. Individuals with CAI have poorer neuromuscular performance: The effect of CAI on the neuromuscular control and posture stability has been extensively studied. The research topics of interest included altered reflexes and neuromuscular inhibition, muscle activation patterns (timing, recruitment order, and amplitude) and joint mechanics of the lower extremity segments during sudden inversion perturbation or jump landing, and posture control characteristics during balance testing tasks. It is generally agreed that people with CAI had lower Hmax/Mmax ratios (H reflex/M reflex ratios) of the soleus and peroneus longus muscle than those un-injured controls, indicating that neural excitability of the spinal level in those with CAI was depressed; this population also presented with altered muscle activation of the peroneus, tibialis anterior and soleus muscles, and changed balance control strategies. Recent publications of systematic review and meta-analysis by Hoch and McKeon (2014) and by Thompson et al. (2018) showed that there was a strong evidence to support dynamic balance, peroneal reaction, and eversion strength deficits contributing to CAI. Because of the strong evidence showing motor impairment in CAI, the dominant intervention strategy for this population has been motor performance driven so far. Deficits in somatosensation in people with CAI Proprioceptive deficits in CAI have been the main focus of research for decades. Thompsons et al. (2018) indicated that there was moderate evidence supporting both active and passive proprioception deficits in CAI as compared with controls. According to the latest systematic review and meta-analysis by Xue et al. (2021), CAI-affected ankles had poorer ankle kinesthesia in both inversion and plantarflexion when compared with the contralateral side; and individuals with CAI showed kinesthesia defects and active joint reposition deficits in the frontal plane movement (both inversion and eversion) when compared to the healthy controls. Not until recent years that more attention has been drawn to deficits in cutaneous sensation. Hoch et al. (2012) found that the plantar surface was less sensitive to vibratory tactile stimulation as compared to non-CAI people at the head of the first metatarsal, the base of the fifth metatarsal, and the heel, along the innervation of the branches of the sural and tibial nerves. Burcal and Wikstrom found similar results that people with CAI displayed higher Semmes Weinstein monofilament thresholds at the head of the first metatarsal, base of the fifth metatarsal, and sinus tarsi31. The possible involvement of impaired cutaneous sensation in CAI have led to the recent approach of sensory-targeted intervention in this population. Deficits in central sensorimotor control in CAI: As described in the previous paragraphs that the classic theory behind the ankle instability has been based on damages of joint receptors and peripheral nerve fibers. However, emerging data has shown that proprioceptive sensory deficits were not enough to explain the neuromuscular deficits in people with CAI, and that more research is needed to determine how CAI influences central sensorimotor control. Previous studies have shown that in individuals with chronic musculoskeletal dysfunction such as shoulder impingement and low back pain, the integration of corticospinal pathways may be affected, presented as higher active motor threshold, longer cortical silent period, reduced cortical mapping area and shifted center of gravity of the cortical mapping area. Possible impairment of the corticospinal control in CAI has recently been examined in a few studies. While Pietrosimone and Gribble (2012), Shih et al. (2017), and Terada et al. (2022) reported that muscles around the ankle joint had impaired corticospinal excitability (reduced motor-evoked potential of the peroneus longus and soleus muscles), the two systemic reviews with meta analysis did not support these findings and showed that people with or without CAI had similar supraspinal neural excitability. These inconsistencies might be related to the differences in study design, such as testing positions and tasks. The role of altered central motor system excitability in CAI has yet to reach agreement; and little was known about the effect of CAI on the somatosensory cortex. Common outcome measures to evaluate somatosensory cortical activation use electroencephalography (EEG) to detect electrophysiological signals of excitatory and inhibitory action potentials in various areas of the cortex. Previous studies reported abnormalities of P27 potentials and somatosensory-evoked potentials (SEPs) in people with anterior cruciate ligament (ACL) deficits, indicating somatosensory cortex neuroplasticity following ACL injuries. Only one study has evaluated the somatosensory cortical activation in people with ankle instability, and found no difference in somatosensory cortical activity (event-related desynchronization (ERD) of the upper alpha frequency) between healthy controls and individuals with unstable ankles. With strong evidence showing connections between central sensorimotor deficits and chronic musculoskeletal problems such as low back pain and ACL deficits, we believe that future research is required to understand the role of sensory deficits, particularly the central somatosensory activation in people with CAI and to provide further explanation for the neurophysiological mechanisms for ankle instability. Restoration of motor performance has been the popular intervention for CAI: From the above review, it is obvious that problems behind chronic ankle instability relate to both sensory and motor systems. However, the majorities of intervention strategies have focused on restoring the defects in motor pathways, including muscle strengthening, neuromuscular training, posture and balance control training. Although many of the studies found positive effects of these motor restoration interventions, the synthesis of evidence only supported partially (limited to moderate level) for the effectiveness of neuromuscular or balance training on muscle performance, postural stability or self-perceived improvement. Emerging evidence showing effectiveness of sensory-orientated intervention for CAI: With more understanding on the involvement of sensory deficits in CAI, some researchers started to describe intervention methods using primarily sensory inputs, such as planar massage, and joint mobilization. Joint mobilization was found to improve dynamic posture performance including landing kinematics, reaching distances of the Y balance test, ankle mobility, and self-perceived dysfunction questionnaires. Although joint mobilization was proposed to have the effect of ""resetting the sensorimotor control"", the spinal-reflex and corticospinal excitability of the soleus and peroneus longus were not altered after one session of joint mobilization. In addition, joint mobilization not only provides sensory stimulation but also offers alignment correction for people with CAI. The effectiveness of joint mobilization could have come from improvement in ankle mobility rather than sensory intervention. Several studies have investigated the effect of pure sensory inputs, the plantar massage, in people with CAI and found that plantar massage effectively improved static postural control. However, these studies only measured perceived dysfunction, or functional performance. No neurophysiological mechanism of sensory intervention in CAI has been explored before. Electrical stimulation as a form of treatment for CAI: Traditionally, neuromuscular stimulation has been used as a form of treatment for various conditions, from peripheral nerve injuries, conditions involving arthrogenic inhibition such as ACL insufficiency or patellofemoral pain, to neurological conditions including stroke or spinal cord injury. A great body of evidence has shown that neuromuscular stimulation is effective in restoring motor functions in these conditions. Another approach of electrical stimulation is to use sensory level of stimulation in attempt to improve sensorimotor control. The rationale is that somatosensory stimulation would enhance cortical plasticity in people post stroke. Pan et al. recruited 12 patients post stroke and assessed the effect of 40 minutes of sensory electrical stimulation, combined with hand rehabilitation program. The changes in sensorimotor control were evaluated using corticomuscular coherence (CMC). After 4 weeks of treatment, the CMC value of the electrical stimulation group is higher than that of the control group, indicating that the cerebral motor cortex and the corresponding muscles have a greater and physiologically meaningful functional connection. Although people with CAI has been found to have benefited from sensory intervention such as plantar massage, no neurophysiological mechanism has been studied. In addition, application of sensory transcutaneous electrical stimulation (TENS) is a relatively risk-free and easy-to-implement modality for rehabilitation. However, no study has investigated the effect and treatment mechanisms of TENS in people with CAI. Research gap and contribution of the study: Current research evidence supported that people with chronic ankle instability have deficits in peripheral sensorimotor systems and central motor impairments, resulting in defects in sensorimotor control and functional performance. However, little was known about how CAI affects the somatosensory cortical activation. The effects of strength training, neuromuscular control training, posture/balance training has been widely investigated for CAI, and positive effects on neuromuscular control, corticospinal excitability, and functional performance have been found for this group of people. Recently, sensory intervention for CAI has been proposed and its treatment effect on static and dynamic posture control as well as functions were reported. Based on the effectiveness of sensory intervention and posture adaptation strategies shown in individuals with CAI, it is reasonable to speculate that central somatosensory processing might have a role in altered neuromuscular performance and recovery (sensory intervention effect) of CAI. However, these neurophysiological mechanisms have never been studied before. To address the above issues, we would like to apply for a three-year grant to firstly investigate the effect of CAI on somatosensory cortical activation, corticomuscular coherence, proprioception, cutaneous sensation of the plantar surfaces, and neuromuscular performance. These variables will be compared between 45 young active adults with CAI and 15 controls for the first year study. Secondly, those with CAI will be randomized into three groups, the sensory stimulation group, the sham stimulation group, and the control group. The participants will receive 40 minutes of sensory level of electrical stimulation or sham stimulation or nothing, and the immediate effect will be examined to understand the effect of sensory-level stimulation on neurophysiological mechanisms and neuromuscular performance. Afterwards, the intervention (sensory stimulation with exercise, sham stimulation with exercise, and exercise alone) will be carried out for 5 sessions in two weeks, and the short term intervention effect of additional sensory stimulation will be assessed. The results of this study will provide a better understanding for sensorimotor control in CAI, and for the effect of sensory stimulation intervention in the population with CAI. The data from this investigation will provide clinicians, trainers, and researchers an excellent basis for the management and injury prevention of CAI among athletes, and for further research in this field of study.",Embase,,
229,EM-85,Kumar et al. (2023),2023,Autologous Peroneus Longus Versus Hamstring Tendon for Anterior Cruciate Ligament Reconstruction in Knee,"Background:An anterior cruciate ligament (ACL) injury is a common knee injury, especially among athletes who participate in sports that involve sudden stops, changes in direction, or jumping. The present study was conducted to assess autologous peroneus longus and hamstring tendon for anterior cruciate ligament reconstruction in knee. Materials & Methods:80 patients with ACL injury of both genderswere divided into 2 groups of 40 each. Group I undergoing autologous peroneus longus tendon and group II undergoing hamstrings tendon graft in ACL reconstruction.Both the group of patients were regularly followed up in post-operatively 1 month, 3 months and 6 months and outcomes were measured via IKDC score Results: Group I had 22 males and 18 females and group II had 24 males and 16 females. The right side was involved in 23 in group I and 19 in group II and the left side in 17 in group I and 21 in group II. IKDC score at 1 month was 57.1 in group I, and 58.6 in group II, at 3 months was 66.9 in group I and 67.4 in group II, and at 6 months was 91.2 in group I, and 90.5 in group II. The difference was significant (P< 0.05). Conclusion: The donor site morbidity and post-operative knee functional score were similar for both groups.",Embase,,
230,EM-86,Alardi (2023),2023,Hamstring graft size for anterior cruciate ligament repair in a sample of Iraqi men,"The goal of the current investigation was to measure the size of the anterior cruciate ligament (ACL) graft following hamstring (gracilis and semitendinosus) tendon autograft procedures in a relatively large sample size of Iraqi men. In this study, the quadruple hamstring tendon (semitendinosus and gracilis) was measured in a sample of Iraqi adult males. The study enrolled 300 Iraqi men who underwent anterior cruciate ligament repair at Diwaniyah Teaching Hospital and Alforat Alawast Private Hospital between January 2020 and December 2021. The repair procedure was based on the utilization of the quadruple (gracilis and semitendinosus) hamstring tendon. The primary outcome measure was the size of the tendon, determined using a sizing tube calibrated to 0.5 mm. Out of the sample, 80% of patients had a graft diameter of 7.5 mm, while 15% had a graft diameter of 8 mm, and 5% had a diameter of 7 mm. Body mass index was a poor predictor of graft size, whereas patient height was an excellent predictor of graft diameter. The graft diameter in most Iraqi subjects with anterior cruciate ligament injuries needs to be five bands or even six bands; otherwise, other graft sources like bone-patellar-bone or peroneus longus tendon grafts should be considered. The graft diameter may be reliably anticipated based on the patient's height.",Embase,10.25122/jml-2023-0071,
231,EM-87,Xu et al. (2023),2023,Platelet-Derived Exosomes Alleviate Knee Osteoarthritis by Attenuating Cartilage Degeneration and Subchondral Bone Loss,"BACKGROUND: Osteoarthritis (OA) is the most prevalent chronic degenerative joint disease among the aged population. However, current treatments for OA are limited to alleviating symptoms, with no therapies that prevent and regenerate cartilage deterioration. PURPOSE: To assess the effects of platelet-derived exosomes (Plt-exos) on OA and then to explore the potential molecular mechanism. STUDY DESIGN: Controlled laboratory study. METHODS: Exosomes derived from human apheresis platelets were isolated and identified. The effects of Plt-exos in protecting chondrocytes under interleukin 1? stimulation were evaluated by analyzing the proliferation and migration in human primary chondrocytes. RNA sequencing was later performed in vitro for primary chondrocytes to reveal the underlying mechanisms of Plt-exo treatment. Anterior cruciate ligament transection was used to construct an OA mice model, and intra-articular injection of Plt-exos was given once a week for 6 weeks. Mice were sacrificed 4 weeks after the last injection. Histologic and immunohistochemistry staining and micro-computed tomography analysis were performed to assess alterations of articular cartilage and subchondral bone. RESULTS: Plt-exos significantly promoted proliferation and migration of chondrocytes within a dose-dependent manner, as well as dramatically promoted cartilage regeneration and attenuated abnormal tibial subchondral bone remodeling, thus slowing the progression of OA. After being treated with Plt-exos, 1797 genes were differentially expressed in chondrocytes (923 upregulated and 874 downregulated genes). Functional enrichment results and hub genes were mainly involved in anti-inflammatory effects, mediating cell adhesion, stimulating cartilage repair, promoting anabolism, and inhibiting catabolism. CONCLUSION: Our results demonstrated that Plt-exos promoted chondrocyte proliferation and migration in vitro, as well as attenuated cartilage degeneration, improved the microarchitecture of subchondral bone, and retarded OA progression in vivo. CLINICAL RELEVANCE: Our study illustrated that the administered Plt-exos could alleviate knee OA by attenuating cartilage degeneration and subchondral bone loss, possibly serving as a novel promising treatment for OA in the future.",Embase,10.1177/03635465231188122,
232,EM-88,,2023,"Peroneus Longus Autograft Use in Knee, Shoulder, Elbow Ligaments Reconstruction Surgery : Effect On Ankle And Foot Function","Brief Summary The purpose of this study is to report the ankle and foot functions via American orthopedic foot and ankle society score (AOFAS), peronei muscle testing ,handheld dynamometer and radiological outcomes after harvesting autogenous peroneus longus tendons for ligaments reconstruction. Detailed Description Using a Peroneus longus tendon (PLT) as an autograft is a common procedure and has been used previously for deltoid ligament reconstruction in flatfoot deformity correction . Recently, (PLT) is gaining popularity as a graft option in primary anterior cruciate ligament (ACL) reconstruction surgeries with biomechanical studies showing tensile strength and clinical outcomes comparable to quadrupled hamstring grafts. In addition to using PLT for isolated (ACL), it is also used in posterior cruciate ligament (PCL) reconstruction, medial collateral ligament reconstruction, posterolateral corner reconstruction of the knee, or knee multiple ligament injuries . The partial-thickness of the tendon has been used variably in knee ligament surgery.. Being a powerful muscle in plantar flexion and eversion of the foot, there might be associated ankle functional impairment. To the authors knowledge, there is a gap in science evaluating donor site morbidity. The aim of this study is to report the clinical and functional outcome of the donor site for better explanation of the cons and pros of using PLT as a graft in joint ligamentous injury .",Embase,,
233,EM-89,Luo et al. (2023),2023,Preoperative ultrasound can accurately predict the diameter of double-stranded peroneus longus tendon autografts,"PURPOSE: This study aimed to determine the correlation between the intraoperative diameter of double-stranded peroneus longus tendon (2PLT) and length of the PLT autograft and preoperative ultrasound (US) measurements, as well as radiographic and anthropometric measurements. The hypothesis was that US can accurately predict the diameter of 2PLT autografts during operation. METHODS: Twenty-six patients underwent ligament reconstruction with 2PLT autografts were included. Preoperative US was used to calculate the in situ PLT cross-sectional area (CSA) at seven levels (0, 1, 2, 3, 4, 5, 10 cm proximal to the harvest start point). Femoral width, notch width, notch height, maximum patellar length, and patellar tendon length were determined on preoperative radiographs. Intraoperative measurements of PLT were made, including all fiber lengths of PLT and diameters of 2PLT using sizing tubes calibrated to 0.5 mm. RESULTS: CSA at 1 cm proximal to the harvest site had the highest correlation with the diameter of 2PLT (r = 0.84, P < 0.001). Calf length had the highest correlation with PLT length (r = 0.65, P < 0.001). The diameter of the 2PLT autografts could be predicted by the following formula: 4.6 + 0.2 ? [sonographic CSA of PLT at 1 cm level]; the length of PLT could be predicted by the following formula: 5.6 + 0.5 ? Calf length. CONCLUSION: The diameter of 2PLT and length of PLT autografts can be accurately predicted by preoperative US and calf length measurements, respectively. Accurate preoperative prediction of the diameter and length of autologous grafts can provide the most suitable and individualized graft for patients.IV.",Embase,10.1007/s00167-023-07406-y,
