PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"24992054","Infection after arthroscopic anterior cruciate ligament reconstruction","Kim SJ, Postigo R, Koo S, Kim JH.","Orthopedics. 2014 Jul;37(7):477-84. doi: 10.3928/01477447-20140626-06.","Kim SJ","Orthopedics","2014","2014/07/04","","","10.3928/01477447-20140626-06"
"24553885","Does ACL reconstruction alter natural history?: A systematic literature review of long-term outcomes","Chalmers PN, Mall NA, Moric M, Sherman SL, Paletta GP, Cole BJ, Bach BR Jr.","J Bone Joint Surg Am. 2014 Feb 19;96(4):292-300. doi: 10.2106/JBJS.L.01713.","Chalmers PN","J Bone Joint Surg Am","2014","2014/02/21","","","10.2106/JBJS.L.01713"
"23820260","Long-term failure of anterior cruciate ligament reconstruction","Crawford SN, Waterman BR, Lubowitz JH.","Arthroscopy. 2013 Sep;29(9):1566-71. doi: 10.1016/j.arthro.2013.04.014. Epub 2013 Jun 29.","Crawford SN","Arthroscopy","2013","2013/07/04","","","10.1016/j.arthro.2013.04.014"
"23595537","Long-term follow-up of ACL reconstruction with hamstring autograft","Leiter JR, Gourlay R, McRae S, de Korompay N, MacDonald PB.","Knee Surg Sports Traumatol Arthrosc. 2014 May;22(5):1061-9. doi: 10.1007/s00167-013-2466-3. Epub 2013 Apr 18.","Leiter JR","Knee Surg Sports Traumatol Arthrosc","2014","2013/04/19","","","10.1007/s00167-013-2466-3"
"23153663","Natural history of partial anterior cruciate ligament tears: a systematic literature review","Pujol N, Colombet P, Cucurulo T, Graveleau N, Hulet C, Panisset JC, Potel JF, Servien E, Sonnery-Cottet B, Trojani C, Djian P; French Arthroscopy Society (SFA).","Orthop Traumatol Surg Res. 2012 Dec;98(8 Suppl):S160-4. doi: 10.1016/j.otsr.2012.09.013. Epub 2012 Nov 13.","Pujol N","Orthop Traumatol Surg Res","2012","2012/11/17","","","10.1016/j.otsr.2012.09.013"
"23152258","Double-bundle versus single-bundle reconstruction for anterior cruciate ligament rupture in adults","Tiamklang T, Sumanont S, Foocharoen T, Laopaiboon M.","Cochrane Database Syst Rev. 2012 Nov 14;11(11):CD008413. doi: 10.1002/14651858.CD008413.pub2.","Tiamklang T","Cochrane Database Syst Rev","2012","2012/11/16","PMC6464733","","10.1002/14651858.CD008413.pub2"
"21820843","Meniscal repair versus partial meniscectomy: a systematic review comparing reoperation rates and clinical outcomes","Paxton ES, Stock MV, Brophy RH.","Arthroscopy. 2011 Sep;27(9):1275-88. doi: 10.1016/j.arthro.2011.03.088. Epub 2011 Aug 6.","Paxton ES","Arthroscopy","2011","2011/08/09","","","10.1016/j.arthro.2011.03.088"
"20810081","Osseous deficits after anterior cruciate ligament injury and reconstruction: a systematic literature review with suggestions to improve osseous homeostasis","Nyland J, Fisher B, Brand E, Krupp R, Caborn DN.","Arthroscopy. 2010 Sep;26(9):1248-57. doi: 10.1016/j.arthro.2010.03.017.","Nyland J","Arthroscopy","2010","2010/09/03","","","10.1016/j.arthro.2010.03.017"
"17493414","[Accurate placement of bone tunnels in reconstruction of the anterior cruciate ligament - a contribution of computer-assisted navigation]","Hart R, Krejzla J, Sváb P.","Acta Chir Orthop Traumatol Cech. 2007 Apr;74(2):118-25.","Hart R","Acta Chir Orthop Traumatol Cech","2007","2007/05/12","","",""
"11665745","Neuromuscular rehabilitation of a female Olympic ice hockey player following anterior cruciate ligament reconstruction","Tyler TF, McHugh MP.","J Orthop Sports Phys Ther. 2001 Oct;31(10):577-87. doi: 10.2519/jospt.2001.31.10.577.","Tyler TF","J Orthop Sports Phys Ther","2001","2001/10/23","","","10.2519/jospt.2001.31.10.577"
"10525618","[Diagnostic and incidence of the rupture of the posterior cruciate ligament]","Hochstein P, Schmickal T, Grützner PA, Wentzensen A.","Unfallchirurg. 1999 Oct;102(10):753-62. doi: 10.1007/s001130050477.","Hochstein P","Unfallchirurg","1999","1999/10/20","","","10.1007/s001130050477"
"8309693","[Current state of evaluation of knee ligament lesions. The new IKDC knee evaluation form ]","Hefti F, Müller W.","Orthopade. 1993 Nov;22(6):351-62.","Hefti F","Orthopade","1993","1993/11/01","","",""
"8261517","The natural history of the anterior cruciate ligament-deficient knee. A review","Caborn DN, Johnson BM.","Clin Sports Med. 1993 Oct;12(4):625-36.","Caborn DN","Clin Sports Med","1993","1993/10/01","","",""
"2667374","Analysis of rehabilitation techniques after anterior cruciate reconstruction","Anderson AF, Lipscomb AB.","Am J Sports Med. 1989 Mar-Apr;17(2):154-60. doi: 10.1177/036354658901700203.","Anderson AF","Am J Sports Med","1989","1989/03/01","","","10.1177/036354658901700203"
"3052881","The role of lateral extra-articular procedures for anterolateral rotatory instability","Carson WG Jr.","Clin Sports Med. 1988 Oct;7(4):751-72.","Carson WG Jr","Clin Sports Med","1988","1988/10/01","","",""
"3881714","Reconstruction of the anterior cruciate ligament: historical overview","Burnett QM 2nd, Fowler PJ.","Orthop Clin North Am. 1985 Jan;16(1):143-57.","Burnett QM 2nd","Orthop Clin North Am","1985","1985/01/01","","",""
"6390611","Posterior cruciate ligament insufficiency. A review of the literature","Barton TM, Torg JS, Das M.","Sports Med. 1984 Nov-Dec;1(6):419-30. doi: 10.2165/00007256-198401060-00002.","Barton TM","Sports Med","1984","1984/11/01","","","10.2165/00007256-198401060-00002"
