Unnamed: 0,id,title,authors,journal,year,doi,first_author,short_title,key
34,38574182,Comparison of Graft Type and Fixation Method in Anterior Cruciate Ligament Reconstruction: A Systematic Review and Meta-analysis Based on Randomized Control Studies,"Beyer J, Jones R, Igo I, Furyes AR, Liu J, Sohn DH.",JBJS Rev,2024,10.2106/JBJS.RVW.23.00222,Beyer,comparisonofgrafttypeandfixationmethodinanteriorcruciateligamentreconstruction:asystematicreviewandmetaanalysisbasedonrandomizedcontrolstudies,Beyer+comparisonofgrafttypeandfixationmethodinanteriorcruciateligamentreconstruction:asystematicreviewandmetaanalysisbasedonrandomizedcontrolstudies+2024
35,38551115,Comparing Clinical Outcomes and Knee Stability in Remnant-Preserving ACL Reconstruction Versus Standard ACL Reconstruction: A Systematic Review and Meta-analysis,"Allende F, Allahabadi S, Sachdev D, Gopinatth V, Saad Berreta R, LaPrade RF, Chahla J.",Am J Sports Med,2024,10.1177/03635465231225984,Allende,comparingclinicaloutcomesandkneestabilityinremnantpreservingaclreconstructionversusstandardaclreconstruction:asystematicreviewandmetaanalysis,Allende+comparingclinicaloutcomesandkneestabilityinremnantpreservingaclreconstructionversusstandardaclreconstruction:asystematicreviewandmetaanalysis+2024
39,38269417,Analysis of Graft Types Augmented With an Internal Brace for ACL Reconstruction: A Systematic Review,"Maginnis C, Root C, Schiavo JH, Ierulli VK, Vopat B, Mulcahey MK.",Am J Sports Med,2024,10.1177/03635465231196157,Maginnis,analysisofgrafttypesaugmentedwithaninternalbraceforaclreconstruction:asystematicreview,Maginnis+analysisofgrafttypesaugmentedwithaninternalbraceforaclreconstruction:asystematicreview+2024
44,37560145,Higher Rates of Residual Postoperative Instability after Anterior Cruciate Ligament Reconstruction in Female Patients: A Systematic Review of Level II Studies,"Jackson GR, Lee J, Tuthill T, Chan J, Sugrañes J, Mowers CC, Batra A, Khan ZA, Mameri ES, Brusalis CM, Chahla J, Verma NN.",Arthrosc Sports Med Rehabil,2023,10.1016/j.asmr.2023.100772,Jackson,higherratesofresidualpostoperativeinstabilityafteranteriorcruciateligamentreconstructioninfemalepatients:asystematicreviewofleveliistudies,Jackson+higherratesofresidualpostoperativeinstabilityafteranteriorcruciateligamentreconstructioninfemalepatients:asystematicreviewofleveliistudies+2023
45,37537529,"Clinical outcomes of different autografts used for all-epiphyseal, partial epiphyseal or transphyseal anterior cruciate ligament reconstruction in skeletally immature patients - a systematic review","Verhagen S, Dietvorst M, Delvaux E, van der Steen MC, Janssen R.",BMC Musculoskelet Disord,2023,10.1186/s12891-023-06749-4,Verhagen,clinicaloutcomesofdifferentautograftsusedforallepiphysealpartialepiphysealortransphysealanteriorcruciateligamentreconstructioninskeletallyimmaturepatientsasystematicreview,Verhagen+clinicaloutcomesofdifferentautograftsusedforallepiphysealpartialepiphysealortransphysealanteriorcruciateligamentreconstructioninskeletallyimmaturepatientsasystematicreview+2023
49,37106008,Bone-patellar tendon-bone versus two- and four-strand hamstring tendon autografts for ACL reconstruction in young adults: a Bayesian network meta-analysis,"Migliorini F, Torsiello E, Trivellas A, Eschweiler J, Hildebrand F, Maffulli N.",Sci Rep,2023,10.1038/s41598-023-33899-1,Migliorini,bonepatellartendonboneversustwoandfourstrandhamstringtendonautograftsforaclreconstructioninyoungadults:abayesiannetworkmetaanalysis,Migliorini+bonepatellartendonboneversustwoandfourstrandhamstringtendonautograftsforaclreconstructioninyoungadults:abayesiannetworkmetaanalysis+2023
50,37093236,The reverse fragility index: RCTs reporting non-significant differences in failure rates between hamstring and bone-patellar tendon-bone autografts have fragile results,"Ruelos VCB, Masood R, Puzzitiello RN, Moverman MA, Pagani NR, Menendez ME, Salzler MJ.",Knee Surg Sports Traumatol Arthrosc,2023,10.1007/s00167-023-07420-0,Ruelos,thereversefragilityindex:rctsreportingnonsignificantdifferencesinfailureratesbetweenhamstringandbonepatellartendonboneautograftshavefragileresults,Ruelos+thereversefragilityindex:rctsreportingnonsignificantdifferencesinfailureratesbetweenhamstringandbonepatellartendonboneautograftshavefragileresults+2023
52,36646171,Graft choices for paediatric anterior cruciate ligament reconstruction: State of the art,"Marx RG, Hsu J, Fink C, Eriksson K, Vincent A, van der Merwe WM.",J ISAKOS,2023,10.1016/j.jisako.2023.01.001,Marx,graftchoicesforpaediatricanteriorcruciateligamentreconstruction:stateoftheart,Marx+graftchoicesforpaediatricanteriorcruciateligamentreconstruction:stateoftheart+2023
53,36642768,Failure modes after anterior cruciate ligament reconstruction: a systematic review and meta-analysis,"Li X, Yan L, Li D, Fan Z, Liu H, Wang G, Jiu J, Yang Z, Li JJ, Wang B.",Int Orthop,2023,10.1007/s00264-023-05687-z,Li,failuremodesafteranteriorcruciateligamentreconstruction:asystematicreviewandmetaanalysis,Li+failuremodesafteranteriorcruciateligamentreconstruction:asystematicreviewandmetaanalysis+2023
56,36441213,Long-term results after anterior cruciate ligament reconstruction using patellar tendon versus hamstring tendon autograft with a minimum follow-up of 10 years-a systematic review,"Sollberger VD, Korthaus A, Barg A, Pagenstert G.",Arch Orthop Trauma Surg,2023,10.1007/s00402-022-04687-9,Sollberger,longtermresultsafteranteriorcruciateligamentreconstructionusingpatellartendonversushamstringtendonautograftwithaminimumfollowupof10yearsasystematicreview,Sollberger+longtermresultsafteranteriorcruciateligamentreconstructionusingpatellartendonversushamstringtendonautograftwithaminimumfollowupof10yearsasystematicreview+2023
57,36255278,Clinical Outcomes After Combined ACL and Anterolateral Ligament Reconstruction Versus Isolated ACL Reconstruction With Bone-Patellar Tendon-Bone Grafts: A Matched-Pair Analysis of 2018 Patients From the SANTI Study Group,"Pioger C, Gousopoulos L, Hopper GP, Vieira TD, Campos JP, El Helou A, Philippe C, Saithna A, Sonnery-Cottet B.",Am J Sports Med,2022,10.1177/03635465221128261,Pioger,clinicaloutcomesaftercombinedaclandanterolateralligamentreconstructionversusisolatedaclreconstructionwithbonepatellartendonbonegrafts:amatchedpairanalysisof2018patientsfromthesantistudygroup,Pioger+clinicaloutcomesaftercombinedaclandanterolateralligamentreconstructionversusisolatedaclreconstructionwithbonepatellartendonbonegrafts:amatchedpairanalysisof2018patientsfromthesantistudygroup+2022
62,36096362,Quadriceps tendon autograft for anterior cruciate ligament reconstruction: state of the art,"Clinger B, Xerogeanes J, Feller J, Fink C, Runer A, Richter D, Wascher D.",J ISAKOS,2022,10.1016/j.jisako.2022.08.010,Clinger,quadricepstendonautograftforanteriorcruciateligamentreconstruction:stateoftheart,Clinger+quadricepstendonautograftforanteriorcruciateligamentreconstruction:stateoftheart+2022
63,35721585,Outcomes Following Anterior Cruciate Ligament Reconstruction with Patellar Tendon vs Hamstring Autografts: A Systematic Review of Randomized Controlled Trials with a Mean Follow-up of 15 Years,"Hoge CG, Matar RN, Khalil LS, Buchan JA, Johnson CM, Grawe BM.",Arch Bone Jt Surg,2022,10.22038/ABJS.2021.53662.2668,Hoge,outcomesfollowinganteriorcruciateligamentreconstructionwithpatellartendonvshamstringautografts:asystematicreviewofrandomizedcontrolledtrialswithameanfollowupof15years,Hoge+outcomesfollowinganteriorcruciateligamentreconstructionwithpatellartendonvshamstringautografts:asystematicreviewofrandomizedcontrolledtrialswithameanfollowupof15years+2022
67,35343326,Graft Choice for Anterior Cruciate Ligament Reconstruction in Women Aged 25 Years and Younger: A Systematic Review,"Etzel CM, Nadeem M, Gao B, Boduch AN, Owens BD.",Sports Health,2022,10.1177/19417381221079632,Etzel,graftchoiceforanteriorcruciateligamentreconstructioninwomenaged25yearsandyounger:asystematicreview,Etzel+graftchoiceforanteriorcruciateligamentreconstructioninwomenaged25yearsandyounger:asystematicreview+2022
70,34591691,Twenty-Year Outcomes After Anterior Cruciate Ligament Reconstruction: A Systematic Review of Prospectively Collected Data,"Everhart JS, Yalcin S, Spindler KP.",Am J Sports Med,2022,10.1177/03635465211027302,Everhart,twentyyearoutcomesafteranteriorcruciateligamentreconstruction:asystematicreviewofprospectivelycollecteddata,Everhart+twentyyearoutcomesafteranteriorcruciateligamentreconstruction:asystematicreviewofprospectivelycollecteddata+2022
71,34536121,Failure rates of common grafts used in ACL reconstructions: a systematic review of studies published in the last decade,"Haybäck G, Raas C, Rosenberger R.",Arch Orthop Trauma Surg,2022,10.1007/s00402-021-04147-w,Haybäck,failureratesofcommongraftsusedinaclreconstructions:asystematicreviewofstudiespublishedinthelastdecade,Haybäck+failureratesofcommongraftsusedinaclreconstructions:asystematicreviewofstudiespublishedinthelastdecade+2022
72,34494906,Quadriceps Tendon Autograft Versus Bone-Patellar Tendon-Bone and Hamstring Tendon Autografts for Anterior Cruciate Ligament Reconstruction: A Systematic Review and Meta-analysis,"Dai W, Leng X, Wang J, Cheng J, Hu X, Ao Y.",Am J Sports Med,2022,10.1177/03635465211030259,Dai,quadricepstendonautograftversusbonepatellartendonboneandhamstringtendonautograftsforanteriorcruciateligamentreconstruction:asystematicreviewandmetaanalysis,Dai+quadricepstendonautograftversusbonepatellartendonboneandhamstringtendonautograftsforanteriorcruciateligamentreconstruction:asystematicreviewandmetaanalysis+2022
74,34431012,Iliotibial band autograft is a suitable alternative graft for anterior cruciate ligament reconstruction: a systematic review and meta-analysis of outcomes,"Lucena T, Cavaignac M, Marot V, Courtot L, Lutz C, Bérard E, Cavaignac E.",Knee Surg Sports Traumatol Arthrosc,2022,10.1007/s00167-021-06701-w,Lucena,iliotibialbandautograftisasuitablealternativegraftforanteriorcruciateligamentreconstruction:asystematicreviewandmetaanalysisofoutcomes,Lucena+iliotibialbandautograftisasuitablealternativegraftforanteriorcruciateligamentreconstruction:asystematicreviewandmetaanalysisofoutcomes+2022
75,34310176,Return to Baseline Physical Activity After Bone-Patellar Tendon-Bone Versus Hamstring Tendon Autografts for Anterior Cruciate Ligament Reconstruction: A Systematic Review and Meta-analysis of Randomized Controlled Trials,"Bergeron JJ, Sercia QP, Drager J, Pelet S, Belzile EL.",Am J Sports Med,2022,10.1177/03635465211017522,Bergeron,returntobaselinephysicalactivityafterbonepatellartendonboneversushamstringtendonautograftsforanteriorcruciateligamentreconstruction:asystematicreviewandmetaanalysisofrandomizedcontrolledtrials,Bergeron+returntobaselinephysicalactivityafterbonepatellartendonboneversushamstringtendonautograftsforanteriorcruciateligamentreconstruction:asystematicreviewandmetaanalysisofrandomizedcontrolledtrials+2022
76,33621648,Generalized Joint Laxity Is Associated With Increased Failure Rates of Primary Anterior Cruciate Ligament Reconstructions: A Systematic Review,"Krebs NM, Barber-Westin S, Noyes FR.",Arthroscopy,2021,10.1016/j.arthro.2021.02.021,Krebs,generalizedjointlaxityisassociatedwithincreasedfailureratesofprimaryanteriorcruciateligamentreconstructions:asystematicreview,Krebs+generalizedjointlaxityisassociatedwithincreasedfailureratesofprimaryanteriorcruciateligamentreconstructions:asystematicreview+2021
78,33437619,The long-term outcomes of different grafts in anterior cruciate ligament reconstruction: a network meta-analysis,"Yang W, Huang X, Wang S, Wang H, Huang W, Shao Z.",J Orthop Translat,2020,10.1016/j.jot.2020.03.008,Yang,thelongtermoutcomesofdifferentgraftsinanteriorcruciateligamentreconstruction:anetworkmetaanalysis,Yang+thelongtermoutcomesofdifferentgraftsinanteriorcruciateligamentreconstruction:anetworkmetaanalysis+2020
79,33235137,Outcome of bone-patellar tendon-bone vs hamstring tendon autograft for anterior cruciate ligament reconstruction: A meta-analysis of randomized controlled trials with a 5-year minimum follow-up,"Zhao L, Lu M, Deng M, Xing J, He L, Wang C.",Medicine (Baltimore),2020,10.1097/MD.0000000000023476,Zhao,outcomeofbonepatellartendonbonevshamstringtendonautograftforanteriorcruciateligamentreconstruction:ametaanalysisofrandomizedcontrolledtrialswitha5yearminimumfollowup,Zhao+outcomeofbonepatellartendonbonevshamstringtendonautograftforanteriorcruciateligamentreconstruction:ametaanalysisofrandomizedcontrolledtrialswitha5yearminimumfollowup+2020
80,33135006,Comparative Efficacy of Graft Options in Anterior Cruciate Ligament Reconstruction: A Systematic Review and Network Meta-Analysis,"Mo Z, Li D, Yang B, Tang S.",Arthrosc Sports Med Rehabil,2020,10.1016/j.asmr.2020.05.007,Mo,comparativeefficacyofgraftoptionsinanteriorcruciateligamentreconstruction:asystematicreviewandnetworkmetaanalysis,Mo+comparativeefficacyofgraftoptionsinanteriorcruciateligamentreconstruction:asystematicreviewandnetworkmetaanalysis+2020
84,32482429,Clinical Outcomes of the Central Third Patellar Tendon Versus Four-strand Hamstring Tendon Autograft Used for Anterior Cruciate Ligament Reconstruction: A Systematic Review and Subgroup Meta-analysis of Randomized Controlled Trials,"He X, Yang XG, Feng JT, Wang F, Huang HC, He JQ, Hu YC.",Injury,2020,10.1016/j.injury.2020.05.025,He,clinicaloutcomesofthecentralthirdpatellartendonversusfourstrandhamstringtendonautograftusedforanteriorcruciateligamentreconstruction:asystematicreviewandsubgroupmetaanalysisofrandomizedcontrolledtrials,He+clinicaloutcomesofthecentralthirdpatellartendonversusfourstrandhamstringtendonautograftusedforanteriorcruciateligamentreconstruction:asystematicreviewandsubgroupmetaanalysisofrandomizedcontrolledtrials+2020
85,32440495,Prevalence of patellofemoral joint osteoarthritis after anterior cruciate ligament injury and associated risk factors: A systematic review,"Huang W, Ong TY, Fu SC, Yung SH.",J Orthop Translat,2019,10.1016/j.jot.2019.07.004,Huang,prevalenceofpatellofemoraljointosteoarthritisafteranteriorcruciateligamentinjuryandassociatedriskfactors:asystematicreview,Huang+prevalenceofpatellofemoraljointosteoarthritisafteranteriorcruciateligamentinjuryandassociatedriskfactors:asystematicreview+2019
86,32387652,Patellar Tendon Versus 4-Strand Semitendinosus and Gracilis Autografts for Anterior Cruciate Ligament Reconstruction: A Meta-analysis of Randomized Controlled Trials With Mid- to Long-Term Follow-Up,"Chen H, Liu H, Chen L.",Arthroscopy,2020,10.1016/j.arthro.2020.04.024,Chen,patellartendonversus4strandsemitendinosusandgracilisautograftsforanteriorcruciateligamentreconstruction:ametaanalysisofrandomizedcontrolledtrialswithmidtolongtermfollowup,Chen+patellartendonversus4strandsemitendinosusandgracilisautograftsforanteriorcruciateligamentreconstruction:ametaanalysisofrandomizedcontrolledtrialswithmidtolongtermfollowup+2020
87,32374646,One in 5 Athletes Sustain Reinjury Upon Return to High-Risk Sports After ACL Reconstruction: A Systematic Review in 1239 Athletes Younger Than 20 Years,"Barber-Westin S, Noyes FR.",Sports Health,2020,10.1177/1941738120912846,Barber-Westin,onein5athletessustainreinjuryuponreturntohighrisksportsafteraclreconstruction:asystematicreviewin1239athletesyoungerthan20years,Barber-Westin+onein5athletessustainreinjuryuponreturntohighrisksportsafteraclreconstruction:asystematicreviewin1239athletesyoungerthan20years+2020
88,32367221,Quadriceps tendon autograft for primary ACL reconstruction: a Bayesian network meta-analysis,"Migliorini F, Eschweiler J, Mansy YE, Quack V, Tingart M, Driessen A.",Eur J Orthop Surg Traumatol,2020,10.1007/s00590-020-02680-9,Migliorini,quadricepstendonautograftforprimaryaclreconstruction:abayesiannetworkmetaanalysis,Migliorini+quadricepstendonautograftforprimaryaclreconstruction:abayesiannetworkmetaanalysis+2020
89,32180364,Autografts vs Synthetics for Cruciate Ligament Reconstruction: A Systematic Review and Meta-Analysis,"Sun J, Wei XC, Li L, Cao XM, Li K, Guo L, Lu JG, Duan ZQ, Xiang C, Wei L.",Orthop Surg,2020,10.1111/os.12662,Sun,autograftsvssyntheticsforcruciateligamentreconstruction:asystematicreviewandmetaanalysis,Sun+autograftsvssyntheticsforcruciateligamentreconstruction:asystematicreviewandmetaanalysis+2020
90,32010729,Bone-Patellar Tendon-Bone Autografts Versus Hamstring Autografts Using the Same Suspensory Fixations in ACL Reconstruction: A Systematic Review and Meta-analysis,"Chen W, Li H, Chen Y, Jiang F, Wu Y, Chen S.",Orthop J Sports Med,2019,10.1177/2325967119885314,Chen,bonepatellartendonboneautograftsversushamstringautograftsusingthesamesuspensoryfixationsinaclreconstruction:asystematicreviewandmetaanalysis,Chen+bonepatellartendonboneautograftsversushamstringautograftsusingthesamesuspensoryfixationsinaclreconstruction:asystematicreviewandmetaanalysis+2019
91,31987693,Anterior Cruciate Ligament Reconstruction with Platelet-Rich Plasma: A Systematic Review of Randomized Control Trials,"Davey MS, Hurley ET, Withers D, Moran R, Moran CJ.",Arthroscopy,2020,10.1016/j.arthro.2019.11.004,Davey,anteriorcruciateligamentreconstructionwithplateletrichplasma:asystematicreviewofrandomizedcontroltrials,Davey+anteriorcruciateligamentreconstructionwithplateletrichplasma:asystematicreviewofrandomizedcontroltrials+2020
93,31858199,Network meta-analysis of knee outcomes following anterior cruciate ligament reconstruction with various types of tendon grafts,"Yang XG, Wang F, He X, Feng JT, Hu YC, Zhang H, Yang L, Hua K.",Int Orthop,2020,10.1007/s00264-019-04417-8,Yang,networkmetaanalysisofkneeoutcomesfollowinganteriorcruciateligamentreconstructionwithvarioustypesoftendongrafts,Yang+networkmetaanalysisofkneeoutcomesfollowinganteriorcruciateligamentreconstructionwithvarioustypesoftendongrafts+2020
95,31798951,Generalised joint hypermobility increases ACL injury risk and is associated with inferior outcome after ACL reconstruction: a systematic review,"Sundemo D, Hamrin Senorski E, Karlsson L, Horvath A, Juul-Kristensen B, Karlsson J, Ayeni OR, Samuelsson K.",BMJ Open Sport Exerc Med,2019,10.1136/bmjsem-2019-000620,Sundemo,generalisedjointhypermobilityincreasesaclinjuryriskandisassociatedwithinferioroutcomeafteraclreconstruction:asystematicreview,Sundemo+generalisedjointhypermobilityincreasesaclinjuryriskandisassociatedwithinferioroutcomeafteraclreconstruction:asystematicreview+2019
97,31305357,Quadriceps Tendon Autograft in Anterior Cruciate Ligament Reconstruction,"Mehran N, Damodar D, Shu Yang J.",J Am Acad Orthop Surg,2020,10.5435/JAAOS-D-19-00032,Mehran,quadricepstendonautograftinanteriorcruciateligamentreconstruction,Mehran+quadricepstendonautograftinanteriorcruciateligamentreconstruction+2020
98,31233432,A Comparison of Quadriceps Tendon Autograft With Bone-Patellar Tendon-Bone Autograft and Hamstring Tendon Autograft for Primary Anterior Cruciate Ligament Reconstruction: A Systematic Review and Quantitative Synthesis,"Ajrawat P, Dwyer T, Whelan D, Theodoropoulos J, Murnaghan L, Bhargava M, Ogilvie-Harris D, Chahal J.",Clin J Sport Med,2021,10.1097/JSM.0000000000000765,Ajrawat,acomparisonofquadricepstendonautograftwithbonepatellartendonboneautograftandhamstringtendonautograftforprimaryanteriorcruciateligamentreconstruction:asystematicreviewandquantitativesynthesis,Ajrawat+acomparisonofquadricepstendonautograftwithbonepatellartendonboneautograftandhamstringtendonautograftforprimaryanteriorcruciateligamentreconstruction:asystematicreviewandquantitativesynthesis+2021
101,30964537,Anterior Cruciate Ligament Reconstruction in Young Females: A Systematic Review of Patellar Tendon Versus Hamstring Tendon Autografts,"Salem HS, Kraeutler MJ, Carter AH, Tjoumakaris FP, Freedman KB.",Orthopedics,2019,10.3928/01477447-20190403-05,Salem,anteriorcruciateligamentreconstructioninyoungfemales:asystematicreviewofpatellartendonversushamstringtendonautografts,Salem+anteriorcruciateligamentreconstructioninyoungfemales:asystematicreviewofpatellartendonversushamstringtendonautografts+2019
102,30790526,Anterior Cruciate Ligament Reconstruction: A Systematic Review and Meta-analysis of Outcomes for Quadriceps Tendon Autograft Versus Bone-Patellar Tendon-Bone and Hamstring-Tendon Autografts,"Mouarbes D, Menetrey J, Marot V, Courtot L, Berard E, Cavaignac E.",Am J Sports Med,2019,10.1177/0363546518825340,Mouarbes,anteriorcruciateligamentreconstruction:asystematicreviewandmetaanalysisofoutcomesforquadricepstendonautograftversusbonepatellartendonboneandhamstringtendonautografts,Mouarbes+anteriorcruciateligamentreconstruction:asystematicreviewandmetaanalysisofoutcomesforquadricepstendonautograftversusbonepatellartendonboneandhamstringtendonautografts+2019
