id,study_id,source,authors,first_author,Title,short_title,Publication Year,DOI,Journal/Book,deduplication,title_abstract_screening,full-text_screening,reason_for_exclusion
,Mohtadi N (2016),PubMed,"Mohtadi N, Chan D, Barber R, Paolucci EO.",Mohtadi,"Reruptures, Reinjuries, and Revisions at a Minimum 2-Year Follow-up: A Randomized Clinical Trial Comparing 3 Graft Types for ACL Reconstruction","Reruptures, Reinjuries, and Revisio",2016,10.1097/JSM.0000000000000209,Clin J Sport Med,Mohtadi2016,,,
,Mohtadi N (2015),PubMed,"Mohtadi N, Chan D, Barber R, Oddone Paolucci E.",Mohtadi,"A Randomized Clinical Trial Comparing Patellar Tendon, Hamstring Tendon, and Double-Bundle ACL Reconstructions: Patient-Reported and Clinical Outcomes at a Minimal 2-Year Follow-up",A Randomized Clinical Trial Compari,2015,10.1097/JSM.0000000000000165,Clin J Sport Med,Mohtadi2015,,,
,Papalia R (2015),PubMed,"Papalia R, Franceschi F, Tecame A, D'Adamio S, Maffulli N, Denaro V.",Papalia,Anterior cruciate ligament reconstruction and return to sport activity: postural control as the key to success,Anterior cruciate ligament reconstr,2015,10.1007/s00264-014-2513-9,Int Orthop,Papalia2015,,,
,Kautzner J (2015),PubMed,"Kautzner J, Kos P, Hanus M, Trc T, Havlas V.",Kautzner,A comparison of ACL reconstruction using patellar tendon versus hamstring autograft in female patients: a prospective randomised study,A comparison of ACL reconstruction ,2015,10.1007/s00264-014-2495-7,Int Orthop,Kautzner2015,,,
,Leitgeb J (2014),PubMed,"Leitgeb J, KÃ¶ttstorfer J, Schuster R, Kovar FM, Platzer P, Aldrian S.",Leitgeb,Primary anterior cruciate ligament reconstruction in athletes: a 5-year follow up comparing patellar tendon versus hamstring tendon autograft,Primary anterior cruciate ligament ,2014,10.1007/s00508-014-0550-4,Wien Klin Wochenschr,Leitgeb2014,,,
,Barenius B (2014),PubMed,"Barenius B, Ponzer S, Shalabi A, Bujak R, NorlÃ©n L, Eriksson K.",Barenius,Increased risk of osteoarthritis after anterior cruciate ligament reconstruction: a 14-year follow-up study of a randomized controlled trial,Increased risk of osteoarthritis af,2014,10.1177/0363546514526139,Am J Sports Med,Barenius2014,,,
,McRae S (2013),PubMed,"McRae S, Leiter J, McCormack R, Old J, MacDonald P.",McRae,Ipsilateral versus contralateral hamstring grafts in anterior cruciate ligament reconstruction: a prospective randomized trial,Ipsilateral versus contralateral ha,2013,10.1177/0363546513499140,Am J Sports Med,McRae2013,,,
,Lui PP (2012),PubMed,"Lui PP, Cheng YY, Yung SH, Hung AS, Chan KM.",Lui,A randomized controlled trial comparing bone mineral density changes of three different ACL reconstruction techniques,A randomized controlled trial compa,2012,10.1016/j.knee.2012.02.005,Knee,Lui2012,,,
,Gifstad T (2013),PubMed,"Gifstad T, Sole A, Strand T, Uppheim G, GrÃ¸ntvedt T, Drogset JO.",Gifstad,Long-term follow-up of patellar tendon grafts or hamstring tendon grafts in endoscopic ACL reconstructions,Long-term follow-up of patellar ten,2013,10.1007/s00167-012-1947-0,Knee Surg Sports Traumatol Arthrosc,Gifstad2013,,,
,Leys T (2012),PubMed,"Leys T, Salmon L, Waller A, Linklater J, Pinczewski L.",Leys,Clinical results and risk factors for reinjury 15 years after anterior cruciate ligament reconstruction: a prospective study of hamstring and patellar tendon grafts,Clinical results and risk factors f,2012,10.1177/0363546511430375,Am J Sports Med,Leys2012,,,
,Sajovic M (2011),PubMed,"Sajovic M, Strahovnik A, Dernovsek MZ, Skaza K.",Sajovic,Quality of life and clinical outcome comparison of semitendinosus and gracilis tendon versus patellar tendon autografts for anterior cruciate ligament reconstruction: an 11-year follow-up of a randomized controlled trial,Quality of life and clinical outcom,2011,10.1177/0363546511411702,Am J Sports Med,Sajovic2011,,,
,Leal-Blanquet J (2011),PubMed,"Leal-Blanquet J, Alentorn-Geli E, Tuneu J, ValentÃ­ JR, Maestro A.",Leal-Blanquet,Anterior cruciate ligament reconstruction: a multicenter prospective cohort study evaluating 3 different grafts using same bone drilling method,Anterior cruciate ligament reconstr,2011,10.1097/JSM.0b013e31822153cb,Clin J Sport Med,Leal-Blanquet2011,,,
,Wipfler B (2011),PubMed,"Wipfler B, Donner S, Zechmann CM, Springer J, Siebold R, Paessler HH.",Wipfler,Anterior cruciate ligament reconstruction using patellar tendon versus hamstring tendon: a prospective comparative study with 9-year follow-up,Anterior cruciate ligament reconstr,2011,10.1016/j.arthro.2011.01.015,Arthroscopy,Wipfler2011,,,
,Zaffagnini S (2011),PubMed,"Zaffagnini S, Bruni D, Marcheggiani Muccioli GM, Bonanzinga T, Lopomo N, Bignozzi S, Marcacci M.",Zaffagnini,Single-bundle patellar tendon versus non-anatomical double-bundle hamstrings ACL reconstruction: a prospective randomized study at 8-year minimum follow-up,Single-bundle patellar tendon versu,2011,10.1007/s00167-010-1225-y,Knee Surg Sports Traumatol Arthrosc,Zaffagnini2011,,,
,Barenius B (2010),PubMed,"Barenius B, Nordlander M, Ponzer S, Tidermark J, Eriksson K.",Barenius,Quality of life and clinical outcome after anterior cruciate ligament reconstruction using patellar tendon graft or quadrupled semitendinosus graft: an 8-year follow-up of a randomized controlled trial,Quality of life and clinical outcom,2010,10.1177/0363546510369549,Am J Sports Med,Barenius2010,,,
,Sekir U (2010),PubMed,"Sekir U, Gur H, Akova B.",Sekir,Early versus late start of isokinetic hamstring-strengthening exercise after anterior cruciate ligament reconstruction with patellar tendon graft,Early versus late start of isokinet,2010,10.1177/0363546509349490,Am J Sports Med,Sekir2010,,,
,Holm I (2010),PubMed,"Holm I, Oiestad BE, Risberg MA, Aune AK.",Holm,No difference in knee function or prevalence of osteoarthritis after reconstruction of the anterior cruciate ligament with 4-strand hamstring autograft versus patellar tendon-bone autograft: a randomized study with 10-year follow-up,No difference in knee function or p,2010,10.1177/0363546509350301,Am J Sports Med,Holm2010,,,
,Drogset JO (2010),PubMed,"Drogset JO, Strand T, Uppheim G, OdegÃ¥rd B, BÃ¸e A, GrÃ¸ntvedt T.",Drogset,Autologous patellar tendon and quadrupled hamstring grafts in anterior cruciate ligament reconstruction: a prospective randomized multicenter review of different fixation methods,Autologous patellar tendon and quad,2010,10.1007/s00167-009-0996-5,Knee Surg Sports Traumatol Arthrosc,Drogset2010,,,
,Taylor DC (2009),PubMed,"Taylor DC, DeBerardino TM, Nelson BJ, Duffey M, Tenuta J, Stoneman PD, Sturdivant RX, Mountcastle S.",Taylor,Patellar tendon versus hamstring tendon autografts for anterior cruciate ligament reconstruction: a randomized controlled trial using similar femoral and tibial fixation methods,Patellar tendon versus hamstring te,2009,10.1177/0363546509339577,Am J Sports Med,Taylor2009,,,
,AhldÃ©n M (2009),PubMed,"AhldÃ©n M, Kartus J, Ejerhed L, Karlsson J, Sernert N.",AhldÃ©n,"Knee laxity measurements after anterior cruciate ligament reconstruction, using either bone-patellar-tendon-bone or hamstring tendon autografts, with special emphasis on comparison over time",Knee laxity measurements after ante,2009,10.1007/s00167-009-0846-5,Knee Surg Sports Traumatol Arthrosc,AhldÃ©n2009,,,
,Tsuda E (2009),PubMed,"Tsuda E, Ishibashi Y, Fukuda A, Tsukada H, Toh S.",Tsuda,Comparable results between lateralized single- and double-bundle ACL reconstructions,Comparable results between laterali,2009,10.1007/s11999-008-0604-x,Clin Orthop Relat Res,Tsuda2009,,,
,Laboute E (2008),PubMed,"Laboute E, Savalli L, Lefesvre T, Puig P, Trouve P.",Laboute,[Interest of an iterative specialized rehabilitation after an anterior cruciate ligament reconstruction in high level sport athletes],Interest of an iterative specialize,2008,10.1016/j.rco.2008.01.008,Rev Chir Orthop Reparatrice Appar Mot,Laboute2008,,,
,Sajovic M (2008),PubMed,"Sajovic M, Strahovnik A, Komadina R, Dernovsek MZ.",Sajovic,The effect of graft choice on functional outcome in anterior cruciate ligament reconstruction,The effect of graft choice on funct,2008,10.1007/s00264-007-0341-x,Int Orthop,Sajovic2008,,,
,LidÃ©n M (2007),PubMed,"LidÃ©n M, Ejerhed L, Sernert N, Laxdal G, Kartus J.",LidÃ©n,"Patellar tendon or semitendinosus tendon autografts for anterior cruciate ligament reconstruction: a prospective, randomized study with a 7-Year follow-up",Patellar tendon or semitendinosus t,2007,10.1177/0363546506298275,Am J Sports Med,LidÃ©n2007,,,
,Pinczewski LA (2007),PubMed,"Pinczewski LA, Lyman J, Salmon LJ, Russell VJ, Roe J, Linklater J.",Pinczewski,"A 10-year comparison of anterior cruciate ligament reconstructions with hamstring tendon and patellar tendon autograft: a controlled, prospective trial",A 10-year comparison of anterior cr,2007,10.1177/0363546506296042,Am J Sports Med,Pinczewski2007,,,
,Chouliaras V (2007),PubMed,"Chouliaras V, Ristanis S, Moraiti C, Stergiou N, Georgoulis AD.",Chouliaras,Effectiveness of reconstruction of the anterior cruciate ligament with quadrupled hamstrings and bone-patellar tendon-bone autografts: an in vivo study comparing tibial internal-external rotation,Effectiveness of reconstruction of ,2007,10.1177/0363546506296040,Am J Sports Med,Chouliaras2007,,,
,Heijne A (2007),PubMed,"Heijne A, Werner S.",Heijne,Early versus late start of open kinetic chain quadriceps exercises after ACL reconstruction with patellar tendon or hamstring grafts: a prospective randomized outcome study,Early versus late start of open kin,2007,10.1007/s00167-006-0246-z,Knee Surg Sports Traumatol Arthrosc,Heijne2007,,,
,Maletis GB (2007),PubMed,"Maletis GB, Cameron SL, Tengan JJ, Burchette RJ.",Maletis,A prospective randomized study of anterior cruciate ligament reconstruction: a comparison of patellar tendon and quadruple-strand semitendinosus/gracilis tendons fixed with bioabsorbable interference screws,A prospective randomized study of a,2007,10.1177/0363546506294361,Am J Sports Med,Maletis2007,,,
,Ito Y (2007),PubMed,"Ito Y, Deie M, Adachi N, Kobayashi K, Kanaya A, Miyamoto A, Nakasa T, Ochi M.",Ito,A prospective study of 3-day versus 2-week immobilization period after anterior cruciate ligament reconstruction,A prospective study of 3-day versus,2007,10.1016/j.knee.2006.10.004,Knee,Ito2007,,,
,Sajovic M (2006),PubMed,"Sajovic M, Vengust V, Komadina R, Tavcar R, Skaza K.",Sajovic,"A prospective, randomized comparison of semitendinosus and gracilis tendon versus patellar tendon autografts for anterior cruciate ligament reconstruction: five-year follow-up","A prospective, randomized compariso",2006,10.1177/0363546506290726,Am J Sports Med,Sajovic2006,,,
,Harilainen A (2006),PubMed,"Harilainen A, Linko E, Sandelin J.",Harilainen,Randomized prospective study of ACL reconstruction with interference screw fixation in patellar tendon autografts versus femoral metal plate suspension and tibial post fixation in hamstring tendon autografts: 5-year clinical and radiological follow-up results,Randomized prospective study of ACL,2006,10.1007/s00167-006-0059-0,Knee Surg Sports Traumatol Arthrosc,Harilainen2006,,,
,Gobbi A (2006),PubMed,"Gobbi A, Francisco R.",Gobbi,Factors affecting return to sports after anterior cruciate ligament reconstruction with patellar tendon and hamstring graft: a prospective clinical investigation,Factors affecting return to sports ,2006,10.1007/s00167-006-0050-9,Knee Surg Sports Traumatol Arthrosc,Gobbi2006,,,
,Svensson M (2006),PubMed,"Svensson M, Sernert N, Ejerhed L, Karlsson J, Kartus JT.",Svensson,A prospective comparison of bone-patellar tendon-bone and hamstring grafts for anterior cruciate ligament reconstruction in female patients,A prospective comparison of bone-pa,2006,10.1007/s00167-005-0708-8,Knee Surg Sports Traumatol Arthrosc,Svensson2006,,,
,Matsumoto A (2006),PubMed,"Matsumoto A, Yoshiya S, Muratsu H, Yagi M, Iwasaki Y, Kurosaka M, Kuroda R.",Matsumoto,A comparison of bone-patellar tendon-bone and bone-hamstring tendon-bone autografts for anterior cruciate ligament reconstruction,A comparison of bone-patellar tendo,2006,10.1177/0363546505279919,Am J Sports Med,Matsumoto2006,,,
,Ibrahim SA (2005),PubMed,"Ibrahim SA, Al-Kussary IM, Al-Misfer AR, Al-Mutairi HQ, Ghafar SA, El Noor TA.",Ibrahim,Clinical evaluation of arthroscopically assisted anterior cruciate ligament reconstruction: patellar tendon versus gracilis and semitendinosus autograft,Clinical evaluation of arthroscopic,2005,10.1016/j.arthro.2004.12.002,Arthroscopy,Ibrahim2005,,,
,Boyer P (2004),PubMed,"Boyer P, Djian P, Christel P, Paoletti X, Degeorges R.",Boyer,[Reliability of the KT-1000 arthrometer (Medmetric) for measuring anterior knee laxity: comparison with Telos in 147 knees],Reliability of the KT-1000 arthrome,2004,10.1016/s0035-1040(04)70756-4,Rev Chir Orthop Reparatrice Appar Mot,Boyer2004,,,
,Laxdal G (2005),PubMed,"Laxdal G, Kartus J, Hansson L, Heidvall M, Ejerhed L, Karlsson J.",Laxdal,A prospective randomized comparison of bone-patellar tendon-bone and hamstring grafts for anterior cruciate ligament reconstruction,A prospective randomized comparison,2005,10.1016/j.arthro.2004.09.014,Arthroscopy,Laxdal2005,,,
,Hill PF (2005),PubMed,"Hill PF, Russell VJ, Salmon LJ, Pinczewski LA.",Hill,The influence of supplementary tibial fixation on laxity measurements after anterior cruciate ligament reconstruction with hamstring tendons in female patients,The influence of supplementary tibi,2005,10.1177/0363546504268036,Am J Sports Med,Hill2005,,,
,Feller JA (2003),PubMed,"Feller JA, Webster KE.",Feller,A randomized comparison of patellar tendon and hamstring tendon anterior cruciate ligament reconstruction,A randomized comparison of patellar,2003,10.1177/03635465030310041501,Am J Sports Med,Feller2003,,,
,Ejerhed L (2003),PubMed,"Ejerhed L, Kartus J, Sernert N, KÃ¶hler K, Karlsson J.",Ejerhed,Patellar tendon or semitendinosus tendon autografts for anterior cruciate ligament reconstruction? A prospective randomized study with a two-year follow-up,Patellar tendon or semitendinosus t,2003,10.1177/03635465030310011401,Am J Sports Med,Ejerhed2003,,,
,Jansson KA (2003),PubMed,"Jansson KA, Linko E, Sandelin J, Harilainen A.",Jansson,A prospective randomized study of patellar versus hamstring tendon autografts for anterior cruciate ligament reconstruction,A prospective randomized study of p,2003,10.1177/03635465030310010501,Am J Sports Med,Jansson2003,,,
,Beynnon BD (2002),PubMed,"Beynnon BD, Johnson RJ, Fleming BC, Kannus P, Kaplan M, Samani J, RenstrÃ¶m P.",Beynnon,"Anterior cruciate ligament replacement: comparison of bone-patellar tendon-bone grafts with two-strand hamstring grafts. A prospective, randomized study",Anterior cruciate ligament replacem,2002,10.2106/00004623-200209000-00001,J Bone Joint Surg Am,Beynnon2002,,,
,Pinczewski LA (2002),PubMed,"Pinczewski LA, Deehan DJ, Salmon LJ, Russell VJ, Clingeleffer A.",Pinczewski,A five-year comparison of patellar tendon versus four-strand hamstring tendon autograft for arthroscopic reconstruction of the anterior cruciate ligament,A five-year comparison of patellar ,2002,10.1177/03635465020300041201,Am J Sports Med,Pinczewski2002,,,
,Henriksson M (2002),PubMed,"Henriksson M, Rockborn P, Good L.",Henriksson,Range of motion training in brace vs. plaster immobilization after anterior cruciate ligament reconstruction: a prospective randomized comparison with a 2-year follow-up,Range of motion training in brace v,2002,10.1034/j.1600-0838.2002.120203.x,Scand J Med Sci Sports,Henriksson2002,,,
,Shaieb MD (2002),PubMed,"Shaieb MD, Kan DM, Chang SK, Marumoto JM, Richardson AB.",Shaieb,A prospective randomized comparison of patellar tendon versus semitendinosus and gracilis tendon autografts for anterior cruciate ligament reconstruction,A prospective randomized comparison,2002,10.1177/03635465020300021201,Am J Sports Med,Shaieb2002,,,
,Aune AK (2001),PubMed,"Aune AK, Holm I, Risberg MA, Jensen HK, Steen H.",Aune,Four-strand hamstring tendon autograft compared with patellar tendon-bone autograft for anterior cruciate ligament reconstruction. A randomized study with two-year follow-up,Four-strand hamstring tendon autogr,2001,10.1177/03635465010290060901,Am J Sports Med,Aune2001,,,
,Feller JA (2001),PubMed,"Feller JA, Webster KE, Gavin B.",Feller,Early post-operative morbidity following anterior cruciate ligament reconstruction: patellar tendon versus hamstring graft,Early post-operative morbidity foll,2001,10.1007/s001670100216,Knee Surg Sports Traumatol Arthrosc,Feller2001,,,
,Anderson AF (2001),PubMed,"Anderson AF, Snyder RB, Lipscomb AB Jr.",Anderson,Anterior cruciate ligament reconstruction. A prospective randomized study of three surgical methods,Anterior cruciate ligament reconstr,2001,10.1177/03635465010290030201,Am J Sports Med,Anderson2001,,,
,Eriksson K (2001),PubMed,"Eriksson K, Anderberg P, Hamberg P, LÃ¶fgren AC, Bredenberg M, Westman I, Wredmark T.",Eriksson,A comparison of quadruple semitendinosus and patellar tendon grafts in reconstruction of the anterior cruciate ligament,A comparison of quadruple semitendi,2001,10.1302/0301-620x.83b3.11685,J Bone Joint Surg Br,Eriksson2001,,,
,Jansson KA (1999),PubMed,"Jansson KA, Harilainen A, Sandelin J, Karjalainen PT, Aronen HJ, Tallroth K.",Jansson,"Bone tunnel enlargement after anterior cruciate ligament reconstruction with the hamstring autograft and endobutton fixation technique. A clinical, radiographic and magnetic resonance imaging study with 2 years follow-up",Bone tunnel enlargement after anter,1999,10.1007/s001670050166,Knee Surg Sports Traumatol Arthrosc,Jansson1999,,,
,Marcacci M (1998),PubMed,"Marcacci M, Zaffagnini S, Iacono F, Neri MP, Loreti I, Petitto A.",Marcacci,Arthroscopic intra- and extra-articular anterior cruciate ligament reconstruction with gracilis and semitendinosus tendons,Arthroscopic intra- and extra-artic,1998,10.1007/s001670050075,Knee Surg Sports Traumatol Arthrosc,Marcacci1998,,,
,Feller J (1997),PubMed,"Feller J, Bartlett J, Chapman S, Delahunt M.",Feller,Use of an extension-assisting brace following anterior cruciate ligament reconstruction,Use of an extension-assisting brace,1997,10.1007/s001670050016,Knee Surg Sports Traumatol Arthrosc,Feller1997,,,
,MacDonald PB (1996),PubMed,"MacDonald PB, Hedden D, Pacin O, Sutherland K.",MacDonald,Proprioception in anterior cruciate ligament-deficient and reconstructed knees,Proprioception in anterior cruciate,1996,10.1177/036354659602400612,Am J Sports Med,MacDonald1996,,,
,Lawless AM (2026),PubMed,"Lawless AM, Ebert JR, Edwards PK, Malik SS, Davies PSE, D'Alessandro PA.",Lawless,A semitendinosus with adjustable button graft construct in patients undergoing hamstring ACL reconstruction results in improved knee flexor strength symmetry and less donor site pain and morbidity: Outcomes from the DOSTAR randomized controlled trial,A semitendinosus with adjustable bu,2026,10.1002/ksa.12698,Knee Surg Sports Traumatol Arthrosc,Lawless2026,,,
,Cao X (2025),PubMed,"Cao X, Liu J, Zhao J, Feng S, Zhao Z.",Cao,Evaluation of the Application of BOth Sides Up Ball Training Combined With Resistance Training in Joint Stability Improvement Following Anterior Cruciate Ligament Reconstruction Surgery in Teenage Athletes,Evaluation of the Application of BO,2025,10.1123/jsr.2024-0160,J Sport Rehabil,Cao2025,,,
,Calvert ND (2025),PubMed,"Calvert ND, Ebert JR, Radic R.",Calvert,Kneeling tolerance when using quadriceps tendon autograft for anterior cruciate ligament reconstruction is superior to hamstring tendon autograft,Kneeling tolerance when using quadr,2025,10.1002/ksa.12583,Knee Surg Sports Traumatol Arthrosc,Calvert2025,,,
,Ebert JR (2024),PubMed,"Ebert JR, Calvert ND, Radic R.",Ebert,A Prospective Randomized Controlled Trial Investigating Quadriceps Versus Hamstring Tendon Autograft in Anterior Cruciate Ligament Reconstruction,A Prospective Randomized Controlled,2024,10.1177/03635465231222279,Am J Sports Med,Ebert2024,,,
,Tang N (2024),PubMed,"Tang N, Eren M, Gurpinar T, Ozturkmen Y.",Tang,A prospective randomized controlled study of hamstring and bone-free quadriceps tendons autografts in arthroscopic ACL reconstruction,A prospective randomized controlled,2024,10.1007/s00590-023-03636-5,Eur J Orthop Surg Traumatol,Tang2024,,,
,Vieira de Melo RF (2022),PubMed,"Vieira de Melo RF, Komatsu WR, Freitas MS, Vieira de Melo ME, Cohen M.",Vieira,Comparison of Quadriceps and Hamstring Muscle Strength after Exercises with and without Blood Flow Restriction following Anterior Cruciate Ligament Surgery: A Randomized Controlled Trial,Comparison of Quadriceps and Hamstr,2022,10.2340/jrm.v54.2550,J Rehabil Med,Vieira2022,,,
,de Souza Borges JH (2022),PubMed,"de Souza Borges JH, Oliveira M, Junior PL, de Souza Machado R, Lima R, Ramos LA, Cohen M.",de,Is contralateral autogenous patellar tendon graft a better choice than ipsilateral for anterior cruciate ligament reconstruction in young sportsmen? A randomized controlled trial,Is contralateral autogenous patella,2022,10.1016/j.knee.2022.03.015,Knee,de2022,,,
,KomzÃ¡k M (2022),PubMed,"KomzÃ¡k M, Hart R, NÃ¡hlÃ­k D, VysokÃ½ R.",KomzÃ¡k,In vivo knee rotational stability 2Â years after the ACL reconstruction using a quadriceps tendon graft with bone block and bone-patellar tendon-bone graft,In vivo knee rotational stability 2,2022,10.1007/s00402-021-04195-2,Arch Orthop Trauma Surg,KomzÃ¡k2022,,,
,Sole G (2021),PubMed,"Sole G, Lamb P, Pataky T, Klima S, Navarre P, Hammer N.",Sole,Immediate and 6-week effects of wearing a knee sleeve following anterior cruciate ligament reconstruction: a cross-over laboratory and randomised clinical trial,Immediate and 6-week effects of wea,2021,10.1186/s12891-021-04540-x,BMC Musculoskelet Disord,Sole2021,,,
,Horstmann H (2022),PubMed,"Horstmann H, Petri M, Tegtbur U, Felmet G, Krettek C, Jagodzinski M.",Horstmann,"Quadriceps and hamstring tendon autografts in ACL reconstruction yield comparably good results in a prospective, randomized controlled trial",Quadriceps and hamstring tendon aut,2022,10.1007/s00402-021-03862-8,Arch Orthop Trauma Surg,Horstmann2022,,,
,Roger J (2020),PubMed,"Roger J, Bertani A, Vigouroux F, Mottier F, Gaillard R, Have L, RongiÃ¨ras F.",Roger,ACL reconstruction using a quadruple semitendinosus graft with cortical fixations gives suitable isokinetic and clinical outcomes after 2Â years,ACL reconstruction using a quadrupl,2020,10.1007/s00167-020-06121-2,Knee Surg Sports Traumatol Arthrosc,Roger2020,,,
,Barnett S (2020),PubMed,"Barnett S, Badger GJ, Kiapour A, Yen YM, Henderson R, Freiberger C, Proffen B, Sant N, Trainor B, Fleming BC, Micheli LJ, Murray MM, Kramer DE.",Barnett,Females Have Earlier Muscle Strength and Functional Recovery After Bridge-Enhanced Anterior Cruciate Ligament Repair,Females Have Earlier Muscle Strengt,2020,10.1089/ten.tea.2020.0057,Tissue Eng Part A,Barnett2020,,,
