doi,first_author,short_title,year,sTITLE+fAUTHOR+YEAR
10.1177/0363546505279919,Matsumoto ,acomparisonofbonepatellartendonbone,2006,acomparisonofbonepatellartendonboneMatsumoto 2006
10.1016/j.arthro.2004.12.002,Ibrahim ,clinicalevaluationofarthroscopicall,2005,clinicalevaluationofarthroscopicallIbrahim 2005
10.1016/s0035-1040(04)70756-4,Boyer ,reliabilityofthekt1000arthrometer(m,2004,reliabilityofthekt1000arthrometer(mBoyer 2004
10.1016/j.arthro.2004.09.014,Laxdal ,aprospectiverandomizedcomparisonofb,2005,aprospectiverandomizedcomparisonofbLaxdal 2005
10.1177/0363546504268036,Hill ,theinfluenceofsupplementarytibialfi,2005,theinfluenceofsupplementarytibialfiHill 2005
10.1177/03635465030310041501,Feller ,arandomizedcomparisonofpatellartend,2003,arandomizedcomparisonofpatellartendFeller 2003
10.1177/03635465030310011401,Ejerhed ,patellartendonorsemitendinosustendo,2003,patellartendonorsemitendinosustendoEjerhed 2003
10.1177/03635465030310010501,Jansson ,aprospectiverandomizedstudyofpatell,2003,aprospectiverandomizedstudyofpatellJansson 2003
10.2106/00004623-200209000-00001,Beynnon ,anteriorcruciateligamentreplacement,2002,anteriorcruciateligamentreplacementBeynnon 2002
10.1177/03635465020300041201,Pinczewski ,afiveyearcomparisonofpatellartendon,2002,afiveyearcomparisonofpatellartendonPinczewski 2002
10.1034/j.1600-0838.2002.120203.x,Henriksson ,rangeofmotiontraininginbracevsplast,2002,rangeofmotiontraininginbracevsplastHenriksson 2002
10.1177/03635465020300021201,Shaieb ,aprospectiverandomizedcomparisonofp,2002,aprospectiverandomizedcomparisonofpShaieb 2002
10.1177/03635465010290060901,Aune ,fourstrandhamstringtendonautograftc,2001,fourstrandhamstringtendonautograftcAune 2001
10.1007/s001670100216,Feller ,earlypostoperativemorbidityfollowin,2001,earlypostoperativemorbidityfollowinFeller 2001
10.1177/03635465010290030201,Anderson ,anteriorcruciateligamentreconstruct,2001,anteriorcruciateligamentreconstructAnderson 2001
10.1302/0301-620x.83b3.11685,Eriksson ,acomparisonofquadruplesemitendinosu,2001,acomparisonofquadruplesemitendinosuEriksson 2001
10.1007/s001670050166,Jansson ,bonetunnelenlargementafteranteriorc,1999,bonetunnelenlargementafteranteriorcJansson 1999
10.1007/s001670050075,Marcacci ,arthroscopicintraandextraarticulara,1998,arthroscopicintraandextraarticularaMarcacci 1998
10.1007/s001670050016,Feller ,useofanextensionassistingbracefollo,1997,useofanextensionassistingbracefolloFeller 1997
10.1177/036354659602400612,MacDonald ,proprioceptioninanteriorcruciatelig,1996,proprioceptioninanteriorcruciateligMacDonald 1996
10.1002/ksa.12698,Lawless ,asemitendinosuswithadjustablebutton,2026,asemitendinosuswithadjustablebuttonLawless 2026
10.1123/jsr.2024-0160,Cao ,evaluationoftheapplicationofbothsid,2025,evaluationoftheapplicationofbothsidCao 2025
10.1002/ksa.12583,Calvert ,kneelingtolerancewhenusingquadricep,2025,kneelingtolerancewhenusingquadricepCalvert 2025
10.1177/03635465231222279,Ebert ,aprospectiverandomizedcontrolledtri,2024,aprospectiverandomizedcontrolledtriEbert 2024
10.1007/s00590-023-03636-5,Tang ,aprospectiverandomizedcontrolledstu,2024,aprospectiverandomizedcontrolledstuTang 2024
10.2340/jrm.v54.2550,Vieira ,comparisonofquadricepsandhamstringm,2022,comparisonofquadricepsandhamstringmVieira 2022
10.1016/j.knee.2022.03.015,de ,iscontralateralautogenouspatellarte,2022,iscontralateralautogenouspatellartede 2022
10.1007/s00402-021-04195-2,Komzák ,invivokneerotationalstability2 year,2022,invivokneerotationalstability2 yearKomzák 2022
10.1186/s12891-021-04540-x,Sole ,immediateand6weekeffectsofwearingak,2021,immediateand6weekeffectsofwearingakSole 2021
10.1007/s00402-021-03862-8,Horstmann ,quadricepsandhamstringtendonautogra,2022,quadricepsandhamstringtendonautograHorstmann 2022
10.1007/s00167-020-06121-2,Roger ,aclreconstructionusingaquadruplesem,2020,aclreconstructionusingaquadruplesemRoger 2020
10.1089/ten.tea.2020.0057,Barnett ,femaleshaveearliermusclestrengthand,2020,femaleshaveearliermusclestrengthandBarnett 2020
10.1007/s00402-020-03508-1,Barié ,quadricepstendonvspatellartendonaut,2020,quadricepstendonvspatellartendonautBarié 2020
10.1007/s40279-020-01276-x,Sinding ,effectsofautografttypesonmusclestre,2020,effectsofautografttypesonmusclestreSinding 2020
10.24875/CIRU.19001001,Vilchez-Cavazos ,anteriorcruciateligamentinjuriestre,2020,anteriorcruciateligamentinjuriestreVilchez-Cavazos 2020
10.1136/bjsports-2019-101000,Lind ,quadricepstendongraftsdoesnotcausep,2020,quadricepstendongraftsdoesnotcausepLind 2020
10.7507/1002-1892.201902059,Liu ,effectofisokinetictrainingofthighmu,2019,effectofisokinetictrainingofthighmuLiu 2019
10.1177/0363546519825878,Hoogeslag ,acuteanteriorcruciateligamentruptur,2019,acuteanteriorcruciateligamentrupturHoogeslag 2019
10.1016/j.arthro.2018.10.149,Bailey ,adductorcanalnerveversusfemoralnerv,2019,adductorcanalnerveversusfemoralnervBailey 2019
10.1007/s00167-018-5040-1,Harput ,crosseducationimprovesquadricepsstr,2019,crosseducationimprovesquadricepsstrHarput 2019
10.1016/j.knee.2018.03.011,Martin-Alguacil ,strengthrecoveryafteranteriorcrucia,2018,strengthrecoveryafteranteriorcruciaMartin-Alguacil 2018
10.1007/s00402-017-2774-z,Beyaz ,tunnelwideningaftersingleversusdoub,2017,tunnelwideningaftersingleversusdoubBeyaz 2017
10.1007/s00167-015-3718-1,Çelik ,theeffectivenessofpilatesforpartial,2017,theeffectivenessofpilatesforpartialÇelik 2017
10.1007/s00167-014-3430-6,Sacramento ,anewtechniqueindoublebundleanterior,2016,anewtechniqueindoublebundleanteriorSacramento 2016
10.1007/s00402-014-2108-3,Chen ,acomparisonofacuteandchronicanterio,2015,acomparisonofacuteandchronicanterioChen 2015
10.1016/j.arthro.2014.01.012,Lund ,isquadricepstendonabettergraftchoic,2014,isquadricepstendonabettergraftchoicLund 2014
10.1007/s00776-013-0427-9,Inagaki ,prospectiveclinicalcomparisonsofsem,2013,prospectiveclinicalcomparisonsofsemInagaki 2013
10.1177/0363546513476482,Fukuda ,openkineticchainexercisesinarestric,2013,openkineticchainexercisesinarestricFukuda 2013
10.1016/j.arthro.2011.01.015,Wipfler ,anteriorcruciateligamentreconstruct,2011,anteriorcruciateligamentreconstructWipfler 2011
10.1007/s00264-010-1000-1,Alentorn-Geli ,anteromedialportalversustranstibial,2010,anteromedialportalversustranstibialAlentorn-Geli 2010
10.1177/0363546509349490,Sekir ,earlyversuslatestartofisokineticham,2010,earlyversuslatestartofisokinetichamSekir 2010
10.1111/j.1600-0838.2009.00903.x,Tagesson ,tibialtranslationandmuscleactivatio,2010,tibialtranslationandmuscleactivatioTagesson 2010
10.1007/s11999-008-0604-x,Tsuda ,comparableresultsbetweenlateralized,2009,comparableresultsbetweenlateralizedTsuda 2009
10.1007/s11999-007-0015-4,Han ,anteriorcruciateligamentreconstruct,2008,anteriorcruciateligamentreconstructHan 2008
10.1177/0363546507307867,Tagesson ,acomprehensiverehabilitationprogram,2008,acomprehensiverehabilitationprogramTagesson 2008
10.1007/s00167-006-0246-z,Heijne ,earlyversuslatestartofopenkineticch,2007,earlyversuslatestartofopenkineticchHeijne 2007
10.1177/03635465030310041501,Feller ,arandomizedcomparisonofpatellartend,2003,arandomizedcomparisonofpatellartendFeller 2003
10.1302/0301-620x.85b4.13743,Meighan ,outcomeafterreconstructionoftheante,2003,outcomeafterreconstructionoftheanteMeighan 2003
10.1034/j.1600-0838.2002.120203.x,Henriksson ,rangeofmotiontraininginbracevsplast,2002,rangeofmotiontraininginbracevsplastHenriksson 2002
10.1177/03635465020300021201,Shaieb ,aprospectiverandomizedcomparisonofp,2002,aprospectiverandomizedcomparisonofpShaieb 2002
10.1053/jars.2002.30637,Colombet ,anteriorcruciateligamentreconstruct,2002,anteriorcruciateligamentreconstructColombet 2002
10.1007/s001670100216,Feller ,earlypostoperativemorbidityfollowin,2001,earlypostoperativemorbidityfollowinFeller 2001
10.2106/00004623-200109000-00006,O'Neill ,arthroscopicallyassistedreconstruct,2001,arthroscopicallyassistedreconstructO'Neill 2001
10.1007/s001670000143,Mikkelsen ,closedkineticchainalonecomparedtoco,2000,closedkineticchainalonecomparedtocoMikkelsen 2000
10.1177/03635465000280050501,Shelbourne ,primaryanteriorcruciateligamentreco,2000,primaryanteriorcruciateligamentrecoShelbourne 2000
10.1007/s001670050016,Feller ,useofanextensionassistingbracefollo,1997,useofanextensionassistingbracefolloFeller 1997
10.1177/036354659602400610,Arciero ,theeffectoftourniquetuseinanteriorc,1996,theeffectoftourniquetuseinanteriorcArciero 1996
10.2519/jospt.1994.20.5.247,Yack ,anteriortibialtranslationduringprog,1994,anteriortibialtranslationduringprogYack 1994
10.1007/s00402-024-05639-1,Butt ,5yearsoutcomesfollowingarthroscopic,2024,5yearsoutcomesfollowingarthroscopicButt 2024
10.1055/s-0038-1627466,Bi ,allinsidesinglebundlereconstruction,2018,allinsidesinglebundlereconstructionBi 2018
10.1016/j.knee.2016.08.011,Rose ,aprospectiverandomizedcomparisonoft,2016,aprospectiverandomizedcomparisonoftRose 2016
10.1177/03635465241271524,Popovic ,reducedkneeflexionstrength18yearsaf,2024,reducedkneeflexionstrength18yearsafPopovic 2024
10.3390/medicina59101764,Obradović ,tubularizationofbonetendonbonegraft,2023,tubularizationofbonetendonbonegraftObradović 2023
10.1016/j.arthro.2021.12.018,Chahal ,anteriorcruciateligamentpatellarten,2022,anteriorcruciateligamentpatellartenChahal 2022
10.1016/j.knee.2022.03.015,de ,iscontralateralautogenouspatellarte,2022,iscontralateralautogenouspatellartede 2022
10.1177/03635465211010798,Marmura ,validationofariskcalculatortoperson,2021,validationofariskcalculatortopersonMarmura 2021
10.1007/s00402-020-03508-1,Barié ,quadricepstendonvspatellartendonaut,2020,quadricepstendonvspatellartendonautBarié 2020
10.1016/j.arthro.2020.01.048,Smith ,allinsidequadrupledsemitendinosusau,2020,allinsidequadrupledsemitendinosusauSmith 2020
10.1177/0363546520914936,Castoldi ,arandomizedcontrolledtrialofbonepat,2020,arandomizedcontrolledtrialofbonepatCastoldi 2020
10.1177/0363546520913532,Murray ,bridgeenhancedanteriorcruciateligam,2020,bridgeenhancedanteriorcruciateligamMurray 2020
10.2106/JBJS.18.01322,Mohtadi ,arandomizedclinicaltrialcomparingpa,2019,arandomizedclinicaltrialcomparingpaMohtadi 2019
10.1016/j.arthro.2018.10.149,Bailey ,adductorcanalnerveversusfemoralnerv,2019,adductorcanalnerveversusfemoralnervBailey 2019
10.1177/0363546518768768,Sajovic ,longtermcomparisonofsemitendinosusa,2018,longtermcomparisonofsemitendinosusaSajovic 2018
10.1177/0363546518769295,Walters ,effectofintraoperativeplateletrichp,2018,effectofintraoperativeplateletrichpWalters 2018
10.1007/s00167-016-4229-4,Iliopoulos ,anatomicsinglebundleanteriorcruciat,2017,anatomicsinglebundleanteriorcruciatIliopoulos 2017
10.1007/s00402-016-2548-z,Mei ,doublelayerversussinglelayerbonepat,2016,doublelayerversussinglelayerbonepatMei 2016
10.1177/0363546516646378,Björnsson ,arandomizedcontrolledtrialwithmean1,2016,arandomizedcontrolledtrialwithmean1Björnsson 2016
10.1177/0363546516638387,Akelman ,effectofmatchingoroverconstrainingk,2016,effectofmatchingoroverconstrainingkAkelman 2016
10.1007/s00402-015-2386-4,Konrads ,nosignificantdifferenceinclinicalou,2016,nosignificantdifferenceinclinicalouKonrads 2016
10.1177/0363546515624471,Sasaki ,prospectiverandomizedstudyofobjecti,2016,prospectiverandomizedstudyofobjectiSasaki 2016
10.1097/JSM.0000000000000209,Mohtadi ,rerupturesreinjuriesandrevisionsata,2016,rerupturesreinjuriesandrevisionsataMohtadi 2016
10.1177/0363546515611886,Webster ,comparisonofpatellartendonandhamstr,2016,comparisonofpatellartendonandhamstrWebster 2016
10.1097/JSM.0000000000000165,Mohtadi ,arandomizedclinicaltrialcomparingpa,2015,arandomizedclinicaltrialcomparingpaMohtadi 2015
10.1007/s00264-014-2513-9,Papalia ,anteriorcruciateligamentreconstruct,2015,anteriorcruciateligamentreconstructPapalia 2015
10.1007/s00167-013-2630-9,Stensbirk ,iliotibialbandautograftversusbonepa,2014,iliotibialbandautograftversusbonepaStensbirk 2014
10.1007/s00167-013-2636-3,Peterson ,longtermresultsofarandomizedstudyon,2014,longtermresultsofarandomizedstudyonPeterson 2014
10.1007/s00167-013-2564-2,Mayr ,braceornobraceafteraclgraft?fouryea,2014,braceornobraceafteraclgraft?fouryeaMayr 2014
10.1016/j.arthro.2014.01.012,Lund ,isquadricepstendonabettergraftchoic,2014,isquadricepstendonabettergraftchoicLund 2014
10.1007/s00402-014-1999-3,Sarzaeem ,aclreconstructionusingbonepatellate,2014,aclreconstructionusingbonepatellateSarzaeem 2014
10.1016/S0020-1383(14)70008-7,Azcárate ,comparisonbetweentwodifferentplatel,2014,comparisonbetweentwodifferentplatelAzcárate 2014
10.1007/s00167-012-1947-0,Gifstad ,longtermfollowupofpatellartendongra,2013,longtermfollowupofpatellartendongraGifstad 2013
10.1007/s00167-012-2309-7,Indelicato ,asepticallyprocessedandchemicallyst,2013,asepticallyprocessedandchemicallystIndelicato 2013
10.1016/j.knee.2012.02.005,Lui ,arandomizedcontrolledtrialcomparing,2012,arandomizedcontrolledtrialcomparingLui 2012
10.1007/s00167-010-1225-y,Zaffagnini ,singlebundlepatellartendonversusnon,2011,singlebundlepatellartendonversusnonZaffagnini 2011
10.1016/j.arthro.2011.01.015,Wipfler ,anteriorcruciateligamentreconstruct,2011,anteriorcruciateligamentreconstructWipfler 2011
10.1007/s00167-010-1353-4,Drogset ,aprospectiverandomizedstudyofaclrec,2011,aprospectiverandomizedstudyofaclrecDrogset 2011
10.1007/s00167-009-0996-5,Drogset ,autologouspatellartendonandquadrupl,2010,autologouspatellartendonandquadruplDrogset 2010
10.1016/j.knee.2009.09.008,Ghalayini ,arthroscopicanteriorcruciateligamen,2010,arthroscopicanteriorcruciateligamenGhalayini 2010
10.1177/0363546509339577,Taylor ,patellartendonversushamstringtendon,2009,patellartendonversushamstringtendonTaylor 2009
10.1016/j.arthro.2009.05.016,Endele ,anteriorcruciateligamentreconstruct,2009,anteriorcruciateligamentreconstructEndele 2009
10.1007/s00167-009-0846-5,Ahldén ,kneelaxitymeasurementsafteranterior,2009,kneelaxitymeasurementsafteranteriorAhldén 2009
10.1016/j.rco.2008.01.008,Laboute ,interestofaniterativespecializedreh,2008,interestofaniterativespecializedrehLaboute 2008
10.1097/JSM.0b013e31812570fa,Huang ,preliminaryeffectsofhyaluronicacido,2007,preliminaryeffectsofhyaluronicacidoHuang 2007
10.1177/0363546506298275,Lidén ,patellartendonorsemitendinosustendo,2007,patellartendonorsemitendinosustendoLidén 2007
10.1007/s00167-006-0246-z,Heijne ,earlyversuslatestartofopenkineticch,2007,earlyversuslatestartofopenkineticchHeijne 2007
10.1177/0363546506294361,Maletis ,aprospectiverandomizedstudyofanteri,2007,aprospectiverandomizedstudyofanteriMaletis 2007
10.1177/0363546506290726,Sajovic ,aprospectiverandomizedcomparisonofs,2006,aprospectiverandomizedcomparisonofsSajovic 2006
10.1007/s00167-006-0050-9,Gobbi ,factorsaffectingreturntosportsafter,2006,factorsaffectingreturntosportsafterGobbi 2006
10.1177/0363546505284889,Halinen ,operativeandnonoperativetreatmentso,2006,operativeandnonoperativetreatmentsoHalinen 2006
10.1177/0363546505279919,Matsumoto ,acomparisonofbonepatellartendonbone,2006,acomparisonofbonepatellartendonboneMatsumoto 2006
10.1111/j.1600-0838.2004.00435.x,Harilainen ,postoperativeuseofkneebraceinbonete,2006,postoperativeuseofkneebraceinboneteHarilainen 2006
10.1016/s0035-1040(06)75947-5,Giraud ,intraarticularreconstructionofthean,2006,intraarticularreconstructionoftheanGiraud 2006
10.1177/0363546504272264,Drogset ,endoscopicreconstructionoftheanteri,2005,endoscopicreconstructionoftheanteriDrogset 2005
10.1016/j.arthro.2004.12.002,Ibrahim ,clinicalevaluationofarthroscopicall,2005,clinicalevaluationofarthroscopicallIbrahim 2005
10.1177/0363546504268406,Beynnon ,rehabilitationafteranteriorcruciate,2005,rehabilitationafteranteriorcruciateBeynnon 2005
10.1016/j.arthro.2004.09.012,Kaeding ,aprospectiverandomizedcomparisonofb,2005,aprospectiverandomizedcomparisonofbKaeding 2005
10.1177/0363546504268036,Hill ,theinfluenceofsupplementarytibialfi,2005,theinfluenceofsupplementarytibialfiHill 2005
10.1016/j.arthro.2004.09.014,Laxdal ,aprospectiverandomizedcomparisonofb,2005,aprospectiverandomizedcomparisonofbLaxdal 2005
10.1177/0363546504265924,Nicholas ,aprospectivelyrandomizeddoubleblind,2004,aprospectivelyrandomizeddoubleblindNicholas 2004
10.1007/s00167-003-0406-3,Mikkelsen ,canapostoperativebraceinslighthyper,2003,canapostoperativebraceinslighthyperMikkelsen 2003
10.1007/s00402-002-0457-9,Muren ,reconstructionofacuteanteriorcrucia,2003,reconstructionofacuteanteriorcruciaMuren 2003
10.1177/03635465020300061601,Drogset ,anteriorcruciateligamentreconstruct,2002,anteriorcruciateligamentreconstructDrogset 2002
10.1177/03635465020300011801,Hess ,singleversustwoincisiontechniqueina,2002,singleversustwoincisiontechniqueinaHess 2002
10.2106/00004623-200209000-00001,Beynnon ,anteriorcruciateligamentreplacement,2002,anteriorcruciateligamentreplacementBeynnon 2002
10.1177/03635465010290060901,Aune ,fourstrandhamstringtendonautograftc,2001,fourstrandhamstringtendonautograftcAune 2001
10.1053/jars.2001.25277,Mariani ,transcondylarscrewfixationinanterio,2001,transcondylarscrewfixationinanterioMariani 2001
10.1177/03635465010290030201,Anderson ,anteriorcruciateligamentreconstruct,2001,anteriorcruciateligamentreconstructAnderson 2001
10.1007/s001130050567,Hackl ,metallversusbioabsorbablepolyglycon,2000,metallversusbioabsorbablepolyglyconHackl 2000
10.1053/ar.1999.v15.015046001,McGuire ,bioabsorbableinterferencescrewsforg,1999,bioabsorbableinterferencescrewsforgMcGuire 1999
10.1016/j.lanepe.2025.101561,Sonnery-Cottet ,anteriorcruciateligamentreconstruct,2026,anteriorcruciateligamentreconstructSonnery-Cottet 2026
10.1002/ksa.12698,Lawless ,asemitendinosuswithadjustablebutton,2026,asemitendinosuswithadjustablebuttonLawless 2026
10.1007/s00402-024-05639-1,Butt ,5yearsoutcomesfollowingarthroscopic,2025,5yearsoutcomesfollowingarthroscopicButt 2025
10.1016/j.knee.2025.07.024,Kentel ,prospectiverandomizedstudycomparing,2025,prospectiverandomizedstudycomparingKentel 2025
10.1123/jsr.2024-0160,Cao ,evaluationoftheapplicationofbothsid,2025,evaluationoftheapplicationofbothsidCao 2025
10.1002/ksa.12583,Calvert ,kneelingtolerancewhenusingquadricep,2025,kneelingtolerancewhenusingquadricepCalvert 2025
10.1177/03635465251344106,Mo ,comparablemidtolongtermoutcomesofse,2025,comparablemidtolongtermoutcomesofseMo 2025
10.1016/j.arthro.2024.09.023,Ramakanth ,medialcollateralligamentrepairisola,2025,medialcollateralligamentrepairisolaRamakanth 2025
10.23736/S0022-4707.24.16134-8,Yang ,earlyversusdelayedstartofweightbear,2025,earlyversusdelayedstartofweightbearYang 2025
10.1177/23259671241302348,Lucidi ,longtermoutcomesafteranteriorcrucia,2025,longtermoutcomesafteranteriorcruciaLucidi 2025
10.1016/j.apunsm.2025.100507,Elazab ,clinicalandfunctionalcomparisonofbo,2025,clinicalandfunctionalcomparisonofboElazab 2025
10.1177/03635465241271524,Popovic ,reducedkneeflexionstrength18yearsaf,2024,reducedkneeflexionstrength18yearsafPopovic 2024
10.1177/03635465241254048,Mo ,aclreconstructionusingquadrupledsem,2024,aclreconstructionusingquadrupledsemMo 2024
10.7507/1002-1892.202402054,Yu ,earlyeffectivenessoflocalinjectiono,2024,earlyeffectivenessoflocalinjectionoYu 2024
10.1177/03635465231222279,Ebert ,aprospectiverandomizedcontrolledtri,2024,aprospectiverandomizedcontrolledtriEbert 2024
10.1016/j.arthro.2023.05.019,Rezansoff ,anteriorcruciateligamentreconstruct,2024,anteriorcruciateligamentreconstructRezansoff 2024
10.1007/s00590-023-03636-5,Tang ,aprospectiverandomizedcontrolledstu,2024,aprospectiverandomizedcontrolledstuTang 2024
10.1177/19417381231155120,Zarzycki ,femaleathleteswithbetterpsychologic,2024,femaleathleteswithbetterpsychologicZarzycki 2024
10.1186/s12893-023-02271-5,Ma ,twostageligamentreconstructionwithr,2023,twostageligamentreconstructionwithrMa 2023
10.1038/s41598-023-45817-6,Chen ,nordichamstringexercisesinfunctiona,2023,nordichamstringexercisesinfunctionaChen 2023
10.1177/23259671231210035,Anz ,augmentationofaclautograftreconstru,2023,augmentationofaclautograftreconstruAnz 2023
10.1007/s00590-023-03522-0,Mousavi ,evaluationtheresultsofanteriorcruci,2023,evaluationtheresultsofanteriorcruciMousavi 2023
10.1016/j.jisako.2022.12.001,Heard ,noincreaseinadverseeventswithlatera,2023,noincreaseinadverseeventswithlateraHeard 2023
10.1016/j.injury.2023.01.033,El-Azab ,acomparisonoftheoutcomesofanteriorc,2023,acomparisonoftheoutcomesofanteriorcEl-Azab 2023
10.1177/03635465221149738,Kuliński ,anteriorcruciateligamentreconstruct,2023,anteriorcruciateligamentreconstructKuliński 2023
10.1177/23259671221144983,Sonnier ,patientdecisionmakinginanteriorcruc,2023,patientdecisionmakinginanteriorcrucSonnier 2023
