doi,first_author,short_title,year,sTITLE+fAUTHOR+YEAR
10.1016/S0020-1383(14)70008-7,Valentí ,comparisonbetweentwodifferentplatel,2014,comparisonbetweentwodifferentplatelValentí 2014
10.1007/s00264-014-2513-9,Papalia ,anteriorcruciateligamentreconstruct,2015,anteriorcruciateligamentreconstructPapalia 2015
10.1007/s00264-014-2495-7,Kautzner ,acomparisonofaclreconstructionusing,2015,acomparisonofaclreconstructionusingKautzner 2015
10.1007/s00508-014-0550-4,Leitgeb ,primaryanteriorcruciateligamentreco,2014,primaryanteriorcruciateligamentrecoLeitgeb 2014
10.1007/s00402-014-1999-3,Sarzaeem ,aclreconstructionusingbonepatellate,2014,aclreconstructionusingbonepatellateSarzaeem 2014
10.1177/0363546514526139,Barenius ,increasedriskofosteoarthritisaftera,2014,increasedriskofosteoarthritisafteraBarenius 2014
10.1016/j.arthro.2014.01.012,Lund ,isquadricepstendonabettergraftchoic,2014,isquadricepstendonabettergraftchoicLund 2014
10.1177/0363546513499140,McRae ,ipsilateralversuscontralateralhamst,2013,ipsilateralversuscontralateralhamstMcRae 2013
10.1007/s00167-013-2636-3,Peterson ,longtermresultsofarandomizedstudyon,2014,longtermresultsofarandomizedstudyonPeterson 2014
10.1007/s00167-013-2630-9,Stensbirk ,iliotibialbandautograftversusbonepa,2014,iliotibialbandautograftversusbonepaStensbirk 2014
10.1007/s00167-013-2564-2,Mayr ,braceornobraceafteraclgraft?fouryea,2014,braceornobraceafteraclgraft?fouryeaMayr 2014
10.1055/s-0033-1343614,Barber ,polyllactidecoglycolide/βtricalcium,2013,polyllactidecoglycolide/βtricalciumBarber 2013
10.1007/s00167-012-2309-7,Indelicato ,asepticallyprocessedandchemicallyst,2013,asepticallyprocessedandchemicallystIndelicato 2013
10.1016/j.knee.2012.02.005,Lui ,arandomizedcontrolledtrialcomparing,2012,arandomizedcontrolledtrialcomparingLui 2012
10.1007/s00167-012-1947-0,Gifstad ,longtermfollowupofpatellartendongra,2013,longtermfollowupofpatellartendongraGifstad 2013
10.1177/0363546511430375,Leys ,clinicalresultsandriskfactorsforrei,2012,clinicalresultsandriskfactorsforreiLeys 2012
10.1177/0363546511411702,Sajovic ,qualityoflifeandclinicaloutcomecomp,2011,qualityoflifeandclinicaloutcomecompSajovic 2011
10.1007/s00167-011-1585-y,Fernandes ,isokineticmusclestrengthandkneefunc,2012,isokineticmusclestrengthandkneefuncFernandes 2012
10.1097/JSM.0b013e31822153cb,Leal-Blanquet ,anteriorcruciateligamentreconstruct,2011,anteriorcruciateligamentreconstructLeal-Blanquet 2011
10.1016/j.arthro.2011.01.015,Wipfler ,anteriorcruciateligamentreconstruct,2011,anteriorcruciateligamentreconstructWipfler 2011
10.1016/j.arthro.2010.11.056,Barber ,longtermdegradationofapolylactideco,2011,longtermdegradationofapolylactidecoBarber 2011
10.1007/s00264-011-1206-x,Mihelic ,longtermresultsofanteriorcruciateli,2011,longtermresultsofanteriorcruciateliMihelic 2011
10.1007/s00167-010-1353-4,Drogset ,aprospectiverandomizedstudyofaclrec,2011,aprospectiverandomizedstudyofaclrecDrogset 2011
10.1016/j.injury.2010.09.029,Volpi ,aclreconstructioninsportsactivepeop,2010,aclreconstructioninsportsactivepeopVolpi 2010
10.1007/s00167-010-1225-y,Zaffagnini ,singlebundlepatellartendonversusnon,2011,singlebundlepatellartendonversusnonZaffagnini 2011
10.1177/0363546510369549,Barenius ,qualityoflifeandclinicaloutcomeafte,2010,qualityoflifeandclinicaloutcomeafteBarenius 2010
10.1007/s00264-010-1000-1,Alentorn-Geli ,anteromedialportalversustranstibial,2010,anteromedialportalversustranstibialAlentorn-Geli 2010
10.1177/0363546509349490,Sekir ,earlyversuslatestartofisokineticham,2010,earlyversuslatestartofisokinetichamSekir 2010
10.1177/0363546509350301,Holm ,nodifferenceinkneefunctionorprevale,2010,nodifferenceinkneefunctionorprevaleHolm 2010
10.1007/s00167-009-0996-5,Drogset ,autologouspatellartendonandquadrupl,2010,autologouspatellartendonandquadruplDrogset 2010
10.1016/j.knee.2009.09.008,Ghalayini ,arthroscopicanteriorcruciateligamen,2010,arthroscopicanteriorcruciateligamenGhalayini 2010
10.1016/j.arthro.2009.05.016,Endele ,anteriorcruciateligamentreconstruct,2009,anteriorcruciateligamentreconstructEndele 2009
10.1177/0363546509339577,Taylor ,patellartendonversushamstringtendon,2009,patellartendonversushamstringtendonTaylor 2009
10.1007/s00167-009-0846-5,Ahldén ,kneelaxitymeasurementsafteranterior,2009,kneelaxitymeasurementsafteranteriorAhldén 2009
10.1007/s11999-008-0604-x,Tsuda ,comparableresultsbetweenlateralized,2009,comparableresultsbetweenlateralizedTsuda 2009
10.1016/j.rco.2008.01.008,Laboute ,interestofaniterativespecializedreh,2008,interestofaniterativespecializedrehLaboute 2008
10.1007/s11999-007-0015-4,Han ,anteriorcruciateligamentreconstruct,2008,anteriorcruciateligamentreconstructHan 2008
10.1097/JSM.0b013e31812570fa,Huang ,preliminaryeffectsofhyaluronicacido,2007,preliminaryeffectsofhyaluronicacidoHuang 2007
10.1016/j.arthro.2006.12.026,Barber ,bilokinterferencescrewsforanteriorc,2007,bilokinterferencescrewsforanteriorcBarber 2007
10.1007/s00264-007-0341-x,Sajovic ,theeffectofgraftchoiceonfunctionalo,2008,theeffectofgraftchoiceonfunctionaloSajovic 2008
10.1177/0363546506298275,Lidén ,patellartendonorsemitendinosustendo,2007,patellartendonorsemitendinosustendoLidén 2007
10.1177/0363546506296042,Pinczewski ,a10yearcomparisonofanteriorcruciate,2007,a10yearcomparisonofanteriorcruciatePinczewski 2007
10.1177/0363546506296040,Chouliaras ,effectivenessofreconstructionofthea,2007,effectivenessofreconstructionoftheaChouliaras 2007
10.1016/s0035-1040(06)75947-5,Giraud ,intraarticularreconstructionofthean,2006,intraarticularreconstructionoftheanGiraud 2006
10.1007/s00167-006-0246-z,Heijne ,earlyversuslatestartofopenkineticch,2007,earlyversuslatestartofopenkineticchHeijne 2007
10.1177/0363546506294361,Maletis ,aprospectiverandomizedstudyofanteri,2007,aprospectiverandomizedstudyofanteriMaletis 2007
10.1016/j.knee.2006.10.004,Ito ,aprospectivestudyof3dayversus2weeki,2007,aprospectivestudyof3dayversus2weekiIto 2007
10.1007/s00167-006-0138-2,Isberg ,earlyactiveextensionafteranteriorcr,2006,earlyactiveextensionafteranteriorcrIsberg 2006
10.1177/0363546506290726,Sajovic ,aprospectiverandomizedcomparisonofs,2006,aprospectiverandomizedcomparisonofsSajovic 2006
10.1007/s00167-006-0059-0,Harilainen ,randomizedprospectivestudyofaclreco,2006,randomizedprospectivestudyofaclrecoHarilainen 2006
10.1007/s00167-006-0050-9,Gobbi ,factorsaffectingreturntosportsafter,2006,factorsaffectingreturntosportsafterGobbi 2006
10.1177/0363546505284889,Halinen ,operativeandnonoperativetreatmentso,2006,operativeandnonoperativetreatmentsoHalinen 2006
10.1111/j.1600-0838.2004.00435.x,Harilainen ,postoperativeuseofkneebraceinbonete,2006,postoperativeuseofkneebraceinboneteHarilainen 2006
10.1007/s00167-005-0708-8,Svensson ,aprospectivecomparisonofbonepatella,2006,aprospectivecomparisonofbonepatellaSvensson 2006
10.1177/0363546505279919,Matsumoto ,acomparisonofbonepatellartendonbone,2006,acomparisonofbonepatellartendonboneMatsumoto 2006
10.1177/0363546504272264,Drogset ,endoscopicreconstructionoftheanteri,2005,endoscopicreconstructionoftheanteriDrogset 2005
10.1007/s00113-005-0948-6,Tecklenburg ,aclreconstructionwithbonepatellarte,2005,aclreconstructionwithbonepatellarteTecklenburg 2005
10.1016/j.arthro.2004.12.002,Ibrahim ,clinicalevaluationofarthroscopicall,2005,clinicalevaluationofarthroscopicallIbrahim 2005
10.1177/0363546504268406,Beynnon ,rehabilitationafteranteriorcruciate,2005,rehabilitationafteranteriorcruciateBeynnon 2005
10.1016/s0035-1040(04)70756-4,Boyer ,reliabilityofthekt1000arthrometer(m,2004,reliabilityofthekt1000arthrometer(mBoyer 2004
10.1016/j.arthro.2004.09.012,Kaeding ,aprospectiverandomizedcomparisonofb,2005,aprospectiverandomizedcomparisonofbKaeding 2005
10.1016/j.arthro.2004.09.014,Laxdal ,aprospectiverandomizedcomparisonofb,2005,aprospectiverandomizedcomparisonofbLaxdal 2005
10.1177/0363546504268036,Hill ,theinfluenceofsupplementarytibialfi,2005,theinfluenceofsupplementarytibialfiHill 2005
10.1177/0363546504265924,Nicholas ,aprospectivelyrandomizeddoubleblind,2004,aprospectivelyrandomizeddoubleblindNicholas 2004
10.1007/s00167-003-0406-3,Mikkelsen ,canapostoperativebraceinslighthyper,2003,canapostoperativebraceinslighthyperMikkelsen 2003
10.1007/s00167-003-0386-3,Melegati ,theroleoftherehabilitationbraceinre,2003,theroleoftherehabilitationbraceinreMelegati 2003
10.1177/03635465030310041501,Feller ,arandomizedcomparisonofpatellartend,2003,arandomizedcomparisonofpatellartendFeller 2003
10.1007/s00402-002-0457-9,Muren ,reconstructionofacuteanteriorcrucia,2003,reconstructionofacuteanteriorcruciaMuren 2003
10.1177/03635465030310022101,Otsuka ,comparisonofthreetechniquesofanteri,2003,comparisonofthreetechniquesofanteriOtsuka 2003
10.1177/03635465030310011401,Ejerhed ,patellartendonorsemitendinosustendo,2003,patellartendonorsemitendinosustendoEjerhed 2003
10.1177/03635465030310010501,Jansson ,aprospectiverandomizedstudyofpatell,2003,aprospectiverandomizedstudyofpatellJansson 2003
10.1177/03635465020300061601,Drogset ,anteriorcruciateligamentreconstruct,2002,anteriorcruciateligamentreconstructDrogset 2002
10.1007/s00113-001-0405-0,Gorschewsky ,clinicohistologiccomparisonofalloge,2002,clinicohistologiccomparisonofallogeGorschewsky 2002
10.2106/00004623-200209000-00001,Beynnon ,anteriorcruciateligamentreplacement,2002,anteriorcruciateligamentreplacementBeynnon 2002
10.1177/03635465020300041201,Pinczewski ,afiveyearcomparisonofpatellartendon,2002,afiveyearcomparisonofpatellartendonPinczewski 2002
10.1034/j.1600-0838.2002.120203.x,Henriksson ,rangeofmotiontraininginbracevsplast,2002,rangeofmotiontraininginbracevsplastHenriksson 2002
10.1302/0301-620x.84b3.12400,Nau ,anewgenerationofartificialligaments,2002,anewgenerationofartificialligamentsNau 2002
10.1034/j.1600-0838.2002.120109.x,Sernert ,comparisonoffunctionaloutcomeaftera,2002,comparisonoffunctionaloutcomeafteraSernert 2002
10.1177/03635465020300021201,Shaieb ,aprospectiverandomizedcomparisonofp,2002,aprospectiverandomizedcomparisonofpShaieb 2002
10.1177/03635465020300011801,Hess ,singleversustwoincisiontechniqueina,2002,singleversustwoincisiontechniqueinaHess 2002
10.1007/s004020100290,Pape ,bloodlossinanteriorcruciateligament,2001,bloodlossinanteriorcruciateligamentPape 2001
10.1177/03635465010290060901,Aune ,fourstrandhamstringtendonautograftc,2001,fourstrandhamstringtendonautograftcAune 2001
10.1007/s001670100216,Feller ,earlypostoperativemorbidityfollowin,2001,earlypostoperativemorbidityfollowinFeller 2001
10.1053/jars.2001.25277,Mariani ,transcondylarscrewfixationinanterio,2001,transcondylarscrewfixationinanterioMariani 2001
10.1177/03635465010290031501,Ahmad ,anteriorcruciateligamentfunctionaft,2001,anteriorcruciateligamentfunctionaftAhmad 2001
10.1177/03635465010290030201,Anderson ,anteriorcruciateligamentreconstruct,2001,anteriorcruciateligamentreconstructAnderson 2001
10.1302/0301-620x.83b3.11685,Eriksson ,acomparisonofquadruplesemitendinosu,2001,acomparisonofquadruplesemitendinosuEriksson 2001
10.1007/s001670000179,Ejerhed ,preconditioningpatellartendonautogr,2001,preconditioningpatellartendonautogrEjerhed 2001
10.1034/j.1600-0838.2001.011002110.x,Brandsson ,isakneebraceadvantageousafteranteri,2001,isakneebraceadvantageousafteranteriBrandsson 2001
10.1007/s001130050634,Fremerey ,proprioceptionafterreconstructionof,2000,proprioceptionafterreconstructionofFremerey 2000
10.1177/03635465000280050501,Shelbourne ,primaryanteriorcruciateligamentreco,2000,primaryanteriorcruciateligamentrecoShelbourne 2000
10.1007/s001130050567,Hackl ,transplantfixationbyanteriorcruciat,2000,transplantfixationbyanteriorcruciatHackl 2000
10.1053/jars.2000.4633,Fink ,bioabsorbablepolyglyconateinterfere,2000,bioabsorbablepolyglyconateinterfereFink 2000
10.1007/s002640050357,Järvelä ,bonepatellartendonbonereconstructio,1999,bonepatellartendonbonereconstructioJärvelä 1999
10.1302/0301-620x.81b5.8644,Jomha ,arthroscopicreconstructionoftheante,1999,arthroscopicreconstructionoftheanteJomha 1999
10.1007/s001670050166,Jansson ,bonetunnelenlargementafteranteriorc,1999,bonetunnelenlargementafteranteriorcJansson 1999
10.1053/ar.1999.v15.015046001,McGuire ,bioabsorbableinterferencescrewsforg,1999,bioabsorbableinterferencescrewsforgMcGuire 1999
10.1007/s001670050142,Gebhard ,ultrasoundevaluationofgravityinduce,1999,ultrasoundevaluationofgravityinduceGebhard 1999
10.1007/s001670050141,Sernert ,analysisofsubjectiveobjectiveandfun,1999,analysisofsubjectiveobjectiveandfunSernert 1999
10.1016/s0749-8063(98)70022-2,van ,theeffectofdifferentgrafttensioning,1998,theeffectofdifferentgrafttensioningvan 1998
10.1007/s001130050308,Gerich ,endoscopicversuslimitedopentechniqu,1998,endoscopicversuslimitedopentechniquGerich 1998
10.1007/s001670050078,Muellner ,nobenefitofbracingontheearlyoutcome,1998,nobenefitofbracingontheearlyoutcomeMuellner 1998
10.1007/s001670050077,Brandsson ,closingpatellartendondefectsafteran,1998,closingpatellartendondefectsafteranBrandsson 1998
10.1007/s001670050075,Marcacci ,arthroscopicintraandextraarticulara,1998,arthroscopicintraandextraarticularaMarcacci 1998
10.1007/s001670050052,Gerich ,oneversustwoincisiontechniqueforant,1997,oneversustwoincisiontechniqueforantGerich 1997
10.1007/s002640050141,al-Zarahini ,anteriorcruciateligamentreconstruct,1997,anteriorcruciateligamentreconstructal-Zarahini 1997
10.1007/s001670050016,Feller ,useofanextensionassistingbracefollo,1997,useofanextensionassistingbracefolloFeller 1997
10.1177/036354659602400612,MacDonald ,proprioceptioninanteriorcruciatelig,1996,proprioceptioninanteriorcruciateligMacDonald 1996
10.1111/j.1600-0838.1996.tb00099.x,Thuresson ,anteriorcruciateligamentreconstruct,1996,anteriorcruciateligamentreconstructThuresson 1996
10.1111/j.1600-0838.1995.tb00059.x,Grøntvedt ,comparisonbetweentwotechniquesforsu,1995,comparisonbetweentwotechniquesforsuGrøntvedt 1995
10.1016/0749-8063(95)90129-9,Barber ,preliminaryresultsofanabsorbableint,1995,preliminaryresultsofanabsorbableintBarber 1995
10.3928/0147-7447-19950301-06,Cameron ,aprospectiverandomizedcomparisonofo,1995,aprospectiverandomizedcomparisonofoCameron 1995
10.1177/036354659202000205,Rosen ,theefficacyofcontinuouspassivemotio,1992,theefficacyofcontinuouspassivemotioRosen 1992
10.1016/0749-8063(91)90076-a,Richmond ,continuouspassivemotionafterarthros,1991,continuouspassivemotionafterarthrosRichmond 1991
10.1177/036354659001800605,Engebretsen ,aprospectiverandomizedstudyofthrees,1990,aprospectiverandomizedstudyofthreesEngebretsen 1990
10.1016/j.knee.2025.07.024,Kentel ,prospectiverandomizedstudycomparing,2025,prospectiverandomizedstudycomparingKentel 2025
10.1177/03635465251344106,Mo ,comparablemidtolongtermoutcomesofse,2025,comparablemidtolongtermoutcomesofseMo 2025
10.1002/ksa.12698,Lawless ,asemitendinosuswithadjustablebutton,2026,asemitendinosuswithadjustablebuttonLawless 2026
10.1123/jsr.2024-0160,Cao ,evaluationoftheapplicationofbothsid,2025,evaluationoftheapplicationofbothsidCao 2025
10.1002/ksa.12583,Calvert ,kneelingtolerancewhenusingquadricep,2025,kneelingtolerancewhenusingquadricepCalvert 2025
10.1007/s00402-024-05639-1,Butt ,5yearsoutcomesfollowingarthroscopic,2024,5yearsoutcomesfollowingarthroscopicButt 2024
10.23736/S0022-4707.24.16134-8,Yang ,earlyversusdelayedstartofweightbear,2025,earlyversusdelayedstartofweightbearYang 2025
10.1016/j.arthro.2024.09.023,Ramakanth ,medialcollateralligamentrepairisola,2025,medialcollateralligamentrepairisolaRamakanth 2025
10.1177/03635465241254048,Mo ,aclreconstructionusingquadrupledsem,2024,aclreconstructionusingquadrupledsemMo 2024
10.1016/j.csm.2023.08.005,Getgood ,avoidinggraftfailure:lessonslearned,2024,avoidinggraftfailure:lessonslearnedGetgood 2024
10.7507/1002-1892.202402054,Yu ,earlyeffectivenessoflocalinjectiono,2024,earlyeffectivenessoflocalinjectionoYu 2024
10.1177/03635465231222279,Ebert ,aprospectiverandomizedcontrolledtri,2024,aprospectiverandomizedcontrolledtriEbert 2024
10.1186/s12893-023-02271-5,Ma ,twostageligamentreconstructionwithr,2023,twostageligamentreconstructionwithrMa 2023
10.1038/s41598-023-45817-6,Chen ,nordichamstringexercisesinfunctiona,2023,nordichamstringexercisesinfunctionaChen 2023
10.1016/j.jisako.2022.04.002,Cruz ,increasedposteriortibialslopeisanin,2022,increasedposteriortibialslopeisaninCruz 2022
10.1007/s00590-023-03636-5,Tang ,aprospectiverandomizedcontrolledstu,2024,aprospectiverandomizedcontrolledstuTang 2024
10.1016/j.arthro.2023.05.019,Rezansoff ,anteriorcruciateligamentreconstruct,2024,anteriorcruciateligamentreconstructRezansoff 2024
10.1007/s00590-023-03522-0,Mousavi ,evaluationtheresultsofanteriorcruci,2023,evaluationtheresultsofanteriorcruciMousavi 2023
10.1177/19417381231155120,Zarzycki ,femaleathleteswithbetterpsychologic,2024,femaleathleteswithbetterpsychologicZarzycki 2024
10.1177/03635465221149738,Kuliński ,anteriorcruciateligamentreconstruct,2023,anteriorcruciateligamentreconstructKuliński 2023
10.1016/j.arthro.2023.01.101,Helito ,smallhamstringtendongraftforanterio,2023,smallhamstringtendongraftforanterioHelito 2023
10.1016/j.injury.2023.01.033,El-Azab ,acomparisonoftheoutcomesofanteriorc,2023,acomparisonoftheoutcomesofanteriorcEl-Azab 2023
10.1016/j.jisako.2022.12.001,Heard ,noincreaseinadverseeventswithlatera,2023,noincreaseinadverseeventswithlateraHeard 2023
10.1177/03635465221128581,Lodhia ,performanceof5strandhamstringautogr,2022,performanceof5strandhamstringautogrLodhia 2022
10.2340/jrm.v54.2550,Vieira ,comparisonofquadricepsandhamstringm,2022,comparisonofquadricepsandhamstringmVieira 2022
10.1016/j.jisako.2022.04.006,Grassi ,objectivelaxityandsubjectiveoutcome,2022,objectivelaxityandsubjectiveoutcomeGrassi 2022
10.1177/03635465221117777,Glasbrenner ,comparableinstrumentedkneejointlaxi,2022,comparableinstrumentedkneejointlaxiGlasbrenner 2022
10.1155/2022/6779207,Jin ,comparisonofrapidrehabilitationafte,2022,comparisonofrapidrehabilitationafteJin 2022
10.1007/s00167-022-06980-x,Beaudoin ,nodifferencesfoundinlongtermoutcome,2022,nodifferencesfoundinlongtermoutcomeBeaudoin 2022
10.23750/abm.v92i6.10875,Labianca ,theeffectivenessofkinesiotapinginim,2022,theeffectivenessofkinesiotapinginimLabianca 2022
10.1177/03635465211061150,Firth ,predictorsofgraftfailureinyoungacti,2022,predictorsofgraftfailureinyoungactiFirth 2022
10.1186/s12891-021-04540-x,Sole ,immediateand6weekeffectsofwearingak,2021,immediateand6weekeffectsofwearingakSole 2021
10.1007/s00402-021-03862-8,Horstmann ,quadricepsandhamstringtendonautogra,2022,quadricepsandhamstringtendonautograHorstmann 2022
10.1007/s00590-021-02912-6,Kulshrestha ,originalstudy:earlypatientreportedf,2021,originalstudy:earlypatientreportedfKulshrestha 2021
10.5606/ehc.2020.78201,Erden ,comparisonoftheoutcomesofisolatedan,2021,comparisonoftheoutcomesofisolatedanErden 2021
10.1177/0363546520951507,Zhang ,maturityprogressionoftheentireanter,2020,maturityprogressionoftheentireanterZhang 2020
10.1016/j.arthro.2020.08.012,Krishna ,fivestrandversusfourstrandhamstring,2021,fivestrandversusfourstrandhamstringKrishna 2021
10.1007/s00167-020-06121-2,Roger ,aclreconstructionusingaquadruplesem,2020,aclreconstructionusingaquadruplesemRoger 2020
10.1089/ten.tea.2020.0057,Barnett ,femaleshaveearliermusclestrengthand,2020,femaleshaveearliermusclestrengthandBarnett 2020
10.1177/0363546520911024,Sundaraj ,bioabsorbableversustitaniumscrewsin,2020,bioabsorbableversustitaniumscrewsinSundaraj 2020
10.1177/0363546520910148,Porter ,modifiediliotibialbandtenodesisisin,2020,modifiediliotibialbandtenodesisisinPorter 2020
10.1007/s40279-020-01276-x,Sinding ,effectsofautografttypesonmusclestre,2020,effectsofautografttypesonmusclestreSinding 2020
10.24875/CIRU.19001001,Vilchez-Cavazos ,anteriorcruciateligamentinjuriestre,2020,anteriorcruciateligamentinjuriestreVilchez-Cavazos 2020
10.1177/0363546519896333,Getgood ,lateralextraarticulartenodesisreduc,2020,lateralextraarticulartenodesisreducGetgood 2020
10.1136/bjsports-2019-101000,Lind ,quadricepstendongraftsdoesnotcausep,2020,quadricepstendongraftsdoesnotcausepLind 2020
10.7507/1002-1892.201902059,Liu ,effectofisokinetictrainingofthighmu,2019,effectofisokinetictrainingofthighmuLiu 2019
10.1177/0363546519861530,Shumborski ,arandomizedcontrolledtrialofpeekver,2019,arandomizedcontrolledtrialofpeekverShumborski 2019
10.1186/s12891-019-2653-6,Tajima ,earlyweightbearingafteranteriorcruc,2019,earlyweightbearingafteranteriorcrucTajima 2019
10.1007/s00167-019-05456-9,Kouloumentas ,superiorkneeflexorstrengthat2 years,2019,superiorkneeflexorstrengthat2 yearsKouloumentas 2019
10.1097/MD.0000000000014851,Xiang ,singletunnelanatomicdoublebundleant,2019,singletunnelanatomicdoublebundleantXiang 2019
10.1177/0363546519825878,Hoogeslag ,acuteanteriorcruciateligamentruptur,2019,acuteanteriorcruciateligamentrupturHoogeslag 2019
10.1007/s00167-018-5040-1,Harput ,crosseducationimprovesquadricepsstr,2019,crosseducationimprovesquadricepsstrHarput 2019
10.1016/j.arthro.2018.03.034,Mayr ,singlebundleversusdoublebundleanter,2018,singlebundleversusdoublebundleanterMayr 2018
10.1016/j.knee.2018.03.011,Martin-Alguacil ,strengthrecoveryafteranteriorcrucia,2018,strengthrecoveryafteranteriorcruciaMartin-Alguacil 2018
10.1016/j.arthro.2018.03.011,Zhang ,theeffectofcartilagefragmentsonfemo,2018,theeffectofcartilagefragmentsonfemoZhang 2018
10.1186/s12891-018-2028-4,Boer ,selfreportedfunctionalrecoveryafter,2018,selfreportedfunctionalrecoveryafterBoer 2018
10.1177/0363546517752918,Liu ,arandomizedclinicaltrialtoevaluatea,2018,arandomizedclinicaltrialtoevaluateaLiu 2018
10.1055/s-0038-1627466,Bi ,allinsidesinglebundlereconstruction,2018,allinsidesinglebundlereconstructionBi 2018
10.1016/j.arthro.2017.06.040,Gupta ,outcomeofhamstringautograftwithpres,2017,outcomeofhamstringautograftwithpresGupta 2017
10.1007/s00402-017-2774-z,Beyaz ,tunnelwideningaftersingleversusdoub,2017,tunnelwideningaftersingleversusdoubBeyaz 2017
10.1007/s00167-017-4664-x,MacDonald ,noclinicaldifferencesbetweenanterom,2018,noclinicaldifferencesbetweenanteromMacDonald 2018
10.1007/s00167-017-4618-3,Schliemann ,changesingaitpatternandearlyfunctio,2018,changesingaitpatternandearlyfunctioSchliemann 2018
10.3760/cma.j.issn.0529-5815.2017.03.001,Liu ,aprospectiverandomizedcontroltrialo,2017,aprospectiverandomizedcontroltrialoLiu 2017
10.1016/j.knee.2016.08.011,Rose ,aprospectiverandomizedcomparisonoft,2016,aprospectiverandomizedcomparisonoftRose 2016
10.1016/j.aott.2016.03.005,Balki ,kinesiotapingasatreatmentmethodinth,2016,kinesiotapingasatreatmentmethodinthBalki 2016
10.1007/s00402-016-2497-6,Ateschrang ,acutemclandaclinjuries:firstresults,2016,acutemclandaclinjuries:firstresultsAteschrang 2016
10.1007/s00590-016-1812-9,Ruffilli ,hamstringgrafttibialinsertionpreser,2016,hamstringgrafttibialinsertionpreserRuffilli 2016
10.1177/0363546516650876,Liu ,comparisonbetweensingleanddoublebun,2016,comparisonbetweensingleanddoublebunLiu 2016
10.1007/s00167-016-4135-9,Carulli ,resorbablescrewandsheathversusresor,2017,resorbablescrewandsheathversusresorCarulli 2017
