id,study_id,source,authors,first_author,Title,short_title,Publication Year,DOI,Journal/Book,title_abstract_screening,full-text_screening,reason_for_exclusion
,Akelman MR (2016),PubMed,"Akelman MR, Fadale PD, Hulstyn MJ, Shalvoy RM, Garcia A, Chin KE, Duryea J, Badger GJ, Tung GA, Fleming BC.",Akelman MR,Effect of Matching or Overconstraining Knee Laxity During Anterior Cruciate Ligament Reconstruction on Knee Osteoarthritis and Clinical Outcomes: A Randomized Controlled Trial With 84-Month Follow-up,Effect of Matching or Overconstrain,2016,10.1177/0363546516638387,Am J Sports Med,,,
,Sasaki S (2016),PubMed,"Sasaki S, Tsuda E, Hiraga Y, Yamamoto Y, Maeda S, Sasaki E, Ishibashi Y.",Sasaki S,Prospective Randomized Study of Objective and Subjective Clinical Results Between Double-Bundle and Single-Bundle Anterior Cruciate Ligament Reconstruction,Prospective Randomized Study of Obj,2016,10.1177/0363546515624471,Am J Sports Med,,,
,Konrads C (2016),PubMed,"Konrads C, Reppenhagen S, Plumhoff P, Hoberg M, Rudert M, Barthel T.",Konrads C,No significant difference in clinical outcome and knee stability between patellar tendon and semitendinosus tendon in anterior cruciate ligament reconstruction,No significant difference in clinic,2016,10.1007/s00402-015-2386-4,Arch Orthop Trauma Surg,,,
,Webster KE (2016),PubMed,"Webster KE, Feller JA, Hartnett N, Leigh WB, Richmond AK.",Webster KE,Comparison of Patellar Tendon and Hamstring Tendon Anterior Cruciate Ligament Reconstruction: A 15-Year Follow-up of a Randomized Controlled Trial,Comparison of Patellar Tendon and H,2016,10.1177/0363546515611886,Am J Sports Med,,,
,Mohtadi N (2016),PubMed,"Mohtadi N, Chan D, Barber R, Paolucci EO.",Mohtadi N,"Reruptures, Reinjuries, and Revisions at a Minimum 2-Year Follow-up: A Randomized Clinical Trial Comparing 3 Graft Types for ACL Reconstruction","Reruptures, Reinjuries, and Revisio",2016,10.1097/JSM.0000000000000209,Clin J Sport Med,,,
,Mohtadi N (2015),PubMed,"Mohtadi N, Chan D, Barber R, Oddone Paolucci E.",Mohtadi N,"A Randomized Clinical Trial Comparing Patellar Tendon, Hamstring Tendon, and Double-Bundle ACL Reconstructions: Patient-Reported and Clinical Outcomes at a Minimal 2-Year Follow-up",A Randomized Clinical Trial Compari,2015,10.1097/JSM.0000000000000165,Clin J Sport Med,,,
,Papalia R (2015),PubMed,"Papalia R, Franceschi F, Tecame A, D'Adamio S, Maffulli N, Denaro V.",Papalia R,Anterior cruciate ligament reconstruction and return to sport activity: postural control as the key to success,Anterior cruciate ligament reconstr,2015,10.1007/s00264-014-2513-9,Int Orthop,,,
,Kautzner J (2015),PubMed,"Kautzner J, Kos P, Hanus M, Trc T, Havlas V.",Kautzner J,A comparison of ACL reconstruction using patellar tendon versus hamstring autograft in female patients: a prospective randomised study,A comparison of ACL reconstruction ,2015,10.1007/s00264-014-2495-7,Int Orthop,,,
,Leitgeb J (2014),PubMed,"Leitgeb J, KÃ¶ttstorfer J, Schuster R, Kovar FM, Platzer P, Aldrian S.",Leitgeb J,Primary anterior cruciate ligament reconstruction in athletes: a 5-year follow up comparing patellar tendon versus hamstring tendon autograft,Primary anterior cruciate ligament ,2014,10.1007/s00508-014-0550-4,Wien Klin Wochenschr,,,
,Barenius B (2014),PubMed,"Barenius B, Ponzer S, Shalabi A, Bujak R, NorlÃ©n L, Eriksson K.",Barenius B,Increased risk of osteoarthritis after anterior cruciate ligament reconstruction: a 14-year follow-up study of a randomized controlled trial,Increased risk of osteoarthritis af,2014,10.1177/0363546514526139,Am J Sports Med,,,
,McRae S (2013),PubMed,"McRae S, Leiter J, McCormack R, Old J, MacDonald P.",McRae S,Ipsilateral versus contralateral hamstring grafts in anterior cruciate ligament reconstruction: a prospective randomized trial,Ipsilateral versus contralateral ha,2013,10.1177/0363546513499140,Am J Sports Med,,,
,Lui PP (2012),PubMed,"Lui PP, Cheng YY, Yung SH, Hung AS, Chan KM.",Lui PP,A randomized controlled trial comparing bone mineral density changes of three different ACL reconstruction techniques,A randomized controlled trial compa,2012,10.1016/j.knee.2012.02.005,Knee,,,
,Gifstad T (2013),PubMed,"Gifstad T, Sole A, Strand T, Uppheim G, GrÃ¸ntvedt T, Drogset JO.",Gifstad T,Long-term follow-up of patellar tendon grafts or hamstring tendon grafts in endoscopic ACL reconstructions,Long-term follow-up of patellar ten,2013,10.1007/s00167-012-1947-0,Knee Surg Sports Traumatol Arthrosc,,,
,Leys T (2012),PubMed,"Leys T, Salmon L, Waller A, Linklater J, Pinczewski L.",Leys T,Clinical results and risk factors for reinjury 15 years after anterior cruciate ligament reconstruction: a prospective study of hamstring and patellar tendon grafts,Clinical results and risk factors f,2012,10.1177/0363546511430375,Am J Sports Med,,,
,Sajovic M (2011),PubMed,"Sajovic M, Strahovnik A, Dernovsek MZ, Skaza K.",Sajovic M,Quality of life and clinical outcome comparison of semitendinosus and gracilis tendon versus patellar tendon autografts for anterior cruciate ligament reconstruction: an 11-year follow-up of a randomized controlled trial,Quality of life and clinical outcom,2011,10.1177/0363546511411702,Am J Sports Med,,,
,Leal-Blanquet J (2011),PubMed,"Leal-Blanquet J, Alentorn-Geli E, Tuneu J, ValentÃ­ JR, Maestro A.",Leal-Blanquet J,Anterior cruciate ligament reconstruction: a multicenter prospective cohort study evaluating 3 different grafts using same bone drilling method,Anterior cruciate ligament reconstr,2011,10.1097/JSM.0b013e31822153cb,Clin J Sport Med,,,
,Wipfler B (2011),PubMed,"Wipfler B, Donner S, Zechmann CM, Springer J, Siebold R, Paessler HH.",Wipfler B,Anterior cruciate ligament reconstruction using patellar tendon versus hamstring tendon: a prospective comparative study with 9-year follow-up,Anterior cruciate ligament reconstr,2011,10.1016/j.arthro.2011.01.015,Arthroscopy,,,
,Zaffagnini S (2011),PubMed,"Zaffagnini S, Bruni D, Marcheggiani Muccioli GM, Bonanzinga T, Lopomo N, Bignozzi S, Marcacci M.",Zaffagnini S,Single-bundle patellar tendon versus non-anatomical double-bundle hamstrings ACL reconstruction: a prospective randomized study at 8-year minimum follow-up,Single-bundle patellar tendon versu,2011,10.1007/s00167-010-1225-y,Knee Surg Sports Traumatol Arthrosc,,,
,Barenius B (2010),PubMed,"Barenius B, Nordlander M, Ponzer S, Tidermark J, Eriksson K.",Barenius B,Quality of life and clinical outcome after anterior cruciate ligament reconstruction using patellar tendon graft or quadrupled semitendinosus graft: an 8-year follow-up of a randomized controlled trial,Quality of life and clinical outcom,2010,10.1177/0363546510369549,Am J Sports Med,,,
,Sekir U (2010),PubMed,"Sekir U, Gur H, Akova B.",Sekir U,Early versus late start of isokinetic hamstring-strengthening exercise after anterior cruciate ligament reconstruction with patellar tendon graft,Early versus late start of isokinet,2010,10.1177/0363546509349490,Am J Sports Med,,,
,Holm I (2010),PubMed,"Holm I, Oiestad BE, Risberg MA, Aune AK.",Holm I,No difference in knee function or prevalence of osteoarthritis after reconstruction of the anterior cruciate ligament with 4-strand hamstring autograft versus patellar tendon-bone autograft: a randomized study with 10-year follow-up,No difference in knee function or p,2010,10.1177/0363546509350301,Am J Sports Med,,,
,Drogset JO (2010),PubMed,"Drogset JO, Strand T, Uppheim G, OdegÃ¥rd B, BÃ¸e A, GrÃ¸ntvedt T.",Drogset JO,Autologous patellar tendon and quadrupled hamstring grafts in anterior cruciate ligament reconstruction: a prospective randomized multicenter review of different fixation methods,Autologous patellar tendon and quad,2010,10.1007/s00167-009-0996-5,Knee Surg Sports Traumatol Arthrosc,,,
,Taylor DC (2009),PubMed,"Taylor DC, DeBerardino TM, Nelson BJ, Duffey M, Tenuta J, Stoneman PD, Sturdivant RX, Mountcastle S.",Taylor DC,Patellar tendon versus hamstring tendon autografts for anterior cruciate ligament reconstruction: a randomized controlled trial using similar femoral and tibial fixation methods,Patellar tendon versus hamstring te,2009,10.1177/0363546509339577,Am J Sports Med,,,
,AhldÃ©n M (2009),PubMed,"AhldÃ©n M, Kartus J, Ejerhed L, Karlsson J, Sernert N.",AhldÃ©n M,"Knee laxity measurements after anterior cruciate ligament reconstruction, using either bone-patellar-tendon-bone or hamstring tendon autografts, with special emphasis on comparison over time",Knee laxity measurements after ante,2009,10.1007/s00167-009-0846-5,Knee Surg Sports Traumatol Arthrosc,,,
,Tsuda E (2009),PubMed,"Tsuda E, Ishibashi Y, Fukuda A, Tsukada H, Toh S.",Tsuda E,Comparable results between lateralized single- and double-bundle ACL reconstructions,Comparable results between laterali,2009,10.1007/s11999-008-0604-x,Clin Orthop Relat Res,,,
,Laboute E (2008),PubMed,"Laboute E, Savalli L, Lefesvre T, Puig P, Trouve P.",Laboute E,[Interest of an iterative specialized rehabilitation after an anterior cruciate ligament reconstruction in high level sport athletes],Interest of an iterative specialize,2008,10.1016/j.rco.2008.01.008,Rev Chir Orthop Reparatrice Appar Mot,,,
,Sajovic M (2008),PubMed,"Sajovic M, Strahovnik A, Komadina R, Dernovsek MZ.",Sajovic M,The effect of graft choice on functional outcome in anterior cruciate ligament reconstruction,The effect of graft choice on funct,2008,10.1007/s00264-007-0341-x,Int Orthop,,,
,LidÃ©n M (2007),PubMed,"LidÃ©n M, Ejerhed L, Sernert N, Laxdal G, Kartus J.",LidÃ©n M,"Patellar tendon or semitendinosus tendon autografts for anterior cruciate ligament reconstruction: a prospective, randomized study with a 7-Year follow-up",Patellar tendon or semitendinosus t,2007,10.1177/0363546506298275,Am J Sports Med,,,
,Pinczewski LA (2007),PubMed,"Pinczewski LA, Lyman J, Salmon LJ, Russell VJ, Roe J, Linklater J.",Pinczewski LA,"A 10-year comparison of anterior cruciate ligament reconstructions with hamstring tendon and patellar tendon autograft: a controlled, prospective trial",A 10-year comparison of anterior cr,2007,10.1177/0363546506296042,Am J Sports Med,,,
,Chouliaras V (2007),PubMed,"Chouliaras V, Ristanis S, Moraiti C, Stergiou N, Georgoulis AD.",Chouliaras V,Effectiveness of reconstruction of the anterior cruciate ligament with quadrupled hamstrings and bone-patellar tendon-bone autografts: an in vivo study comparing tibial internal-external rotation,Effectiveness of reconstruction of ,2007,10.1177/0363546506296040,Am J Sports Med,,,
,Heijne A (2007),PubMed,"Heijne A, Werner S.",Heijne A,Early versus late start of open kinetic chain quadriceps exercises after ACL reconstruction with patellar tendon or hamstring grafts: a prospective randomized outcome study,Early versus late start of open kin,2007,10.1007/s00167-006-0246-z,Knee Surg Sports Traumatol Arthrosc,,,
,Maletis GB (2007),PubMed,"Maletis GB, Cameron SL, Tengan JJ, Burchette RJ.",Maletis GB,A prospective randomized study of anterior cruciate ligament reconstruction: a comparison of patellar tendon and quadruple-strand semitendinosus/gracilis tendons fixed with bioabsorbable interference screws,A prospective randomized study of a,2007,10.1177/0363546506294361,Am J Sports Med,,,
,Ito Y (2007),PubMed,"Ito Y, Deie M, Adachi N, Kobayashi K, Kanaya A, Miyamoto A, Nakasa T, Ochi M.",Ito Y,A prospective study of 3-day versus 2-week immobilization period after anterior cruciate ligament reconstruction,A prospective study of 3-day versus,2007,10.1016/j.knee.2006.10.004,Knee,,,
,Sajovic M (2006),PubMed,"Sajovic M, Vengust V, Komadina R, Tavcar R, Skaza K.",Sajovic M,"A prospective, randomized comparison of semitendinosus and gracilis tendon versus patellar tendon autografts for anterior cruciate ligament reconstruction: five-year follow-up","A prospective, randomized compariso",2006,10.1177/0363546506290726,Am J Sports Med,,,
,Harilainen A (2006),PubMed,"Harilainen A, Linko E, Sandelin J.",Harilainen A,Randomized prospective study of ACL reconstruction with interference screw fixation in patellar tendon autografts versus femoral metal plate suspension and tibial post fixation in hamstring tendon autografts: 5-year clinical and radiological follow-up results,Randomized prospective study of ACL,2006,10.1007/s00167-006-0059-0,Knee Surg Sports Traumatol Arthrosc,,,
,Gobbi A (2006),PubMed,"Gobbi A, Francisco R.",Gobbi A,Factors affecting return to sports after anterior cruciate ligament reconstruction with patellar tendon and hamstring graft: a prospective clinical investigation,Factors affecting return to sports ,2006,10.1007/s00167-006-0050-9,Knee Surg Sports Traumatol Arthrosc,,,
,Svensson M (2006),PubMed,"Svensson M, Sernert N, Ejerhed L, Karlsson J, Kartus JT.",Svensson M,A prospective comparison of bone-patellar tendon-bone and hamstring grafts for anterior cruciate ligament reconstruction in female patients,A prospective comparison of bone-pa,2006,10.1007/s00167-005-0708-8,Knee Surg Sports Traumatol Arthrosc,,,
,Matsumoto A (2006),PubMed,"Matsumoto A, Yoshiya S, Muratsu H, Yagi M, Iwasaki Y, Kurosaka M, Kuroda R.",Matsumoto A,A comparison of bone-patellar tendon-bone and bone-hamstring tendon-bone autografts for anterior cruciate ligament reconstruction,A comparison of bone-patellar tendo,2006,10.1177/0363546505279919,Am J Sports Med,,,
,Ibrahim SA (2005),PubMed,"Ibrahim SA, Al-Kussary IM, Al-Misfer AR, Al-Mutairi HQ, Ghafar SA, El Noor TA.",Ibrahim SA,Clinical evaluation of arthroscopically assisted anterior cruciate ligament reconstruction: patellar tendon versus gracilis and semitendinosus autograft,Clinical evaluation of arthroscopic,2005,10.1016/j.arthro.2004.12.002,Arthroscopy,,,
,Boyer P (2004),PubMed,"Boyer P, Djian P, Christel P, Paoletti X, Degeorges R.",Boyer P,[Reliability of the KT-1000 arthrometer (Medmetric) for measuring anterior knee laxity: comparison with Telos in 147 knees],Reliability of the KT-1000 arthrome,2004,10.1016/s0035-1040(04)70756-4,Rev Chir Orthop Reparatrice Appar Mot,,,
,Laxdal G (2005),PubMed,"Laxdal G, Kartus J, Hansson L, Heidvall M, Ejerhed L, Karlsson J.",Laxdal G,A prospective randomized comparison of bone-patellar tendon-bone and hamstring grafts for anterior cruciate ligament reconstruction,A prospective randomized comparison,2005,10.1016/j.arthro.2004.09.014,Arthroscopy,,,
,Hill PF (2005),PubMed,"Hill PF, Russell VJ, Salmon LJ, Pinczewski LA.",Hill PF,The influence of supplementary tibial fixation on laxity measurements after anterior cruciate ligament reconstruction with hamstring tendons in female patients,The influence of supplementary tibi,2005,10.1177/0363546504268036,Am J Sports Med,,,
,Feller JA (2003),PubMed,"Feller JA, Webster KE.",Feller JA,A randomized comparison of patellar tendon and hamstring tendon anterior cruciate ligament reconstruction,A randomized comparison of patellar,2003,10.1177/03635465030310041501,Am J Sports Med,,,
,Ejerhed L (2003),PubMed,"Ejerhed L, Kartus J, Sernert N, KÃ¶hler K, Karlsson J.",Ejerhed L,Patellar tendon or semitendinosus tendon autografts for anterior cruciate ligament reconstruction? A prospective randomized study with a two-year follow-up,Patellar tendon or semitendinosus t,2003,10.1177/03635465030310011401,Am J Sports Med,,,
,Jansson KA (2003),PubMed,"Jansson KA, Linko E, Sandelin J, Harilainen A.",Jansson KA,A prospective randomized study of patellar versus hamstring tendon autografts for anterior cruciate ligament reconstruction,A prospective randomized study of p,2003,10.1177/03635465030310010501,Am J Sports Med,,,
,Beynnon BD (2002),PubMed,"Beynnon BD, Johnson RJ, Fleming BC, Kannus P, Kaplan M, Samani J, RenstrÃ¶m P.",Beynnon BD,"Anterior cruciate ligament replacement: comparison of bone-patellar tendon-bone grafts with two-strand hamstring grafts. A prospective, randomized study",Anterior cruciate ligament replacem,2002,10.2106/00004623-200209000-00001,J Bone Joint Surg Am,,,
,Pinczewski LA (2002),PubMed,"Pinczewski LA, Deehan DJ, Salmon LJ, Russell VJ, Clingeleffer A.",Pinczewski LA,A five-year comparison of patellar tendon versus four-strand hamstring tendon autograft for arthroscopic reconstruction of the anterior cruciate ligament,A five-year comparison of patellar ,2002,10.1177/03635465020300041201,Am J Sports Med,,,
,Henriksson M (2002),PubMed,"Henriksson M, Rockborn P, Good L.",Henriksson M,Range of motion training in brace vs. plaster immobilization after anterior cruciate ligament reconstruction: a prospective randomized comparison with a 2-year follow-up,Range of motion training in brace v,2002,10.1034/j.1600-0838.2002.120203.x,Scand J Med Sci Sports,,,
,Shaieb MD (2002),PubMed,"Shaieb MD, Kan DM, Chang SK, Marumoto JM, Richardson AB.",Shaieb MD,A prospective randomized comparison of patellar tendon versus semitendinosus and gracilis tendon autografts for anterior cruciate ligament reconstruction,A prospective randomized comparison,2002,10.1177/03635465020300021201,Am J Sports Med,,,
,Aune AK (2001),PubMed,"Aune AK, Holm I, Risberg MA, Jensen HK, Steen H.",Aune AK,Four-strand hamstring tendon autograft compared with patellar tendon-bone autograft for anterior cruciate ligament reconstruction. A randomized study with two-year follow-up,Four-strand hamstring tendon autogr,2001,10.1177/03635465010290060901,Am J Sports Med,,,
,Feller JA (2001),PubMed,"Feller JA, Webster KE, Gavin B.",Feller JA,Early post-operative morbidity following anterior cruciate ligament reconstruction: patellar tendon versus hamstring graft,Early post-operative morbidity foll,2001,10.1007/s001670100216,Knee Surg Sports Traumatol Arthrosc,,,
,Anderson AF (2001),PubMed,"Anderson AF, Snyder RB, Lipscomb AB Jr.",Anderson AF,Anterior cruciate ligament reconstruction. A prospective randomized study of three surgical methods,Anterior cruciate ligament reconstr,2001,10.1177/03635465010290030201,Am J Sports Med,,,
,Eriksson K (2001),PubMed,"Eriksson K, Anderberg P, Hamberg P, LÃ¶fgren AC, Bredenberg M, Westman I, Wredmark T.",Eriksson K,A comparison of quadruple semitendinosus and patellar tendon grafts in reconstruction of the anterior cruciate ligament,A comparison of quadruple semitendi,2001,10.1302/0301-620x.83b3.11685,J Bone Joint Surg Br,,,
,Jansson KA (1999),PubMed,"Jansson KA, Harilainen A, Sandelin J, Karjalainen PT, Aronen HJ, Tallroth K.",Jansson KA,"Bone tunnel enlargement after anterior cruciate ligament reconstruction with the hamstring autograft and endobutton fixation technique. A clinical, radiographic and magnetic resonance imaging study with 2 years follow-up",Bone tunnel enlargement after anter,1999,10.1007/s001670050166,Knee Surg Sports Traumatol Arthrosc,,,
,Marcacci M (1998),PubMed,"Marcacci M, Zaffagnini S, Iacono F, Neri MP, Loreti I, Petitto A.",Marcacci M,Arthroscopic intra- and extra-articular anterior cruciate ligament reconstruction with gracilis and semitendinosus tendons,Arthroscopic intra- and extra-artic,1998,10.1007/s001670050075,Knee Surg Sports Traumatol Arthrosc,,,
,Feller J (1997),PubMed,"Feller J, Bartlett J, Chapman S, Delahunt M.",Feller J,Use of an extension-assisting brace following anterior cruciate ligament reconstruction,Use of an extension-assisting brace,1997,10.1007/s001670050016,Knee Surg Sports Traumatol Arthrosc,,,
,MacDonald PB (1996),PubMed,"MacDonald PB, Hedden D, Pacin O, Sutherland K.",MacDonald PB,Proprioception in anterior cruciate ligament-deficient and reconstructed knees,Proprioception in anterior cruciate,1996,10.1177/036354659602400612,Am J Sports Med,,,
,Lawless AM (2026),PubMed,"Lawless AM, Ebert JR, Edwards PK, Malik SS, Davies PSE, D'Alessandro PA.",Lawless AM,A semitendinosus with adjustable button graft construct in patients undergoing hamstring ACL reconstruction results in improved knee flexor strength symmetry and less donor site pain and morbidity: Outcomes from the DOSTAR randomized controlled trial,A semitendinosus with adjustable bu,2026,10.1002/ksa.12698,Knee Surg Sports Traumatol Arthrosc,,,
,Cao X (2025),PubMed,"Cao X, Liu J, Zhao J, Feng S, Zhao Z.",Cao X,Evaluation of the Application of BOth Sides Up Ball Training Combined With Resistance Training in Joint Stability Improvement Following Anterior Cruciate Ligament Reconstruction Surgery in Teenage Athletes,Evaluation of the Application of BO,2025,10.1123/jsr.2024-0160,J Sport Rehabil,,,
,Calvert ND (2025),PubMed,"Calvert ND, Ebert JR, Radic R.",Calvert ND,Kneeling tolerance when using quadriceps tendon autograft for anterior cruciate ligament reconstruction is superior to hamstring tendon autograft,Kneeling tolerance when using quadr,2025,10.1002/ksa.12583,Knee Surg Sports Traumatol Arthrosc,,,
,Ebert JR (2024),PubMed,"Ebert JR, Calvert ND, Radic R.",Ebert JR,A Prospective Randomized Controlled Trial Investigating Quadriceps Versus Hamstring Tendon Autograft in Anterior Cruciate Ligament Reconstruction,A Prospective Randomized Controlled,2024,10.1177/03635465231222279,Am J Sports Med,,,
,Tang N (2024),PubMed,"Tang N, Eren M, Gurpinar T, Ozturkmen Y.",Tang N,A prospective randomized controlled study of hamstring and bone-free quadriceps tendons autografts in arthroscopic ACL reconstruction,A prospective randomized controlled,2024,10.1007/s00590-023-03636-5,Eur J Orthop Surg Traumatol,,,
,Vieira de Melo RF (2022),PubMed,"Vieira de Melo RF, Komatsu WR, Freitas MS, Vieira de Melo ME, Cohen M.",Vieira de Melo RF,Comparison of Quadriceps and Hamstring Muscle Strength after Exercises with and without Blood Flow Restriction following Anterior Cruciate Ligament Surgery: A Randomized Controlled Trial,Comparison of Quadriceps and Hamstr,2022,10.2340/jrm.v54.2550,J Rehabil Med,,,
,de Souza Borges JH (2022),PubMed,"de Souza Borges JH, Oliveira M, Junior PL, de Souza Machado R, Lima R, Ramos LA, Cohen M.",de Souza Borges JH,Is contralateral autogenous patellar tendon graft a better choice than ipsilateral for anterior cruciate ligament reconstruction in young sportsmen? A randomized controlled trial,Is contralateral autogenous patella,2022,10.1016/j.knee.2022.03.015,Knee,,,
,KomzÃ¡k M (2022),PubMed,"KomzÃ¡k M, Hart R, NÃ¡hlÃ­k D, VysokÃ½ R.",KomzÃ¡k M,In vivo knee rotational stability 2Â years after the ACL reconstruction using a quadriceps tendon graft with bone block and bone-patellar tendon-bone graft,In vivo knee rotational stability 2,2022,10.1007/s00402-021-04195-2,Arch Orthop Trauma Surg,,,
,Sole G (2021),PubMed,"Sole G, Lamb P, Pataky T, Klima S, Navarre P, Hammer N.",Sole G,Immediate and 6-week effects of wearing a knee sleeve following anterior cruciate ligament reconstruction: a cross-over laboratory and randomised clinical trial,Immediate and 6-week effects of wea,2021,10.1186/s12891-021-04540-x,BMC Musculoskelet Disord,,,
,Horstmann H (2022),PubMed,"Horstmann H, Petri M, Tegtbur U, Felmet G, Krettek C, Jagodzinski M.",Horstmann H,"Quadriceps and hamstring tendon autografts in ACL reconstruction yield comparably good results in a prospective, randomized controlled trial",Quadriceps and hamstring tendon aut,2022,10.1007/s00402-021-03862-8,Arch Orthop Trauma Surg,,,
,Roger J (2020),PubMed,"Roger J, Bertani A, Vigouroux F, Mottier F, Gaillard R, Have L, RongiÃ¨ras F.",Roger J,ACL reconstruction using a quadruple semitendinosus graft with cortical fixations gives suitable isokinetic and clinical outcomes after 2Â years,ACL reconstruction using a quadrupl,2020,10.1007/s00167-020-06121-2,Knee Surg Sports Traumatol Arthrosc,,,
,Barnett S (2020),PubMed,"Barnett S, Badger GJ, Kiapour A, Yen YM, Henderson R, Freiberger C, Proffen B, Sant N, Trainor B, Fleming BC, Micheli LJ, Murray MM, Kramer DE.",Barnett S,Females Have Earlier Muscle Strength and Functional Recovery After Bridge-Enhanced Anterior Cruciate Ligament Repair,Females Have Earlier Muscle Strengt,2020,10.1089/ten.tea.2020.0057,Tissue Eng Part A,,,
,BariÃ© A (2020),PubMed,"BariÃ© A, Sprinckstub T, Huber J, Jaber A.",BariÃ© A,"Quadriceps tendon vs. patellar tendon autograft for ACL reconstruction using a hardware-free press-fit fixation technique: comparable stability, function and return-to-sport level but less donor site morbidity in athletes after 10Â years",Quadriceps tendon vs. patellar tend,2020,10.1007/s00402-020-03508-1,Arch Orthop Trauma Surg,,,
,Sinding KS (2020),PubMed,"Sinding KS, Nielsen TG, Hvid LG, Lind M, Dalgas U.",Sinding KS,Effects of Autograft Types on Muscle Strength and Functional Capacity in Patients Having Anterior Cruciate Ligament Reconstruction: A Randomized Controlled Trial,Effects of Autograft Types on Muscl,2020,10.1007/s40279-020-01276-x,Sports Med,,,
